type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,23727,0,34,0,0,0.223663,128,[34 32 2 0 0 0 0 0 0 0 0 0 6 -21 4 -14 11 -14 3 -16 10 -13 14 -16 7 -9 14 -12 13 -7 11 -11 18 -20 13 -16 10 -11 16 -13 12 -11 9 -15 11 -16 11 -9 10 -7 11 -12 13 -9 7 -15 15 -6 12 -10 9 -18 8 -8 0 0 13 -11 6 -8 13 -12 8 -11 11 -9 5 -13 6 -13 8 -11 4 -12 6 -8 5 -13 7 -11 4 -16 5 -16 7 -10 13 -13 9 -17 8 -19 5 -14 3 -11 6 -16 2 -13 1 -14 10 -18 6 -15 10 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,42136,0,131,0,0,0.241729,128,[-125 48 8 0 0 0 0 0 0 0 0 0 2 12 -1 18 2 15 3 20 0 15 -1 13 -4 19 0 17 -5 14 -8 15 -5 22 -5 16 -1 25 1 17 -3 22 -4 19 -8 21 -6 11 -9 14 -5 15 -7 17 -5 9 -2 13 -4 12 -8 8 -7 16 0 0 -8 15 -3 14 -5 16 -4 13 -5 10 -3 12 -3 18 -7 18 -3 12 -8 14 -5 15 -4 16 -7 14 -7 14 -1 13 -8 18 -8 15 -9 16 -8 11 -2 17 -4 21 -8 12 -7 16 -5 13 -8 16 2 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4045427,0,30,0,0,4.24506,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -19 4 -19 10 -20 10 -17 15 -17 6 -14 4 -15 2 -16 4 -14 11 -15 6 -14 12 -17 5 -15 -1 -13 7 -19 -1 -12 5 -18 5 -21 2 -18 6 -20 6 -8 9 -12 10 -9 6 -11 9 -14 12 -17 9 0 0 -13 8 -10 7 -19 7 -13 5 -14 8 -9 8 -8 18 -17 6 -11 10 -16 12 -15 7 -9 15 -8 11 -10 16 -9 7 -13 13 -7 9 -9 15 -13 13 -10 12 -8 16 -10 12 -13 16 -13 14 -12 9 -10 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,48:A4:72:F4:F6:9B,-38,0,0,0,0,0,0,0,0,0,0,-98,0,1,0,4179541,0,239,0,0,4.42822,128,[-17 -16 14 0 -1 6 16 3 5 1 4 9 -17 -11 13 0 13 -99 17 -19 5 2 1 3 2 4 -6 -2 -3 2 -6 2 10 -1 0 -2 -5 -5 -3 2 7 1 1 -2 0 -1 1 -12 -3 3 2 8 -7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -1 -3 5 -4 11 1 2 6 5 3 -5 -6 -4 1 -3 -5 -5 0 3 1 -1 1 0 9 -3 -5 -10 1 3 4 -4 -3 -3 -4 2 2 2 -2 -11 -7 5 -5 -1 -1 -3 -3 -12 -1 1 7 4 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6496948,0,131,0,0,6.69691,128,[-125 48 8 0 0 0 0 0 0 0 0 0 3 7 2 -6 7 15 3 7 -3 9 -4 11 -9 17 -3 10 -12 5 -4 16 -12 10 -3 8 -5 7 -4 6 -9 2 -7 11 -6 -12 -10 3 -10 7 -14 -2 -8 -10 -14 -1 -5 -5 -8 -5 -4 -3 -7 -11 0 0 0 -14 -12 -12 -6 -12 -10 -6 -3 -6 1 -14 -2 -12 2 -12 9 -7 1 -15 6 -5 -3 0 8 -10 11 -13 6 -9 10 -14 8 -7 12 5 11 -10 -3 -6 11 1 13 -8 6 -6 13 12 13 7 22 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,9018437,0,37,0,0,9.21832,128,[37 80 2 0 0 0 0 0 0 0 0 0 15 -1 10 1 13 -7 10 -2 16 -4 18 -5 15 -6 14 1 8 2 13 1 12 -1 10 0 11 -4 12 1 12 0 15 2 13 0 11 -1 17 2 13 2 13 -1 10 2 7 0 16 5 8 0 8 1 0 0 11 1 7 -6 10 -4 12 -3 11 -2 12 -3 12 -6 7 -1 9 -6 15 -4 9 -3 14 -1 9 -3 10 -3 8 -7 7 -5 9 -6 10 -4 7 -10 7 -3 13 -7 4 -4 6 -8 4 -10 7 -8 11 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,9035430,0,37,0,0,9.23502,128,[37 80 2 0 0 0 0 0 0 0 0 0 -15 2 -14 -5 -12 -2 -16 -7 -16 -6 -18 -1 -14 0 -18 -5 -14 1 -14 -1 -17 -7 -13 -2 -12 -5 -13 -8 -11 -5 -14 -5 -13 -5 -11 -9 -13 -5 -9 -6 -13 -4 -13 -2 -11 -4 -11 -5 -15 0 -10 1 0 0 -13 4 -11 2 -14 -3 -10 1 -11 2 -9 3 -14 -3 -12 2 -15 1 -7 3 -11 5 -13 3 -10 2 -11 6 -9 3 -5 2 -8 9 -10 7 -11 5 -11 6 -10 5 -12 7 -13 0 -8 6 -7 9 -9 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,1,0,1,1,1,0,0,0,0,-97,0,6,1,16988878,0,110,0,0,17.1887,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 -1 -14 -8 -14 -3 -14 2 -12 2 -12 -5 -12 -4 -13 -4 -14 -2 -13 -3 -12 -3 -12 -4 -16 1 -14 -4 -14 -12 -13 -4 -13 -9 -10 -1 -12 -9 -13 0 -15 -6 -14 0 -10 -5 -18 -3 -10 1 -12 -6 0 0 -14 -2 -13 -9 -16 -4 -8 -4 -11 -3 -9 -4 -8 -1 -18 0 -10 -8 -14 1 -14 -2 -12 -4 -13 0 -12 2 -17 -2 -11 -1 -11 -2 -15 1 -12 3 -13 4 -11 3 -13 -2 -13 3 -14 4 -12 3 -12 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-97,0,6,1,17016889,0,110,0,0,17.2165,384,[110 96 6 0 0 0 0 0 0 0 0 0 14 5 8 4 11 3 14 7 13 9 11 6 10 3 11 10 11 10 8 8 14 10 12 8 13 8 9 10 8 7 9 9 9 6 8 15 8 7 9 13 11 10 11 7 8 12 10 15 9 8 8 6 0 0 8 7 11 6 9 5 10 13 7 5 10 9 8 4 5 8 10 4 10 5 11 5 7 6 11 8 13 4 13 5 15 8 14 4 11 4 9 3 13 2 15 5 13 3 11 2 9 4 7 -2 11 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-97,0,6,1,17029248,0,110,0,0,17.2287,384,[110 96 6 0 0 0 0 0 0 0 0 0 -8 6 -14 11 -9 9 -9 5 -7 10 -14 6 -12 8 -13 8 -13 2 -7 5 -15 7 -13 8 -12 8 -10 5 -12 6 -11 5 -12 5 -14 3 -13 2 -12 4 -12 3 -13 5 -6 0 -12 3 -12 6 -9 9 0 0 -9 6 -10 3 -9 9 -8 5 -12 8 -8 7 -11 5 -11 8 -11 5 -10 4 -9 6 -10 10 -9 8 -9 10 -12 9 -11 3 -7 7 -8 11 -12 10 -10 5 -10 9 -10 5 -7 7 -10 10 -7 6 -7 10 0 0 0 0 0 0 0 0 0 0 ]
