type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,22931,0,34,0,0,0.220856,128,[34 32 2 0 0 0 0 0 0 0 0 0 14 -3 18 -3 18 0 20 -1 19 2 19 -5 15 -1 21 -2 17 -4 19 2 15 -5 20 1 17 1 17 1 18 3 16 3 18 -3 16 2 15 1 17 2 12 4 16 1 16 -2 18 -2 18 -1 15 -1 0 0 13 -2 17 1 16 2 20 2 15 2 16 -1 17 1 15 -1 15 -4 18 -4 18 -2 12 -3 19 1 20 -4 20 -5 18 -1 16 -1 18 -5 17 -3 20 -4 19 -9 17 -1 15 -6 16 -6 19 -4 18 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,41690,0,131,0,0,0.239267,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -18 -4 -14 -7 -21 -2 -20 -5 -16 -5 -21 -3 -20 -5 -20 -9 -17 -5 -13 -8 -16 -6 -19 -4 -17 -4 -18 1 -21 -6 -18 -4 -18 -6 -18 -8 -17 -5 -19 -7 -17 -3 -21 -3 -11 -13 -19 -9 -15 -10 -19 -10 0 0 -17 -6 -18 -6 -14 -3 -18 -5 -18 -3 -18 -4 -20 -1 -13 -2 -13 0 -24 -3 -23 -3 -17 2 -18 0 -19 -6 -18 -1 -20 1 -19 -2 -17 0 -19 -5 -16 -4 -21 0 -21 -4 -22 -3 -18 -2 -19 0 -17 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4045610,0,30,0,0,4.24322,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -14 8 -14 4 -18 4 -14 2 -9 -2 -22 -2 -18 5 -17 -2 -13 -4 -17 -1 -16 1 -18 1 -13 2 -13 0 -18 -3 -18 7 -15 2 -17 -3 -10 4 -17 3 -11 4 -13 0 -14 6 -16 3 -15 5 -13 2 0 0 -14 8 -16 7 -20 8 -13 9 -17 9 -12 5 -15 4 -11 7 -15 8 -13 11 -14 6 -10 3 -8 10 -17 7 -11 5 -17 8 -14 7 -16 10 -10 10 -12 14 -11 8 -12 7 -11 7 -16 11 -9 10 -14 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6493857,0,131,0,0,6.69183,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -6 18 -10 16 -11 16 -10 15 -12 19 -9 16 -12 17 -13 16 -17 14 -10 13 -17 16 -10 15 -16 13 -14 16 -12 13 -14 14 -12 17 -15 8 -11 11 -9 8 -9 14 -12 9 -10 7 -13 15 -10 11 -13 13 0 0 -11 14 -11 14 -11 13 -11 13 -9 15 -6 14 -10 13 -13 10 -8 15 -14 12 -10 19 -6 11 -5 16 -4 14 -9 12 -7 17 -7 15 -6 16 -10 14 -2 19 -7 18 -1 19 -6 16 -5 20 -4 21 -4 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,6514371,0,239,0,0,6.71208,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 9 6 11 4 6 8 9 8 6 9 9 8 12 9 3 8 5 7 12 10 6 6 7 10 8 9 4 14 3 13 6 7 4 12 4 12 1 13 2 14 2 10 3 13 3 10 8 12 8 13 6 8 0 0 4 11 0 9 2 11 5 10 7 6 5 6 9 10 3 5 8 11 2 8 3 9 3 11 6 9 7 9 8 2 6 10 10 6 8 3 8 11 3 9 5 10 8 7 6 6 2 15 5 13 8 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,8016266,0,37,0,0,8.21412,128,[37 80 2 0 0 0 0 0 0 0 0 0 6 17 7 14 8 16 14 15 6 19 9 21 8 15 6 17 6 15 3 15 8 17 8 17 7 17 11 21 1 20 5 17 7 21 4 18 4 19 5 15 3 16 7 17 4 12 5 20 6 17 7 16 0 0 10 17 9 15 9 14 7 13 6 13 9 15 10 13 12 13 7 15 9 18 11 17 8 12 13 15 8 20 8 15 15 14 17 14 11 18 10 15 13 16 16 15 16 15 9 12 15 15 13 16 11 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,8032118,0,37,0,0,8.22983,128,[37 80 2 0 0 0 0 0 0 0 0 0 -7 18 -2 24 -7 21 -2 26 -5 27 -4 17 -7 19 -5 19 -6 25 -7 18 -6 22 -9 21 -10 21 -11 25 -6 19 -7 21 -5 23 -6 17 -4 18 -7 25 -7 16 -7 19 -8 22 -11 22 -6 22 -5 21 0 0 -4 22 -7 20 -6 27 -7 22 -4 21 -12 18 -4 17 -6 20 -8 22 -3 19 -8 25 0 18 -4 22 -1 23 -3 22 -4 23 -5 25 -3 24 0 24 -3 22 1 24 3 23 3 24 -1 25 -2 26 -4 20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,8078223,0,110,0,0,8.27595,128,[110 96 6 0 0 0 0 0 0 0 0 0 16 4 18 7 20 6 17 6 17 8 10 7 13 13 17 12 13 8 15 10 19 16 10 11 18 6 16 7 15 11 15 14 20 14 12 6 15 8 15 11 14 12 16 10 14 11 15 11 18 8 14 8 0 0 16 9 12 12 15 8 16 7 15 8 14 11 11 15 14 13 18 9 17 11 16 7 14 8 16 9 19 13 15 7 17 13 17 8 18 7 18 8 13 10 14 9 16 9 13 10 17 7 17 3 15 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,8084898,0,110,0,0,8.2841,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 -6 6 2 10 -1 13 -2 13 -4 10 1 12 -2 15 -5 19 3 10 -7 11 -6 7 1 11 0 12 -2 8 -1 8 -4 15 -1 16 -1 11 -3 13 1 14 -1 15 1 14 3 12 0 9 3 9 -2 0 0 13 -1 11 1 13 -2 9 -1 12 -5 8 1 9 -4 8 1 12 -4 10 -7 16 -4 11 -6 6 -1 7 -6 10 -3 12 -3 12 -11 12 -3 13 -6 11 -7 11 -4 12 -5 9 -7 16 -3 9 -14 14 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,8085273,0,110,0,0,8.29121,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -9 -7 -11 -7 -11 -10 -14 -8 -8 -1 -12 -3 -12 2 -12 -4 -15 -6 -8 -2 -10 -2 -12 -3 -13 -1 -13 1 -10 -5 -10 -5 -11 1 -12 -3 -10 1 -10 1 -14 4 -13 -1 -10 -1 -15 5 -12 1 -15 0 0 0 -13 0 -12 0 -8 2 -11 1 -10 2 -15 0 -11 6 -13 2 -10 1 -10 6 -12 -4 -12 3 -10 8 -9 7 -8 6 -12 3 -16 3 -17 3 -17 5 -12 4 -13 8 -11 3 -16 6 -13 3 -9 4 -14 0 0 0 0 0 0 0 0 0 0 ]
