type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,22696,0,34,0,0,0.223148,128,[34 32 2 0 0 0 0 0 0 0 0 0 17 -12 14 -11 21 -3 14 -10 13 -5 26 -7 16 -8 18 -2 19 -9 11 -6 23 -4 23 -13 20 -3 18 -2 21 -4 17 -4 23 -1 14 -2 23 -2 18 0 19 -1 16 0 17 0 18 -3 21 0 22 -3 0 0 14 0 19 1 22 -3 14 -5 19 -2 23 3 22 1 17 -3 20 -1 20 0 17 -1 19 0 19 2 21 -2 18 0 22 -2 21 4 18 -1 26 -1 14 -3 22 0 22 -3 22 -2 21 0 18 5 20 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,37797,0,131,0,0,0.237902,128,[-125 48 8 0 0 0 0 0 0 0 0 0 13 5 20 9 20 2 19 4 19 8 15 9 16 6 12 8 12 14 11 9 20 3 17 11 15 9 13 11 11 6 16 10 8 8 15 13 15 8 14 7 13 9 13 4 10 5 14 13 15 8 16 9 0 0 14 7 17 10 16 11 20 3 18 3 19 5 16 11 18 7 17 11 17 5 18 9 15 8 17 3 20 6 18 3 19 7 17 4 19 4 17 5 16 5 16 6 13 4 16 2 19 2 17 2 16 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4041840,0,30,0,0,4.24198,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -11 -8 -14 -8 -14 -16 -18 -12 -15 -13 -15 -11 -13 -15 -9 -14 -13 -9 -11 -17 -13 -13 -19 -12 -11 -15 -12 -13 -11 -14 -13 -15 -13 -17 -13 -13 -14 -12 -14 -12 -12 -13 -14 -11 -13 -16 -13 -12 -20 -13 -16 -14 0 0 -13 -13 -14 -9 -23 -10 -18 -9 -14 -12 -15 -11 -17 -13 -16 -8 -15 -12 -16 -11 -23 -9 -17 -9 -17 -10 -17 -9 -16 -9 -23 -7 -15 -8 -19 -6 -19 -10 -18 -8 -18 -10 -18 -9 -21 -13 -18 -11 -17 -9 -18 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6490559,0,131,0,0,6.69106,128,[-125 48 8 0 0 0 0 0 0 0 0 0 16 1 21 0 16 -1 17 -5 14 6 14 7 13 5 17 3 16 3 19 6 14 -1 15 6 20 8 21 9 17 5 18 7 14 5 13 8 16 5 14 8 16 8 15 7 16 9 12 7 15 5 20 11 0 0 12 7 13 11 15 9 14 7 15 5 16 6 11 1 17 9 15 2 13 9 19 14 13 9 15 13 15 7 19 14 14 9 23 13 15 10 19 11 23 8 13 6 18 9 19 12 19 12 17 12 18 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,6511965,0,239,0,0,6.71223,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 6 10 4 9 4 3 -2 5 3 8 8 8 2 9 3 10 1 12 1 5 0 16 6 7 0 8 3 7 -1 9 2 7 1 12 1 7 -1 11 0 13 1 12 -3 13 -4 7 -6 8 2 8 -4 9 0 0 -7 8 -4 11 1 8 -7 13 0 7 0 11 -2 11 -1 9 -4 11 -1 8 -3 13 5 13 -1 13 -2 10 -2 14 -5 16 -9 10 -7 10 0 9 0 10 -3 7 -1 11 -5 13 -2 9 -1 12 3 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,10016691,0,82,0,0,10.2171,384,[82 -96 4 0 0 0 0 0 0 0 0 0 2 11 -6 10 -3 11 2 16 -2 17 1 12 0 14 -8 8 0 9 -4 11 -3 6 -1 13 -6 11 -2 14 2 10 -2 14 2 14 -1 13 -1 9 -1 10 -1 15 -3 14 -1 9 -7 14 -2 5 0 11 0 0 -1 10 1 9 1 13 3 15 -2 15 6 10 2 14 0 11 0 14 5 9 3 13 3 12 6 11 2 9 7 6 2 10 8 13 5 12 7 15 9 8 7 9 6 12 11 7 6 13 3 7 9 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,10041668,0,110,0,0,10.2422,128,[110 96 6 0 0 0 0 0 0 0 0 0 10 -11 15 -14 16 -8 15 -14 15 -10 13 -8 12 -11 17 -10 13 -7 19 -8 14 -12 17 -9 16 -2 15 -6 14 -12 18 -8 18 -3 16 -2 18 -8 13 -5 14 -7 15 -6 13 -5 16 -8 13 -4 14 -9 0 0 16 -6 15 -9 17 -8 12 -12 14 -10 14 -14 14 -9 18 -10 18 -16 16 -8 17 -12 14 -9 12 -7 16 -10 13 -14 12 -16 12 -11 13 -11 16 -15 12 -11 16 -8 11 -14 12 -12 16 -14 15 -13 15 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-89,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,10050080,0,110,0,0,10.2509,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 4 -10 14 -9 11 -7 7 -7 8 -13 6 -9 5 -11 8 -12 0 -14 4 -13 8 -14 4 -15 7 -15 6 -14 -3 -14 -1 -17 -1 -15 -3 -13 1 -11 -8 -22 -2 -16 3 -11 1 -18 -3 -12 -1 -8 -3 0 0 -17 -3 -12 -3 -14 -2 -12 -5 -14 -4 -12 -2 -16 0 -10 -5 -9 -4 -10 -6 -18 -8 -6 -2 -16 -4 -14 -1 -11 1 -17 -7 -14 -3 -12 -8 -17 -3 -12 2 -12 -9 -13 -9 -14 -8 -11 -7 -9 -5 -15 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,10096109,0,110,0,0,10.2961,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -7 -5 -6 -5 -8 -10 -6 -5 -7 -11 -11 -12 -5 -13 -6 -12 -8 -12 -9 -8 -7 -5 -11 -7 -13 -9 -7 -9 -15 -13 -16 -6 -14 -6 -10 -5 -9 -3 -11 -7 -10 -9 -11 -2 -11 -5 -14 -12 -13 -4 -11 0 0 -5 -15 -4 -9 -8 -11 -4 -12 -7 -16 -8 -10 -7 -15 -2 -9 -4 -10 -9 -12 -6 -10 -3 -11 -13 -15 -5 -15 -4 -13 -7 -12 -9 -12 -10 -8 -11 -14 -12 -13 -14 -11 -11 -13 -3 -11 -9 -12 -5 -12 -9 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,10102217,0,110,0,0,10.3046,384,[110 96 6 0 0 0 0 0 0 0 0 0 11 4 10 6 10 6 7 6 7 4 16 3 14 12 9 6 8 4 6 5 12 7 16 7 9 11 13 9 6 7 7 7 1 9 9 9 7 1 9 6 7 8 9 7 8 13 9 5 8 8 13 7 0 0 10 9 9 5 14 5 12 3 8 10 9 3 9 9 15 2 5 7 17 2 8 3 10 4 12 -3 11 7 8 0 17 2 13 2 8 4 10 1 18 0 19 5 5 -4 16 0 11 1 10 -2 15 -2 0 0 0 0 0 0 0 0 0 0 ]
