type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,23065,0,34,0,0,0.223094,128,[34 32 2 0 0 0 0 0 0 0 0 0 -23 8 -17 5 -18 4 -21 6 -18 0 -18 2 -19 2 -13 0 -20 6 -19 4 -21 8 -20 0 -25 0 -18 -3 -17 -1 -22 1 -20 3 -17 1 -17 4 -18 -2 -14 -3 -19 3 -16 -1 -17 3 -19 4 -18 1 0 0 -19 0 -17 4 -20 4 -21 2 -19 8 -22 2 -17 5 -20 3 -21 6 -19 4 -15 9 -18 7 -19 6 -19 7 -22 7 -23 10 -19 9 -23 11 -18 9 -16 10 -17 10 -18 9 -16 11 -17 9 -17 13 -19 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,41065,0,131,0,0,0.240753,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -15 10 -16 16 -17 11 -21 6 -19 11 -21 6 -23 8 -18 3 -20 5 -20 5 -19 9 -23 10 -13 6 -18 8 -18 7 -18 6 -19 6 -16 1 -17 7 -19 2 -15 8 -18 11 -12 8 -16 9 -18 14 -21 4 0 0 -18 7 -14 16 -17 11 -11 8 -15 8 -18 14 -14 14 -13 14 -11 13 -17 12 -11 11 -14 14 -12 12 -17 16 -13 12 -15 19 -14 16 -16 20 -15 19 -13 17 -12 16 -12 15 -10 16 -9 15 -8 21 -11 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4044952,0,30,0,0,4.24468,128,[30 -32 1 0 0 0 0 0 0 0 0 0 14 -7 16 -8 17 -6 18 -9 17 -9 13 -9 18 -7 17 -8 20 -1 13 -3 18 -6 17 -6 21 -5 17 -5 14 -6 16 -11 15 -5 15 -5 12 -6 17 -11 14 -6 16 -5 15 -11 15 -10 17 -12 21 -10 0 0 15 -8 17 -15 14 -11 18 -9 12 -13 10 -12 17 -10 12 -9 11 -17 17 -13 18 -16 15 -14 12 -16 14 -15 16 -16 13 -16 16 -15 13 -19 11 -16 12 -15 16 -16 15 -14 19 -15 15 -15 19 -16 15 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-81,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6493832,0,131,0,0,6.69393,128,[-125 48 8 0 0 0 0 0 0 0 0 0 18 2 20 5 18 3 19 6 16 2 17 11 17 7 17 6 19 9 15 6 21 11 20 7 18 10 18 10 17 7 19 8 18 6 15 6 18 7 13 10 11 13 12 8 16 7 13 8 21 10 15 5 0 0 16 7 15 6 14 4 19 5 15 6 21 2 17 7 14 7 16 2 13 5 21 9 17 6 12 1 22 3 18 3 18 3 19 2 16 1 17 0 22 3 12 7 21 -2 16 2 21 5 15 0 17 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,6514385,0,239,0,0,6.71421,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 7 10 3 13 3 14 3 15 5 16 3 12 0 16 -1 12 4 5 2 12 0 12 -4 19 -3 9 2 12 -6 14 -2 15 2 14 -3 10 -3 12 -1 12 0 8 -2 8 -2 13 -4 8 -2 13 -2 13 0 0 -7 10 -3 15 1 15 -3 13 -6 15 -3 12 2 14 3 13 2 13 3 18 -2 12 2 15 0 14 0 13 4 12 1 10 1 10 3 14 3 9 1 11 6 16 -1 17 -1 9 2 11 4 14 6 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,9015281,0,37,0,0,9.21524,128,[37 80 2 0 0 0 0 0 0 0 0 0 11 14 8 17 7 19 8 14 8 16 7 20 9 20 10 16 5 19 6 16 5 19 7 12 10 17 5 16 5 18 7 18 7 15 9 16 6 20 2 15 5 16 9 18 6 16 6 16 10 16 1 18 0 0 3 16 5 15 11 15 8 14 7 13 9 11 9 15 6 15 8 10 12 11 13 9 6 15 14 13 15 10 12 12 10 12 11 8 15 10 14 12 12 15 13 15 14 13 14 13 15 14 12 12 15 7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,9037507,0,37,0,0,9.23727,128,[37 80 2 0 0 0 0 0 0 0 0 0 12 2 16 1 13 6 18 2 17 8 17 10 11 9 18 13 21 11 13 10 17 11 19 11 14 14 12 14 12 12 12 12 13 13 17 10 14 12 13 9 9 9 15 7 12 7 15 14 13 10 16 10 0 0 14 10 15 10 18 8 15 6 13 8 16 9 17 8 15 9 13 4 12 6 19 9 16 4 16 4 18 6 21 5 18 2 17 1 20 6 16 7 19 5 15 7 16 3 20 4 19 1 17 7 16 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,9047238,0,110,0,0,9.24666,384,[110 96 6 0 0 0 0 0 0 0 0 0 -7 -7 -6 -7 -10 -11 -9 -11 -3 -16 -4 -13 -6 -8 -7 -10 -3 -9 -4 -13 -4 -10 -7 -19 -3 -13 -4 -10 -4 -9 1 -16 -5 -15 0 -14 -7 -17 -2 -14 -4 -13 -2 -9 5 -10 -1 -14 0 -14 0 -19 0 0 -4 -14 -1 -13 -2 -11 -3 -10 0 -17 -4 -12 1 -17 -3 -10 -3 -12 -4 -9 3 -9 0 -11 -2 -12 1 -16 -4 -16 -3 -11 1 -9 0 -10 3 -17 4 -11 2 -17 -3 -14 -7 -12 1 -11 2 -14 -1 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,9086260,0,110,0,0,9.28593,128,[110 96 6 0 0 0 0 0 0 0 0 0 -11 15 -11 14 -12 16 -7 15 -10 15 -6 16 -13 17 -12 15 -12 12 -14 17 -15 16 -15 14 -12 20 -10 13 -17 17 -14 14 -14 18 -11 10 -11 10 -14 12 -12 13 -14 14 -12 14 -13 16 -11 15 -17 16 0 0 -13 14 -12 17 -13 15 -10 16 -13 15 -12 16 -11 17 -12 16 -10 12 -9 18 -14 19 -11 20 -9 14 -13 18 -8 17 -9 18 -7 22 -11 18 -12 18 -10 17 -9 24 -10 19 -10 18 -12 17 -6 15 -12 18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,9097583,0,110,0,0,9.29706,128,[110 96 6 0 0 0 0 0 0 0 0 0 15 13 16 9 9 17 13 13 12 19 9 14 13 12 13 13 13 11 12 16 16 12 9 16 12 16 15 10 13 15 17 16 12 18 14 11 15 17 14 14 13 15 11 18 9 10 17 15 18 14 16 15 0 0 10 10 18 15 14 12 13 8 15 8 12 11 16 8 15 11 12 5 10 10 17 8 12 8 18 12 14 9 14 11 19 9 14 11 22 10 15 12 21 7 19 7 18 12 16 6 21 9 20 7 17 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,1,1,1,1,1,0,0,0,0,-97,0,6,1,9104010,0,110,0,0,9.3045,384,[110 96 6 0 0 0 0 0 0 0 0 0 -12 -3 -13 2 -3 1 -16 -8 -17 -4 -15 -2 -13 -6 -15 -14 -12 -8 -14 -7 -14 -9 -12 -7 -8 -8 -15 -14 -8 -1 -14 -5 -3 -7 -4 -5 -14 -10 -7 -9 -13 -8 -7 -14 -7 -13 -9 -12 -14 -12 -6 -6 0 0 -10 -10 -12 -12 -10 -9 -9 -10 -7 -12 -8 -9 -7 -13 -4 -12 -4 -15 -8 -14 -12 -18 -11 -12 -11 -18 -8 -12 -4 -15 -7 -16 -5 -12 -5 -18 -6 -17 -6 -17 -6 -13 -1 -9 -4 -20 -4 -18 -3 -15 -8 -14 0 0 0 0 0 0 0 0 0 0 ]
