type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-81,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,30181,0,131,0,0,0.229185,128,[-125 48 8 0 0 0 0 0 0 0 0 0 5 1 7 2 7 3 7 2 7 4 7 4 7 4 5 4 7 3 6 4 7 5 6 3 7 5 5 3 4 4 7 5 5 3 4 5 4 4 7 4 4 3 5 3 3 4 6 4 7 3 7 4 0 0 5 3 6 3 6 1 6 2 5 2 5 1 6 3 5 2 7 2 6 2 7 3 6 3 7 0 8 1 6 1 7 2 8 0 6 0 7 0 8 0 7 1 7 0 7 1 7 2 6 0 8 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4032603,0,30,0,0,4.23115,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -7 -11 -7 -18 -4 -14 -5 -20 -3 -14 -1 -15 -4 -19 -4 -15 -6 -21 0 -16 0 -14 0 -17 0 -15 1 -19 -2 -13 -2 -17 -1 -20 -6 -16 0 -16 -1 -19 -1 -13 -1 -14 -4 -15 -4 -20 -4 -17 -6 -17 0 0 -5 -18 -7 -12 -5 -19 -4 -15 -7 -13 -6 -16 -9 -17 -9 -15 -5 -15 -8 -18 -5 -17 -9 -15 -9 -11 -9 -16 -11 -16 -10 -15 -12 -17 -9 -18 -5 -16 -5 -18 -9 -17 -8 -18 -8 -14 -12 -12 -7 -17 -8 -18 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6479261,0,131,0,0,6.67817,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -8 -22 -3 -15 -6 -15 -5 -18 1 -19 -5 -19 1 -17 2 -20 1 -21 5 -19 -5 -30 -4 -17 4 -23 1 -21 1 -20 -2 -26 3 -17 4 -19 5 -23 6 -21 2 -20 4 -20 5 -17 7 -18 7 -18 5 -22 0 0 6 -19 4 -20 4 -23 -1 -19 6 -18 5 -20 4 -16 11 -16 8 -22 5 -22 4 -18 4 -18 4 -18 9 -18 7 -19 3 -18 8 -21 4 -14 8 -21 12 -20 9 -22 4 -19 10 -20 5 -23 10 -23 7 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,6499418,0,239,0,0,6.69807,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 0 9 1 14 -3 12 -2 6 -5 7 -1 8 -1 12 -7 4 0 4 -6 9 -1 8 -3 13 1 11 -6 17 -7 9 -6 14 -2 4 -4 12 0 11 -6 16 -2 17 -5 10 0 11 -4 12 -4 13 -3 15 0 0 -3 14 -4 11 1 11 -2 10 -1 12 -5 8 -4 15 2 10 -2 8 -2 10 -2 11 0 14 -1 14 0 14 -2 14 0 11 1 15 8 8 -1 10 4 10 -1 16 2 14 0 9 2 11 -1 6 -3 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8016870,0,37,0,0,8.21567,128,[37 80 2 0 0 0 0 0 0 0 0 0 -19 0 -21 2 -20 2 -18 -3 -22 4 -18 -1 -29 -7 -23 -9 -20 0 -23 -3 -15 -1 -27 0 -27 -5 -21 -3 -20 -3 -22 0 -24 -13 -20 -1 -21 -6 -20 -4 -19 -4 -16 -2 -15 -8 -23 -9 -19 -4 -19 -1 0 0 -17 -5 -25 -5 -19 -3 -22 -3 -14 3 -17 -9 -20 -7 -22 -3 -17 -4 -28 -5 -23 -6 -21 -6 -16 -1 -21 0 -27 -5 -22 -1 -27 -2 -19 -6 -23 -4 -24 0 -26 -4 -19 -3 -23 -6 -25 -4 -16 -3 -29 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-89,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,8034855,0,110,0,0,8.23341,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 10 5 14 6 13 2 14 9 13 0 14 6 14 -1 12 0 13 2 10 -1 14 -2 9 -1 11 -3 17 -3 11 -1 11 1 11 -7 13 0 8 -3 7 0 8 0 14 0 8 -1 11 -7 10 -5 13 0 0 -6 9 -2 14 -2 13 3 14 1 11 -2 10 -4 11 -1 9 0 10 -4 15 0 12 -2 18 1 10 1 14 0 11 3 10 -3 14 3 11 1 12 -2 7 0 15 2 11 -1 16 4 12 0 10 0 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,8087083,0,110,0,0,8.28564,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -14 0 -15 -3 -8 -5 -20 3 -14 -3 -15 1 -17 -2 -13 5 -18 4 -10 2 -14 -1 -13 -1 -13 -2 -12 1 -9 -1 -12 3 -12 -4 -15 6 -10 1 -10 2 -11 0 -11 7 -7 -4 -14 -1 -12 -2 -13 0 0 -1 -12 0 -15 -1 -12 -4 -12 -4 -11 5 -11 -6 -19 3 -10 -5 -13 -6 -13 -6 -14 -5 -13 -1 -13 -1 -9 -7 -13 -10 -12 -2 -15 -4 -12 -5 -18 -7 -13 -8 -12 -9 -11 -3 -13 -8 -17 -6 -11 -6 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,8095218,0,110,0,0,8.29437,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 6 -12 3 -23 3 -10 5 -13 -4 -15 -1 -9 -1 -14 3 -13 4 -14 -1 -15 5 -13 -1 -7 0 -15 -1 -12 -1 -11 -1 -11 -3 -16 4 -15 -6 -16 -4 -16 -1 -16 1 -11 -7 -9 -1 -13 -6 -15 1 0 0 -9 -6 -11 1 -15 -5 -15 -6 -11 -1 -11 -3 -15 -3 -7 -3 -12 -3 -18 -2 -13 -3 -15 -3 -11 0 -16 -4 -15 -5 -13 -7 -18 -4 -11 -4 -17 1 -11 -3 -12 -2 -11 2 -12 -9 -14 -4 -14 -2 -17 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,8095476,0,110,0,0,8.30212,384,[110 96 6 0 0 0 0 0 0 0 0 0 5 8 11 9 15 4 15 4 7 9 8 9 10 6 10 11 5 7 3 11 2 13 14 14 12 12 1 12 3 8 2 13 10 9 1 16 6 14 7 10 6 7 4 16 3 11 5 11 3 11 4 14 0 0 2 10 6 10 2 11 2 13 5 9 4 15 4 9 3 12 3 7 -2 13 3 19 2 13 3 13 4 16 -1 16 5 14 6 16 1 11 -2 6 3 13 2 11 5 13 2 8 4 10 0 12 1 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,8095707,0,110,0,0,8.30878,384,[110 96 6 0 0 0 0 0 0 0 0 0 -13 -6 -13 2 -12 -5 -16 -6 -13 -5 -13 -7 -11 -9 -4 -4 -16 -4 -7 -8 -11 -9 -13 -10 -14 -6 -11 -4 -11 -8 -10 -10 -15 -11 -16 -10 -16 -9 -13 -4 -11 -13 -9 -10 -11 -10 -12 -10 -12 -9 -11 -7 0 0 -16 -13 -10 -9 -7 -8 -8 -5 -10 -10 -8 -11 -17 -7 -8 -9 -16 -13 -6 -8 -12 -8 -3 -7 -8 -13 -8 -10 -12 -5 -11 -7 -11 -15 -9 -9 -11 -1 -14 -10 -19 -10 -14 -15 -10 -9 -12 -9 -9 -5 -11 -5 0 0 0 0 0 0 0 0 0 0 ]
