type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-81,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,25294,0,34,0,0,0.225183,128,[34 32 2 0 0 0 0 0 0 0 0 0 0 23 -5 22 -6 16 -5 27 -8 16 -8 20 -11 23 -9 16 -13 20 -10 15 -12 20 -11 26 -7 25 -10 17 -10 21 -10 18 -9 18 -8 18 -11 19 -7 18 -11 19 -9 21 -7 15 -8 21 -9 18 -10 21 0 0 -8 16 -9 18 -6 18 -5 20 -6 20 -8 20 -1 17 -9 18 -5 20 -11 24 -8 22 -6 18 -7 19 -4 18 -7 23 -2 24 -6 24 -10 21 -5 19 -2 22 -4 20 -2 19 -2 23 -6 17 -1 21 0 21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-81,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,45013,0,131,0,0,0.244554,128,[-125 48 8 0 0 0 0 0 0 0 0 0 13 -2 15 -1 21 -3 24 -4 16 1 14 4 21 -2 23 -7 14 -2 24 1 19 -5 19 -1 18 1 18 1 17 0 17 -1 23 -3 17 5 15 8 12 1 18 3 17 0 14 -9 21 6 15 -1 25 -1 0 0 16 -7 19 -3 20 -2 16 -3 12 -5 18 -9 13 -8 13 -4 15 -11 11 -4 19 -6 12 -7 18 -4 15 -3 14 -8 17 -10 12 -5 10 -14 17 -10 12 -11 16 -14 8 -6 7 -10 7 -9 11 -9 9 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6489017,0,131,0,0,6.68896,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -14 -13 -11 -10 -10 -17 -13 -15 -11 -23 -8 -15 -15 -17 -7 -13 -14 -17 -10 -19 -9 -15 -9 -18 -12 -15 -11 -18 -7 -16 -8 -18 -9 -18 -11 -16 -12 -15 -9 -17 -7 -19 -6 -21 -13 -12 -5 -17 -14 -14 -10 -14 0 0 -11 -14 -12 -13 -15 -14 -12 -15 -15 -15 -17 -11 -9 -15 -14 -9 -19 -12 -12 -9 -18 -15 -14 -12 -12 -12 -18 -10 -17 -14 -23 -13 -17 -15 -23 -14 -16 -12 -20 -9 -18 -12 -12 -11 -18 -11 -22 -13 -16 -10 -20 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,6509799,0,239,0,0,6.70946,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 15 6 10 1 9 1 6 2 14 2 11 3 14 1 6 -1 13 5 10 8 12 9 8 5 11 6 7 6 5 9 8 11 8 5 1 4 5 10 6 10 6 13 10 10 8 10 6 7 4 9 6 10 0 0 6 12 7 8 3 10 6 12 4 8 3 10 7 8 8 7 3 7 7 9 3 11 3 9 5 13 2 9 1 8 3 9 6 12 4 12 -3 12 5 10 1 10 -3 9 -3 9 4 14 1 9 0 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9017990,0,37,0,0,9.21782,128,[37 80 2 0 0 0 0 0 0 0 0 0 8 13 8 11 9 18 7 24 9 16 5 19 2 16 3 17 6 17 7 13 6 20 7 14 6 19 9 19 5 20 9 17 7 20 1 12 3 16 7 14 5 17 8 16 1 12 6 20 4 15 6 15 0 0 8 13 12 13 4 14 5 14 7 9 12 15 8 10 12 15 9 14 5 12 7 14 12 14 10 15 13 13 10 12 14 11 10 13 11 12 11 11 10 13 16 10 8 13 11 6 11 9 15 9 14 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9032518,0,37,0,0,9.23235,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 4 15 6 15 7 18 1 16 3 20 7 15 9 13 7 15 8 16 8 8 8 14 6 13 10 10 11 17 10 19 5 13 7 11 10 13 6 11 10 20 10 17 7 13 11 15 6 14 9 10 12 0 0 13 13 9 8 16 9 14 9 15 0 15 8 15 2 14 8 18 0 14 5 14 5 15 4 12 11 13 10 10 4 17 10 11 9 12 9 13 4 13 6 13 10 14 10 16 11 17 6 10 8 19 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9078930,0,110,0,0,9.27856,128,[110 96 6 0 0 0 0 0 0 0 0 0 -11 -6 -15 -13 -15 -8 -14 -19 -10 -10 -15 -17 -14 -16 -11 -16 -10 -9 -13 -11 -12 -15 -16 -15 -16 -11 -8 -16 -14 -11 -9 -9 -13 -17 -14 -10 -7 -17 -14 -11 -10 -11 -18 -10 -8 -16 -11 -14 -16 -12 -15 -17 0 0 -16 -9 -12 -15 -19 -12 -12 -5 -15 -13 -16 -7 -10 -3 -16 -8 -14 -11 -15 -8 -17 -6 -13 -8 -15 -4 -12 -8 -13 2 -13 -7 -17 -3 -13 -5 -15 -4 -15 -3 -19 -2 -17 -5 -15 -4 -15 1 -15 0 -16 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9087107,0,110,0,0,9.28794,128,[110 96 6 0 0 0 0 0 0 0 0 0 -15 -3 -16 -3 -21 -1 -27 0 -14 -6 -18 -1 -20 0 -19 -7 -17 0 -13 -6 -19 -7 -23 -8 -13 -9 -20 -8 -26 -9 -22 0 -16 -7 -14 -7 -16 -5 -11 -7 -15 -10 -16 -6 -17 -9 -16 -8 -13 -5 -18 -13 0 0 -13 -2 -14 -4 -21 -6 -11 -9 -17 -10 -14 -10 -16 -7 -8 -11 -19 -7 -14 -10 -13 -8 -15 -9 -13 -4 -21 -10 -14 -5 -19 -9 -14 -12 -19 -11 -15 -4 -11 -9 -15 -1 -15 -8 -20 -3 -15 -6 -15 -9 -17 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9095669,0,110,0,0,9.29674,128,[110 96 6 0 0 0 0 0 0 0 0 0 12 7 13 13 12 9 12 10 11 13 8 11 13 16 13 17 7 13 9 11 13 12 8 13 13 15 13 14 7 11 13 16 7 13 9 14 7 12 11 13 18 15 8 16 11 16 15 14 12 11 8 16 0 0 13 7 12 12 11 9 9 9 10 14 13 11 9 9 13 11 8 8 13 13 15 10 8 8 11 7 18 10 16 7 14 8 19 12 11 3 15 8 14 9 16 5 13 4 13 -1 14 10 18 8 17 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,9096813,0,110,0,0,9.30384,128,[110 96 6 0 0 0 0 0 0 0 0 0 19 -6 20 -7 17 -10 21 -11 12 -5 17 -7 19 -5 14 -3 15 -7 14 -5 20 -5 20 -6 15 -3 17 -3 17 0 16 -2 18 1 11 -1 16 -1 17 -5 12 -4 16 2 12 -2 17 -2 15 -4 12 -4 0 0 15 0 13 1 13 -3 13 1 16 -5 14 -2 14 -1 13 0 17 -2 17 5 15 -2 14 1 13 0 17 -1 10 2 19 -1 17 -2 10 0 20 -4 15 -1 16 -5 20 2 17 0 19 0 10 5 19 0 0 0 0 0 0 0 0 0 0 0 ]
