type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,21848,0,34,0,0,0.220367,128,[34 32 2 0 0 0 0 0 0 0 0 0 -10 22 -11 14 -7 11 -4 15 -9 15 -13 15 -16 12 -12 13 -13 13 -14 14 -11 15 -13 12 -13 13 -16 17 -9 13 -10 17 -13 14 -11 13 -13 16 -9 18 -12 10 -10 14 -10 13 -11 12 -7 12 -12 13 0 0 -6 13 -10 18 -6 20 -7 16 -4 14 -5 16 -5 19 -6 16 -6 15 -6 18 -1 19 -5 16 -2 17 -5 15 -1 14 -3 19 -1 14 -1 16 -5 18 -3 16 1 19 0 17 -4 19 0 18 3 21 -1 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,38158,0,131,0,0,0.236329,128,[-125 48 8 0 0 0 0 0 0 0 0 0 9 15 9 11 8 13 6 12 6 17 11 17 9 15 6 18 7 20 8 15 7 15 9 15 5 21 5 16 8 15 5 18 4 20 2 15 3 17 7 17 4 16 2 15 2 17 6 13 1 17 9 10 0 0 5 16 0 17 9 17 2 14 3 9 9 15 7 15 6 16 4 17 5 15 10 17 7 18 7 12 7 18 9 15 12 20 7 11 7 15 10 15 11 16 8 15 9 21 8 14 5 14 8 16 7 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4042047,0,30,0,0,4.24025,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -21 1 -19 9 -21 5 -21 2 -27 5 -21 3 -26 -1 -23 -3 -21 -3 -23 -2 -20 1 -24 0 -20 -2 -20 -1 -19 -2 -23 2 -21 0 -19 1 -23 1 -21 3 -22 1 -23 -6 -19 -3 -20 -1 -24 3 -21 1 0 0 -25 2 -24 5 -23 7 -25 5 -18 3 -19 3 -21 4 -20 6 -18 2 -19 1 -16 4 -23 1 -20 5 -23 8 -21 6 -21 6 -20 8 -21 2 -20 1 -18 4 -24 -1 -22 1 -24 -2 -21 0 -20 1 -18 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6488359,0,131,0,0,6.68692,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -11 14 -9 13 -11 11 -12 10 -7 14 -13 14 -15 10 -13 12 -15 11 -19 11 -15 12 -13 13 -15 15 -15 13 -15 14 -16 9 -16 15 -11 7 -15 7 -15 7 -15 8 -13 12 -12 4 -13 7 -12 13 -13 11 0 0 -13 12 -17 11 -16 11 -11 11 -17 13 -9 10 -13 10 -12 12 -10 9 -13 8 -8 11 -6 10 -13 12 -12 11 -9 17 -14 16 -12 11 -16 13 -16 14 -8 12 -8 15 -15 15 -4 10 -11 16 -10 13 -9 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6514116,0,239,0,0,6.71266,128,[-17 -16 14 0 0 0 0 0 0 0 0 0 -10 -11 -15 -10 -11 -18 -13 -21 -13 -18 -12 -16 -9 -18 -6 -18 -9 -22 -8 -20 -16 -18 -12 -17 -3 -17 -11 -18 -2 -23 -8 -18 -8 -18 -6 -14 -6 -21 -9 -12 -7 -15 -7 -17 -11 -14 -13 -17 -10 -21 -8 -12 0 0 -9 -16 -8 -16 -10 -18 -9 -14 -8 -14 -9 -19 -6 -16 -6 -12 -10 -14 -6 -14 -14 -20 -14 -17 -12 -16 -11 -14 -11 -19 -11 -17 -10 -18 -9 -18 -10 -18 -13 -14 -12 -15 -9 -13 -12 -21 -13 -11 -13 -13 -13 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,8016292,0,37,0,0,8.21474,128,[37 80 2 0 0 0 0 0 0 0 0 0 9 -19 7 -17 12 -15 7 -17 13 -13 12 -13 9 -8 14 -14 16 -12 15 -10 20 -14 13 -9 13 -10 12 -12 11 -9 17 -15 15 -11 14 -8 16 -7 20 -10 15 -9 20 -9 17 -11 16 -14 9 -5 15 -11 0 0 15 -3 12 -12 13 -9 17 -7 8 -6 18 -7 15 -9 15 -9 19 0 16 -6 24 -8 14 -9 16 -6 15 -4 18 -3 18 -6 21 -6 13 -8 20 -12 16 -9 17 -9 17 -4 17 -11 22 -8 14 -7 15 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,8041871,0,37,0,0,8.24036,128,[37 80 2 0 0 0 0 0 0 0 0 0 -15 -8 -20 -7 -15 -9 -19 -9 -10 -15 -17 -14 -13 -13 -16 -9 -14 -10 -12 -15 -12 -11 -17 -17 -14 -17 -15 -11 -12 -9 -15 -13 -14 -16 -6 -10 -12 -11 -16 -15 -11 -13 -18 -16 -10 -17 -14 -10 -9 -11 -15 -11 0 0 -14 -16 -16 -15 -17 -13 -10 -12 -15 -11 -17 -10 -14 -10 -11 -14 -11 -17 -16 -11 -15 -13 -15 -10 -18 -13 -15 -7 -18 -10 -16 -17 -15 -12 -14 -14 -14 -15 -11 -9 -13 -14 -14 -11 -14 -13 -15 -11 -19 -8 -13 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,8077401,0,110,0,0,8.27561,128,[110 96 6 0 0 0 0 0 0 0 0 0 -2 18 2 18 -5 16 0 17 -1 15 -6 16 -9 16 -1 16 -7 19 -11 20 -7 16 -6 18 -8 17 -8 8 -8 17 -6 18 -8 13 -8 13 -5 14 -10 14 -7 16 1 14 -6 13 -9 16 -12 20 -9 13 0 0 -8 15 -6 16 -4 14 -2 13 -5 10 -6 14 -9 16 -7 13 -7 11 -12 15 -10 21 -8 13 -3 16 -3 13 -3 14 -5 16 -4 17 -7 15 -8 16 -3 16 -9 14 -7 16 -3 15 -5 14 -4 9 -5 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,8088603,0,110,0,0,8.28637,384,[110 96 6 0 0 0 0 0 0 0 0 0 -14 -4 -11 -1 -9 -3 -20 -5 -13 0 -11 -8 -8 -10 -9 -7 -8 -7 -10 -10 -11 -7 -9 -4 -8 -7 -12 -4 -9 -6 -12 -13 -9 -7 -9 -12 -8 -9 -10 -7 -9 -8 -8 -14 -5 -10 -9 -13 -7 -11 -12 -7 0 0 -6 -9 -7 -11 -12 -11 -11 -11 -7 -8 -10 -7 -8 -6 -7 -5 -9 -5 -9 -11 -11 -11 -9 -7 -8 -5 -11 -8 -2 -9 -11 -9 -9 -9 -4 -14 -5 -10 -9 -9 -9 -6 -8 -7 -9 -6 -8 -2 -10 -8 -6 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-89,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,8096464,0,110,0,0,8.2953,384,[110 96 6 0 0 0 0 0 0 0 0 0 -10 13 -5 13 -4 13 -1 8 -2 9 -6 8 -6 7 -3 15 -9 5 -6 14 -10 10 -6 8 -8 9 -11 8 -12 5 -5 8 -3 10 -6 4 -7 8 -12 6 -10 7 -15 5 -14 8 -4 6 -7 7 -5 9 0 0 -8 5 -10 6 -6 11 -10 6 -9 11 -10 3 -9 6 -9 9 -14 9 -9 7 -13 3 -8 2 -7 4 -6 4 -11 4 -7 7 -2 9 -12 11 -12 10 -11 2 -6 8 -13 5 -12 8 -12 10 -6 7 -10 7 0 0 0 0 0 0 0 0 0 0 ]
