type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,24936,0,34,0,0,0.225993,128,[34 32 2 0 0 0 0 0 0 0 0 0 14 -19 8 -13 11 -21 15 -19 14 -12 7 -12 15 -16 16 -15 10 -17 19 -16 17 -21 10 -10 18 -11 12 -12 16 -17 15 -18 14 -10 15 -12 15 -12 12 -7 13 -16 10 -14 11 -10 14 -13 8 -14 18 -14 0 0 13 -15 13 -16 9 -14 11 -11 13 -19 12 -18 12 -15 8 -16 9 -19 12 -13 12 -15 11 -15 9 -15 15 -17 9 -17 13 -18 11 -17 12 -18 10 -18 5 -21 7 -21 6 -13 8 -16 5 -20 4 -16 7 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-82,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,41091,0,131,0,0,0.241794,128,[-125 48 8 0 0 0 0 0 0 0 0 0 10 16 9 19 3 23 10 19 6 18 8 21 8 24 5 20 2 18 2 17 6 19 4 20 7 17 4 15 7 20 4 19 8 23 5 18 5 20 1 20 -1 21 7 21 5 18 3 17 8 19 3 22 0 0 5 14 8 17 8 18 8 17 4 15 12 16 7 17 4 12 6 15 9 16 10 15 10 16 12 17 11 12 14 17 10 17 16 16 10 13 17 15 15 15 11 17 10 9 13 16 13 15 13 14 13 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4045013,0,30,0,0,4.24575,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -11 4 -13 6 -8 2 -13 6 -9 -2 -7 1 -11 1 -14 5 -15 1 -12 2 -12 0 -13 -1 -17 -1 -12 -3 -10 0 -16 4 -16 -1 -14 1 -10 6 -9 -3 -19 4 -10 4 -12 -2 -16 2 -15 3 -17 3 0 0 -12 4 -13 4 -10 4 -14 4 -8 2 -13 2 -11 1 -17 4 -7 7 -11 3 -11 2 -16 2 -14 7 -12 8 -10 1 -11 4 -14 4 -9 3 -11 4 -13 2 -11 4 -9 0 -11 7 -15 3 -16 -1 -14 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6493750,0,131,0,0,6.69484,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -13 -18 -13 -15 -16 -8 -15 -15 -11 -18 -13 -18 -12 -14 -16 -20 -11 -10 -10 -14 -10 -25 -14 -18 -16 -16 -12 -17 -14 -24 -11 -18 -10 -21 -7 -15 -10 -21 -9 -22 -11 -22 -7 -20 -6 -15 -10 -16 -5 -19 -9 -13 0 0 -11 -16 -13 -17 -11 -17 -7 -17 -6 -17 -8 -19 -6 -17 -1 -16 -5 -20 -10 -17 -10 -15 -9 -19 -10 -15 -8 -21 -12 -20 -10 -15 -12 -15 -8 -21 -8 -17 -6 -16 -10 -21 -7 -20 -10 -16 -9 -18 -11 -18 -10 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,6523087,0,239,0,0,6.72391,384,[-17 -16 14 0 0 0 0 0 0 0 0 0 13 -4 8 -2 12 -5 4 -3 10 -2 11 -3 9 -1 14 0 18 1 12 -1 13 4 16 -1 13 3 11 4 13 3 11 3 15 2 7 -1 11 2 17 0 7 5 13 0 8 -1 13 2 10 4 12 -3 0 0 13 3 12 -1 15 4 12 4 10 2 5 -3 18 4 12 4 14 0 11 2 12 1 10 1 9 -1 8 -4 13 8 16 4 13 4 12 0 13 -5 13 -1 12 2 13 0 7 6 4 3 9 3 11 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8015498,0,37,0,0,8.21647,128,[37 80 2 0 0 0 0 0 0 0 0 0 12 -9 12 -8 14 -12 12 -11 14 -11 18 -9 16 -12 13 -9 17 -1 19 -10 18 -7 19 -7 18 -7 13 -12 19 -6 21 -6 20 -7 20 -4 18 -8 16 -7 16 -3 15 -11 19 -4 14 -4 16 -1 18 -6 0 0 13 -3 19 -5 16 -9 17 -7 16 1 17 -9 18 -5 16 -1 19 -6 16 -6 15 -9 14 -8 21 -6 14 -4 19 -8 20 -12 17 -9 18 -7 13 -8 18 -9 17 -8 17 -8 15 -12 14 -6 17 -9 17 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-83,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8029376,0,37,0,0,8.23,128,[37 80 2 0 0 0 0 0 0 0 0 0 17 10 15 8 16 13 16 11 12 14 14 18 11 13 14 15 13 18 15 15 16 15 15 17 11 10 11 14 14 17 18 17 16 15 14 14 12 15 9 14 10 13 13 17 11 13 10 15 13 14 15 14 0 0 9 8 13 10 14 12 15 11 13 12 16 13 16 14 15 9 14 8 15 9 19 7 16 13 13 10 18 13 17 16 15 10 14 9 17 9 19 9 13 7 17 9 20 8 15 14 18 9 17 12 16 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,1,1,1,1,0,0,0,0,-96,0,6,1,8080752,0,110,0,0,8.28151,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 -6 9 -7 13 -5 11 -10 12 -4 12 -10 12 -6 12 -2 13 -6 13 -8 13 -6 9 -3 12 -2 13 -1 14 -8 12 -5 11 -6 10 0 13 -7 13 -6 10 -4 16 -7 11 -9 13 -4 9 -5 12 -2 0 0 11 -8 13 -5 14 -4 13 -5 9 -3 8 -5 5 -8 7 -8 9 -8 15 -12 11 -9 10 -10 12 -11 6 -10 4 -12 11 -11 10 -8 10 -6 5 -8 4 -11 8 -13 1 -9 9 -14 8 -10 5 -13 5 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-84,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8101494,0,110,0,0,8.30217,128,[110 96 6 0 0 0 0 0 0 0 0 0 3 -20 4 -19 4 -22 12 -23 4 -18 10 -14 13 -25 8 -18 8 -17 14 -15 14 -21 12 -20 12 -26 12 -21 9 -15 9 -24 6 -17 12 -20 13 -15 12 -19 13 -20 11 -20 10 -18 16 -19 9 -23 12 -15 0 0 7 -19 14 -18 16 -13 13 -17 11 -18 9 -18 12 -18 7 -22 10 -22 3 -19 5 -18 10 -19 6 -18 7 -22 8 -19 4 -20 6 -22 7 -16 13 -12 9 -17 8 -22 9 -23 6 -20 7 -23 3 -20 5 -19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,8109118,0,110,0,0,8.31093,128,[110 96 6 0 0 0 0 0 0 0 0 0 -6 21 -4 21 -4 16 -7 25 -12 16 -10 18 -4 22 -8 21 -9 22 -1 12 -12 16 -8 20 -5 23 -7 21 -14 12 -10 20 -7 23 -4 17 -6 17 -11 15 -7 14 -6 15 -12 10 -9 20 -12 11 -12 18 0 0 -3 16 -8 16 -5 11 -4 10 -3 17 -7 14 -7 14 -10 14 -9 16 -8 13 -8 18 -6 15 -5 13 -4 19 -8 16 -4 16 -6 18 -10 17 -6 20 -3 17 -9 16 -1 18 -3 17 0 16 -7 16 -3 12 0 0 0 0 0 0 0 0 0 0 ]
