type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,21545,0,34,0,0,0.219927,128,[34 32 2 0 0 0 0 0 0 0 0 0 8 16 5 11 6 14 13 18 0 16 8 13 3 10 5 14 3 11 4 11 5 14 6 15 4 13 3 15 5 11 10 15 8 11 9 10 1 18 8 20 1 12 6 9 5 7 1 18 -1 8 1 10 0 0 4 10 5 14 0 3 1 15 4 13 3 13 5 9 5 13 11 8 7 10 10 12 5 9 7 12 7 9 10 9 7 14 7 14 8 9 7 5 6 17 7 8 9 10 10 13 6 7 4 4 10 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,36274,0,131,0,0,0.234302,128,[-125 48 8 0 0 0 0 0 0 0 0 0 4 -14 4 -17 11 -15 5 -19 10 -13 5 -15 6 -15 10 -9 6 -10 13 -14 11 -12 15 -13 7 -9 13 -15 7 -12 11 -9 9 -11 8 -10 9 -6 7 -8 13 -9 6 -11 9 -9 5 -9 8 -14 3 -12 0 0 9 -18 7 -11 -1 -12 4 -9 5 -20 8 -6 5 -11 5 -9 6 -12 3 -13 4 -17 5 -7 2 -13 3 -13 2 -17 1 -14 6 -15 -2 -13 0 -14 0 -13 3 -12 -2 -16 4 -12 3 -19 3 -10 3 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4040185,0,30,0,0,4.23824,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -17 12 -15 13 -18 5 -12 7 -11 7 -19 3 -18 6 -20 1 -11 4 -14 4 -12 3 -11 2 -13 0 -14 0 -13 3 -15 4 -20 5 -13 1 -12 1 -13 -1 -12 -2 -14 1 -16 1 -13 3 -15 0 -15 4 0 0 -16 -2 -12 3 -14 0 -16 5 -7 2 -17 -2 -13 4 -12 -1 -10 4 -11 1 -15 -1 -9 -3 -14 2 -13 -1 -8 9 -16 -4 -9 5 -16 0 -12 4 -11 -1 -15 1 -11 0 -10 -7 -18 3 -15 6 -16 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,48:A4:72:F4:F6:9B,-39,0,0,0,0,0,0,0,0,0,0,-98,0,1,0,4174258,0,239,0,0,4.40802,256,[-17 -16 14 0 -4 0 1 -1 -2 3 2 -2 3 0 -1 -1 5 -13 2 2 1 -3 3 -2 -3 -2 0 5 -2 -2 -3 -1 0 1 3 -1 -1 -3 1 -3 0 2 0 2 0 0 -2 -1 -3 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -3 0 -3 -4 0 -1 -1 1 -3 3 0 0 0 1 1 2 5 0 2 -3 -1 0 6 1 0 -1 -3 -2 1 -3 0 2 2 -3 -1 -2 -3 -1 -4 1 0 -1 1 -1 -2 -1 -2 4 1 -2 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6487171,0,131,0,0,6.68557,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -5 12 -12 11 -8 14 -4 16 -6 9 -14 10 -7 11 -2 16 -13 9 -5 14 -10 10 -12 12 -12 10 -11 14 -6 8 -15 8 -13 8 -15 8 -8 5 -8 10 -5 8 -9 11 -1 7 -4 8 -3 17 -10 10 0 0 -7 9 -8 11 -4 11 -10 11 -10 12 -8 17 -10 13 -10 8 -3 11 -11 7 -13 13 -12 13 -7 8 -6 11 -3 11 -5 10 -5 13 -7 13 -9 11 -9 10 -7 10 -11 12 -13 12 -12 19 -8 11 -6 14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,8017393,0,37,0,0,8.21572,128,[37 80 2 0 0 0 0 0 0 0 0 0 -1 -22 -2 -18 1 -18 3 -15 5 -20 1 -18 2 -17 1 -16 7 -16 3 -17 7 -15 2 -14 1 -20 8 -9 3 -9 4 -13 6 -13 7 -15 4 -9 2 -16 2 -13 6 -11 2 -11 3 -14 0 -13 2 -13 0 0 1 -15 2 -15 0 -13 4 -11 2 -14 1 -18 -1 -10 5 -14 -2 -10 -1 -11 2 -17 0 -15 -1 -14 -3 -10 -4 -12 0 -11 -1 -11 -6 -12 -4 -16 -5 -10 4 -15 -1 -15 -5 -15 -1 -16 -3 -11 -4 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,8032160,0,37,0,0,8.23045,128,[37 80 2 0 0 0 0 0 0 0 0 0 14 -2 18 0 18 0 14 -2 10 -1 17 5 15 4 15 6 10 8 13 2 13 8 15 3 14 4 15 -6 12 4 9 0 8 8 21 2 11 -1 14 2 13 -1 9 -2 9 3 13 3 9 4 5 5 0 0 10 -2 19 -2 7 -1 10 -2 14 -3 11 3 18 4 9 -4 14 -3 12 0 12 -5 10 -6 12 -5 8 -1 11 -2 12 -1 11 1 7 0 12 -4 15 -4 11 0 8 -3 12 0 13 -5 11 -4 11 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,13985243,0,110,0,0,14.1835,128,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -5 6 -11 -4 -13 0 -18 8 -13 0 -11 4 -13 9 -13 2 -11 -2 -12 7 -13 6 -10 1 -9 4 -8 8 -13 3 -10 7 -8 -4 -8 0 -6 4 -9 1 -13 1 -10 2 -9 4 -10 2 -9 4 -13 0 0 1 -11 -1 -9 -4 -9 -6 -13 -2 -6 0 -13 -3 -17 0 -11 1 -11 4 -14 -2 -10 -3 -11 -6 -13 -5 -10 -2 -15 -3 -11 -5 -12 -4 -10 -5 -14 -8 -11 -4 -12 -6 -9 -4 -10 -13 -14 -1 -11 -6 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,13998611,0,110,0,0,14.1965,128,[110 96 6 0 0 0 0 0 0 0 0 0 -11 11 -11 15 -9 8 -10 12 -2 9 -13 11 -10 6 -9 5 -8 7 -11 4 -12 6 -10 6 -13 7 -12 8 -9 10 -10 7 -8 9 -9 0 -8 5 -9 8 -11 8 -10 8 -7 3 -11 5 -9 6 -10 8 0 0 -8 5 -8 8 -6 8 -10 7 -7 5 -9 9 -10 11 -10 5 -6 7 -9 4 -10 9 -1 10 -6 9 -10 8 -7 6 -12 9 -4 6 -7 7 -11 11 -4 5 -6 9 -8 11 -8 7 -6 8 -6 16 -8 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,14010447,0,110,0,0,14.2084,128,[110 96 6 0 0 0 0 0 0 0 0 0 -8 -9 -3 -8 -12 -6 -10 -7 -9 -4 -7 -6 -11 -8 -8 -10 -4 -15 -10 -8 -4 -12 -6 -11 -7 -8 -7 -11 -6 -11 -1 -7 -2 -8 1 -8 0 -10 -7 -6 -3 -7 -2 -10 0 -7 -2 -13 -1 -9 -9 -15 0 0 -5 -11 -1 -9 1 -9 0 -12 -2 -14 0 -10 -1 -4 -3 -10 2 -7 -2 -13 0 -15 -4 -12 -1 -11 4 -9 0 -14 -10 -15 6 -6 -2 -16 0 -9 1 -12 2 -10 6 -11 4 -11 2 -10 -3 -8 7 -10 0 0 0 0 0 0 0 0 0 0 ]
