type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-16,11,1,7,1,1,1,0,0,0,1,-96,0,1,1,753255,0,157,0,0,1.15286,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -15 14 -16 14 -16 13 -17 13 -16 12 -17 12 -17 12 -17 11 -17 11 -17 10 -18 10 -17 9 -17 9 -17 9 -18 9 -17 8 -17 8 -16 7 -17 8 -16 8 -16 8 -16 8 -16 8 -15 8 -15 8 -15 8 0 0 -15 8 -14 8 -14 9 -14 8 -14 9 -13 9 -13 9 -13 9 -13 9 -12 9 -12 10 -12 10 -12 11 -12 11 -12 10 -12 11 -11 11 -11 11 -11 12 -11 12 -11 12 -11 12 -10 12 -10 13 -10 13 -10 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 22 22 19 24 20 21 21 22 20 22 20 21 19 23 20 22 16 23 18 22 19 21 18 22 18 22 15 23 15 23 15 23 13 24 12 25 13 22 12 24 12 23 11 25 10 24 10 23 9 24 10 24 8 25 6 25 6 25 8 26 7 27 7 25 6 27 6 26 6 27 5 27 6 27 6 28 6 28 8 27 7 29 5 29 4 30 4 30 6 28 8 30 8 28 7 29 9 28 10 28 12 28 11 27 11 27 9 28 10 27 13 27 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -34 19 -36 17 -34 16 -37 16 -36 14 -37 14 -37 11 -37 11 -38 9 -36 10 -36 11 -37 10 -37 10 -36 9 -38 7 -34 7 -35 6 -33 7 -35 7 -34 5 -33 6 -33 6 -31 7 -31 9 -31 8 -32 8 -31 9 -32 8 -29 8 -30 9 -29 9 -29 10 -28 10 -28 10 -28 10 -29 11 -27 12 -27 14 -26 14 -26 15 -27 16 -26 14 -27 16 -24 16 -26 17 -26 16 -26 17 -26 17 -25 18 -24 18 -24 20 -24 20 -25 20 -24 19 -23 21 -24 21 -22 20 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-17,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,1748166,0,157,0,0,2.14612,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -5 -20 -5 -21 -4 -21 -3 -21 -3 -21 -2 -21 -2 -20 -1 -21 -1 -21 0 -20 0 -20 0 -20 1 -20 1 -20 1 -20 1 -19 1 -19 1 -18 1 -19 1 -18 1 -18 1 -18 1 -17 1 -18 1 -17 0 -17 0 0 0 -17 0 -17 -1 -17 -1 -16 -1 -17 -1 -16 -2 -16 -2 -16 -2 -16 -3 -16 -3 -16 -3 -16 -3 -16 -4 -16 -4 -16 -4 -16 -4 -16 -5 -16 -5 -16 -6 -16 -6 -16 -6 -16 -6 -16 -6 -16 -7 -16 -7 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -31 9 -29 12 -29 12 -30 10 -27 12 -28 12 -27 12 -29 13 -26 12 -26 12 -26 12 -26 12 -26 12 -24 13 -23 14 -24 15 -25 16 -24 16 -25 17 -21 14 -22 15 -20 16 -21 18 -22 16 -21 18 -22 17 -19 18 -18 19 -18 20 -17 20 -18 20 -19 21 -18 20 -19 21 -18 20 -20 22 -19 21 -20 21 -20 22 -20 22 -17 21 -18 22 -20 23 -20 24 -22 23 -20 21 -21 22 -21 21 -22 20 -22 21 -23 20 -23 19 -25 19 -25 18 -23 19 -24 19 -25 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -39 -6 -40 -4 -38 -3 -41 -3 -38 -2 -39 1 -39 1 -38 4 -40 1 -37 1 -37 2 -37 2 -39 2 -38 3 -39 4 -34 5 -35 4 -33 4 -35 6 -33 5 -33 7 -34 3 -31 2 -32 2 -32 2 -32 1 -32 2 -33 2 -30 2 -32 1 -29 0 -31 1 -31 0 -31 -1 -31 -1 -31 -2 -28 -4 -30 -5 -30 -5 -31 -5 -32 -4 -29 -6 -31 -6 -29 -6 -30 -6 -30 -6 -31 -6 -30 -8 -32 -9 -30 -10 -29 -11 -30 -10 -32 -8 -29 -11 -30 -11 -32 -10 -29 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-17,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,2748639,0,157,0,0,3.14658,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 17 -10 18 -10 18 -9 19 -8 18 -8 19 -7 19 -7 19 -7 19 -6 19 -6 19 -5 19 -5 19 -5 18 -4 18 -4 18 -3 18 -3 17 -3 17 -4 17 -4 17 -4 17 -4 16 -4 16 -4 16 -4 16 -4 0 0 15 -4 15 -4 15 -5 15 -5 15 -5 14 -6 14 -6 14 -6 14 -6 14 -6 14 -6 14 -7 14 -7 14 -8 13 -7 14 -8 13 -8 14 -9 13 -9 13 -9 13 -9 13 -10 13 -10 13 -10 13 -10 13 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 -28 -16 -27 -17 -28 -15 -28 -16 -27 -16 -27 -16 -25 -17 -26 -17 -24 -17 -25 -16 -26 -17 -24 -17 -24 -17 -21 -18 -22 -19 -21 -20 -21 -20 -20 -21 -21 -18 -20 -20 -21 -20 -19 -21 -17 -20 -18 -21 -17 -21 -18 -21 -17 -22 -14 -23 -14 -24 -16 -24 -16 -25 -16 -24 -14 -24 -15 -24 -15 -24 -15 -25 -14 -25 -15 -25 -14 -25 -17 -26 -15 -27 -15 -26 -13 -27 -14 -27 -15 -25 -18 -26 -18 -26 -16 -26 -19 -25 -20 -25 -20 -24 -20 -24 -19 -23 -18 -24 -19 -23 -22 -23 -23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 -9 38 -8 38 -6 39 -5 37 -4 39 -3 38 -1 37 -1 38 0 36 0 36 0 37 1 37 1 37 1 37 2 34 3 34 4 33 2 34 2 33 4 32 2 33 4 31 1 31 0 31 0 31 1 31 0 31 0 29 -1 31 -1 29 -1 30 -2 29 -2 30 -2 29 -4 29 -3 28 -4 29 -6 28 -7 28 -8 29 -7 28 -7 29 -8 28 -9 30 -9 29 -9 29 -10 28 -10 29 -11 27 -11 28 -13 29 -13 29 -13 28 -13 28 -14 28 -14 27 -13 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-7,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,3755001,0,30,0,0,4.15297,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -44 -25 -45 -29 -43 -28 -46 -32 -41 -32 -39 -34 -37 -33 -36 -34 -34 -34 -34 -32 -37 -35 -36 -35 -34 -33 -34 -32 -32 -32 -36 -31 -33 -31 -31 -29 -34 -30 -33 -27 -34 -28 -35 -27 -33 -26 -36 -26 -38 -27 -37 -26 0 0 -38 -23 -38 -22 -40 -23 -37 -20 -37 -21 -39 -20 -37 -18 -37 -19 -38 -17 -37 -14 -40 -13 -37 -13 -38 -14 -41 -13 -37 -11 -43 -12 -40 -11 -41 -11 -40 -11 -39 -10 -41 -10 -38 -12 -38 -12 -39 -13 -38 -13 -37 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-17,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,5948075,0,157,0,0,6.34649,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -19 -6 -20 -7 -18 -8 -19 -9 -17 -9 -19 -10 -18 -10 -17 -10 -17 -11 -16 -10 -17 -10 -16 -10 -17 -11 -16 -11 -16 -11 -15 -11 -15 -11 -14 -11 -15 -11 -14 -11 -14 -10 -14 -11 -13 -10 -14 -10 -14 -10 -15 -9 0 0 -14 -9 -13 -9 -14 -9 -13 -8 -14 -8 -14 -8 -14 -8 -14 -7 -14 -7 -14 -6 -15 -6 -15 -6 -15 -6 -15 -5 -14 -6 -15 -5 -14 -5 -16 -5 -16 -5 -16 -4 -16 -4 -16 -4 -15 -3 -16 -3 -17 -3 -17 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -19 21 -19 24 -18 23 -18 23 -17 24 -17 23 -18 24 -17 22 -17 23 -15 23 -15 23 -14 23 -14 23 -14 23 -13 23 -12 23 -13 24 -12 23 -12 22 -11 23 -9 23 -10 24 -10 24 -10 23 -8 24 -9 23 -7 25 -7 25 -7 25 -5 25 -5 25 -5 25 -7 26 -6 25 -5 27 -6 25 -6 26 -6 26 -5 26 -5 26 -4 27 -4 28 -6 27 -6 27 -6 26 -7 29 -7 28 -7 28 -7 27 -8 29 -8 28 -9 28 -10 27 -12 26 -12 26 -11 28 -13 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -25 -29 -23 -29 -23 -31 -21 -30 -22 -33 -20 -32 -19 -32 -20 -32 -17 -32 -18 -35 -17 -33 -16 -33 -15 -34 -14 -32 -14 -31 -13 -33 -12 -30 -14 -32 -13 -31 -12 -30 -14 -30 -12 -29 -14 -30 -14 -30 -13 -29 -12 -28 -13 -28 -13 -26 -13 -28 -13 -27 -14 -26 -14 -26 -15 -27 -15 -25 -17 -25 -15 -24 -17 -24 -17 -24 -17 -24 -19 -23 -18 -22 -19 -24 -18 -22 -21 -23 -20 -21 -20 -22 -21 -21 -21 -21 -20 -21 -22 -21 -22 -22 -22 -20 -22 -19 -23 -21 -23 -21 -22 -20 -23 -21 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-17,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,6946054,0,157,0,0,7.34399,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -21 3 -21 3 -21 2 -22 1 -21 1 -21 0 -21 0 -21 -1 -21 -1 -20 -1 -20 -2 -20 -2 -20 -2 -20 -2 -20 -3 -19 -3 -19 -3 -18 -3 -19 -2 -18 -2 -18 -2 -17 -2 -17 -2 -17 -2 -17 -2 -18 -1 0 0 -17 -1 -16 -1 -17 0 -16 0 -17 0 -16 1 -16 1 -16 2 -16 1 -16 2 -16 2 -16 3 -16 3 -16 4 -15 3 -16 4 -15 4 -16 5 -16 5 -16 5 -16 5 -16 6 -15 6 -15 6 -16 6 -16 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 30 8 28 9 29 8 29 9 28 9 29 9 27 9 28 10 25 11 27 10 27 10 26 10 27 12 23 13 24 13 23 14 23 14 22 14 23 13 22 15 22 14 22 16 20 14 21 15 20 15 20 16 19 18 18 18 17 19 19 20 19 20 20 18 17 20 19 19 18 20 18 20 18 20 18 21 18 22 20 21 19 23 18 22 16 23 18 23 19 21 20 22 21 20 19 22 23 21 23 20 24 19 23 19 22 18 21 19 22 18 24 17 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -39 -1 -40 -3 -38 -5 -40 -7 -37 -7 -40 -8 -38 -10 -37 -9 -37 -11 -36 -9 -37 -10 -36 -10 -36 -11 -36 -11 -36 -13 -33 -12 -34 -13 -32 -11 -34 -11 -32 -13 -31 -12 -31 -13 -30 -9 -31 -9 -31 -9 -31 -8 -31 -8 -32 -9 -29 -8 -31 -8 -29 -7 -30 -6 -30 -7 -30 -5 -29 -5 -31 -5 -29 -3 -30 -1 -29 -1 -31 0 -31 0 -30 -1 -31 0 -29 1 -32 1 -31 1 -32 2 -31 3 -31 3 -29 4 -31 5 -31 6 -33 5 -30 5 -30 7 -32 7 -30 5 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-17,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,7946895,0,157,0,0,8.34487,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 3 -20 4 -21 5 -20 5 -20 6 -20 7 -20 7 -19 7 -19 8 -19 8 -18 9 -18 9 -18 9 -18 9 -17 9 -17 9 -16 9 -16 8 -16 9 -16 9 -16 9 -16 8 -15 8 -15 8 -15 8 -15 7 -15 0 0 7 -15 7 -14 7 -15 6 -15 6 -15 6 -15 5 -15 5 -15 5 -15 4 -15 4 -15 4 -15 4 -16 3 -16 3 -16 3 -16 3 -16 2 -16 2 -17 2 -16 1 -16 1 -17 1 -16 1 -17 1 -17 1 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -31 -9 -30 -5 -32 -6 -30 -8 -29 -6 -31 -6 -29 -6 -31 -5 -28 -4 -30 -5 -28 -5 -29 -4 -29 -4 -27 -2 -28 -2 -29 -1 -29 1 -29 1 -29 1 -26 0 -27 0 -26 2 -28 4 -28 2 -27 4 -28 3 -25 4 -26 6 -26 6 -25 7 -27 7 -28 7 -26 7 -28 8 -26 7 -28 9 -28 8 -28 8 -29 9 -28 7 -27 8 -28 8 -29 10 -31 10 -31 9 -28 7 -30 6 -29 7 -30 5 -30 5 -30 4 -29 4 -32 3 -30 4 -30 5 -30 3 -30 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -34 19 -35 19 -32 22 -34 20 -32 23 -32 24 -30 23 -29 26 -29 23 -28 24 -28 24 -28 24 -29 24 -28 26 -28 24 -23 25 -24 22 -24 24 -26 25 -23 23 -23 25 -23 21 -23 19 -24 20 -24 20 -24 20 -24 21 -25 19 -23 20 -24 18 -22 18 -25 18 -24 17 -25 16 -25 17 -25 15 -24 14 -25 13 -27 13 -28 14 -28 13 -25 13 -28 11 -27 12 -28 12 -27 12 -28 11 -28 11 -30 9 -29 8 -30 8 -30 10 -32 9 -29 7 -31 8 -32 7 -30 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-7,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,8952504,0,30,0,0,9.35053,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -29 -42 -28 -45 -27 -44 -28 -48 -23 -47 -21 -47 -19 -45 -18 -46 -16 -46 -17 -44 -18 -47 -18 -47 -17 -44 -16 -44 -14 -43 -18 -44 -15 -42 -14 -41 -16 -41 -17 -39 -18 -40 -19 -40 -17 -38 -19 -39 -22 -41 -22 -40 0 0 -22 -39 -23 -38 -24 -39 -23 -36 -21 -35 -24 -36 -24 -34 -24 -34 -25 -34 -25 -30 -28 -31 -26 -29 -26 -31 -30 -31 -27 -29 -31 -32 -30 -30 -29 -30 -29 -29 -28 -28 -30 -30 -27 -31 -28 -30 -27 -31 -26 -31 -25 -31 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-17,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,11145179,0,157,0,0,11.5432,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 18 7 19 8 17 8 18 9 17 10 17 10 17 10 16 10 16 11 15 11 15 12 15 11 15 12 14 12 14 12 13 11 14 12 13 11 13 11 13 11 12 11 13 11 12 11 12 10 12 10 12 10 0 0 12 10 12 9 13 9 12 9 13 9 12 8 13 8 13 8 13 8 13 7 13 7 13 7 13 7 14 7 13 6 14 6 14 5 15 5 15 5 15 5 15 5 15 5 14 4 15 4 15 4 15 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -28 11 -28 11 -30 11 -28 8 -28 9 -30 10 -27 10 -29 8 -26 7 -30 8 -28 6 -27 6 -28 5 -26 4 -28 4 -28 4 -28 3 -27 4 -28 3 -26 3 -28 0 -26 1 -28 2 -27 0 -25 0 -27 -2 -26 -2 -27 -2 -27 -4 -28 -4 -28 -4 -29 -2 -25 -3 -28 -4 -26 -3 -29 -4 -28 -3 -28 -3 -28 -4 -30 -6 -28 -5 -30 -4 -29 -5 -29 -4 -30 -4 -30 -3 -32 -3 -28 -3 -32 -2 -31 -1 -31 -1 -31 1 -30 1 -28 1 -30 1 -31 3 -33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 20 32 23 29 22 30 26 28 24 29 27 25 27 26 26 24 28 23 26 24 27 24 27 24 28 23 27 23 30 19 27 20 29 20 25 21 28 19 28 19 26 19 27 19 23 20 24 20 24 20 23 20 23 21 23 18 22 21 23 19 20 21 22 20 21 20 21 20 19 21 19 21 17 23 18 23 18 23 17 25 18 22 16 25 17 24 15 26 16 25 16 26 16 26 14 26 14 25 14 27 14 27 12 29 14 27 12 27 13 28 13 26 12 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-17,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,12143209,0,157,0,0,12.5412,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -19 7 -20 7 -20 6 -21 5 -20 4 -21 4 -20 3 -20 3 -20 2 -20 3 -20 2 -20 2 -20 2 -20 2 -20 1 -19 1 -19 1 -18 1 -19 1 -18 1 -18 1 -18 1 -17 1 -17 1 -17 1 -17 1 0 0 -17 2 -16 2 -17 2 -16 2 -16 3 -16 3 -16 3 -16 4 -15 4 -15 4 -15 5 -15 5 -15 5 -15 6 -15 5 -15 6 -14 6 -15 7 -15 7 -15 7 -15 7 -15 8 -14 8 -14 8 -14 8 -14 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 30 8 27 9 30 7 30 9 28 9 30 8 27 9 29 10 25 10 28 9 27 10 26 10 27 11 23 12 25 12 24 14 23 14 23 14 24 13 22 14 23 14 22 16 21 14 21 15 20 15 21 16 19 17 18 18 18 18 20 19 19 19 21 18 18 20 20 18 18 20 18 20 19 20 19 20 18 20 21 20 20 21 20 22 19 22 18 22 20 19 21 20 23 19 20 20 23 19 24 18 24 17 24 18 23 17 22 17 23 16 25 15 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -38 1 -41 -1 -38 -3 -40 -5 -38 -4 -39 -5 -38 -8 -38 -7 -38 -9 -36 -8 -38 -8 -37 -9 -37 -9 -36 -9 -37 -10 -33 -11 -35 -12 -32 -10 -34 -10 -32 -12 -32 -10 -32 -11 -30 -8 -32 -8 -31 -8 -31 -8 -31 -7 -32 -8 -29 -8 -31 -7 -29 -7 -31 -6 -30 -5 -30 -5 -29 -3 -31 -4 -28 -2 -30 -1 -30 0 -30 1 -31 1 -29 0 -31 1 -29 2 -32 2 -31 2 -32 2 -30 3 -31 4 -29 4 -31 5 -32 5 -33 6 -30 5 -31 7 -32 7 -30 6 0 0 ]
