type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-15,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,1834766,0,157,0,0,2.23404,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 18 6 18 6 18 7 18 8 17 8 17 8 17 8 16 9 16 9 16 9 15 10 15 10 15 10 15 10 15 10 14 10 14 10 13 9 14 9 14 9 13 9 13 9 13 9 13 8 13 8 13 8 0 0 13 7 13 7 13 7 13 7 13 6 13 6 13 6 13 5 13 5 13 5 14 5 14 4 14 4 14 4 14 3 15 3 14 3 15 2 15 2 15 2 15 2 15 2 15 1 15 1 16 1 16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -31 0 -31 -1 -32 0 -31 -2 -31 -2 -31 -2 -30 -2 -30 -2 -30 -3 -30 -3 -30 -3 -29 -4 -29 -4 -28 -6 -29 -6 -29 -6 -28 -6 -27 -7 -27 -8 -27 -8 -27 -9 -26 -9 -27 -9 -27 -9 -26 -10 -26 -11 -26 -11 -26 -12 -26 -14 -26 -14 -26 -13 -26 -14 -25 -14 -25 -14 -26 -14 -26 -14 -26 -14 -26 -14 -27 -15 -27 -16 -27 -16 -28 -15 -27 -15 -27 -15 -28 -16 -30 -15 -30 -14 -29 -15 -32 -14 -31 -14 -32 -13 -32 -11 -31 -10 -30 -10 -32 -11 -33 -8 -33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 11 34 13 34 13 34 15 33 15 33 17 32 17 31 18 29 18 30 19 30 19 29 19 30 19 28 19 28 20 26 19 26 19 26 18 26 19 25 19 25 18 25 18 24 17 25 17 24 17 25 15 24 15 25 16 24 15 25 14 24 13 26 14 25 13 26 12 25 12 26 11 25 10 27 9 26 9 27 8 27 8 27 7 28 7 28 6 29 6 28 6 29 5 29 4 29 4 29 4 30 3 29 2 30 3 30 2 30 2 30 1 30 3 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-16,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,2832726,0,157,0,0,3.23034,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -17 -10 -18 -11 -17 -11 -17 -12 -16 -12 -16 -13 -16 -12 -15 -13 -15 -13 -14 -13 -14 -14 -14 -14 -13 -14 -13 -14 -13 -14 -12 -14 -13 -14 -12 -13 -12 -13 -12 -13 -12 -13 -12 -13 -12 -12 -12 -12 -12 -12 -12 -12 0 0 -12 -11 -12 -11 -12 -11 -12 -10 -13 -11 -12 -10 -13 -10 -13 -9 -13 -9 -13 -9 -13 -9 -13 -8 -13 -8 -14 -8 -14 -8 -14 -8 -14 -7 -15 -7 -15 -7 -15 -7 -15 -6 -15 -6 -15 -6 -16 -6 -16 -6 -16 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 29 -7 28 -7 31 -8 29 -5 28 -7 30 -6 29 -7 31 -5 27 -5 29 -5 29 -5 28 -4 28 -3 26 -3 28 -1 28 -1 29 -1 28 -2 28 0 26 0 28 1 26 1 29 1 27 2 27 2 27 3 25 4 27 4 27 6 27 6 27 6 29 5 26 6 29 6 27 6 29 6 29 6 29 6 29 6 29 8 28 8 30 7 30 7 30 6 32 6 30 6 32 4 30 5 33 4 33 4 33 3 32 1 32 0 30 0 32 1 33 -2 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -33 -17 -33 -19 -31 -19 -34 -22 -30 -20 -31 -22 -29 -23 -29 -24 -28 -25 -27 -22 -28 -24 -27 -24 -28 -24 -27 -24 -26 -25 -23 -23 -24 -25 -22 -23 -26 -25 -23 -24 -23 -23 -22 -24 -22 -21 -23 -21 -23 -21 -23 -20 -23 -20 -23 -21 -22 -19 -24 -20 -22 -19 -25 -19 -23 -19 -24 -18 -25 -17 -24 -17 -23 -14 -25 -15 -26 -14 -27 -14 -28 -15 -25 -13 -28 -13 -26 -12 -28 -13 -28 -13 -27 -12 -27 -11 -28 -12 -28 -10 -30 -10 -30 -9 -31 -10 -28 -9 -31 -9 -32 -9 -30 -9 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-15,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,3833165,0,157,0,0,4.23079,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 16 -10 17 -10 17 -9 18 -9 17 -8 18 -8 18 -7 18 -6 18 -6 17 -6 18 -5 18 -5 18 -5 17 -5 18 -5 17 -4 17 -4 16 -4 17 -4 16 -4 16 -4 16 -4 15 -4 15 -4 15 -4 15 -4 0 0 15 -4 14 -5 15 -5 14 -5 14 -6 14 -6 14 -6 13 -6 14 -6 13 -7 13 -7 13 -8 13 -8 13 -8 13 -8 13 -8 12 -9 13 -9 13 -9 12 -9 12 -9 12 -10 12 -10 12 -11 12 -10 12 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -20 -25 -21 -23 -22 -24 -20 -24 -21 -23 -21 -23 -21 -22 -21 -23 -21 -20 -22 -22 -21 -22 -21 -21 -22 -21 -21 -18 -22 -19 -23 -19 -23 -17 -23 -17 -23 -17 -22 -17 -24 -17 -24 -16 -25 -15 -24 -16 -24 -14 -24 -14 -24 -14 -25 -12 -25 -12 -26 -13 -26 -13 -27 -13 -26 -11 -28 -11 -27 -12 -27 -12 -28 -12 -28 -12 -28 -12 -29 -13 -29 -13 -30 -13 -29 -11 -30 -12 -31 -13 -29 -15 -30 -16 -29 -14 -30 -17 -29 -17 -29 -18 -28 -18 -28 -18 -27 -18 -27 -19 -27 -21 -26 -23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 -18 34 -17 33 -15 35 -14 34 -14 34 -13 35 -12 34 -11 35 -10 33 -10 34 -9 34 -9 35 -7 34 -7 34 -6 32 -6 33 -5 32 -6 32 -6 32 -4 30 -6 31 -5 29 -6 29 -7 29 -6 30 -7 29 -7 29 -7 28 -7 28 -9 27 -8 28 -8 27 -9 27 -9 26 -10 27 -10 26 -11 26 -13 25 -12 25 -14 26 -14 25 -13 26 -15 24 -15 26 -16 25 -15 26 -16 25 -17 25 -17 23 -17 24 -18 24 -19 25 -19 24 -19 24 -20 25 -20 23 -18 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-5,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,4839506,0,30,0,0,5.23714,128,[30 -32 1 0 0 0 0 0 0 0 0 0 56 -20 57 -19 58 -18 62 -17 59 -13 57 -10 57 -10 56 -8 56 -8 56 -6 58 -6 58 -6 55 -5 54 -6 50 -6 55 -10 51 -7 49 -8 49 -10 49 -12 50 -12 50 -14 48 -12 50 -13 52 -15 51 -15 0 0 48 -19 49 -21 48 -21 46 -21 44 -20 45 -24 43 -24 43 -23 42 -26 40 -25 40 -28 39 -26 40 -26 41 -30 36 -30 39 -33 41 -33 39 -31 37 -32 36 -32 38 -33 38 -31 39 -31 40 -29 40 -28 39 -26 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-15,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,7032094,0,157,0,0,7.42985,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 15 11 15 12 15 12 14 13 13 13 13 14 13 13 12 14 12 14 11 14 11 14 11 14 10 15 10 14 10 15 10 14 10 14 9 14 9 14 9 14 9 14 9 13 9 13 9 13 9 13 9 12 0 0 9 12 9 11 9 12 9 11 10 11 9 11 10 11 10 10 10 10 10 10 11 10 11 9 11 9 11 9 11 9 12 9 12 8 13 8 12 8 12 8 13 8 13 8 13 8 13 7 14 7 14 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 -25 17 -25 17 -27 17 -25 15 -25 17 -26 16 -24 17 -26 14 -25 14 -26 14 -25 14 -25 14 -25 12 -25 12 -25 11 -26 11 -27 11 -27 11 -28 9 -25 10 -27 8 -26 8 -28 9 -27 8 -26 8 -27 6 -26 5 -27 4 -28 3 -28 4 -29 4 -29 4 -27 4 -30 3 -28 4 -30 5 -30 4 -30 4 -30 4 -31 3 -30 3 -31 4 -31 4 -32 5 -33 4 -32 5 -33 6 -31 6 -34 7 -32 7 -33 8 -32 10 -32 10 -30 10 -31 10 -32 12 -32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 27 22 31 20 29 21 32 19 29 18 32 16 32 15 32 14 33 15 31 15 31 14 32 15 32 14 32 13 33 10 30 10 32 11 29 12 31 10 30 11 29 10 30 11 27 12 27 12 27 12 27 12 27 12 28 12 25 13 26 12 24 14 26 13 25 14 25 14 24 14 24 14 22 16 23 17 23 18 23 18 23 17 21 19 22 19 21 20 22 19 21 21 22 20 20 22 21 21 19 23 20 22 18 23 21 22 18 24 18 25 20 23 19 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-16,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,8030480,0,157,0,0,8.42808,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -20 -1 -20 -2 -20 -3 -20 -3 -19 -4 -20 -4 -19 -5 -19 -6 -19 -6 -18 -5 -19 -6 -18 -6 -18 -6 -18 -7 -18 -7 -17 -7 -17 -7 -16 -7 -17 -7 -16 -7 -16 -7 -16 -7 -15 -7 -16 -6 -15 -6 -16 -6 0 0 -15 -6 -15 -5 -16 -5 -15 -5 -15 -5 -15 -4 -15 -4 -15 -4 -15 -4 -15 -3 -16 -3 -15 -2 -16 -2 -16 -2 -15 -2 -16 -2 -15 -1 -16 -1 -16 -1 -16 -1 -16 -1 -16 -1 -16 0 -16 1 -17 0 -17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 29 -7 28 -7 30 -9 29 -6 29 -6 31 -6 28 -7 30 -5 26 -6 29 -6 28 -5 28 -5 29 -3 26 -2 27 -2 28 -2 28 -1 28 -1 29 -1 26 -1 28 1 27 2 28 -1 27 2 27 0 28 3 26 5 26 5 26 6 27 6 28 6 29 5 26 6 29 6 27 5 28 6 28 5 29 6 28 5 31 7 29 8 29 7 28 7 30 6 32 4 31 5 33 5 30 3 34 2 33 1 34 1 33 0 33 0 29 1 31 -1 34 -2 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -33 -16 -35 -19 -31 -19 -33 -21 -31 -19 -31 -22 -28 -23 -28 -22 -28 -26 -27 -23 -28 -23 -27 -23 -27 -24 -28 -24 -28 -26 -23 -23 -25 -25 -24 -22 -25 -24 -22 -25 -23 -23 -22 -25 -21 -20 -23 -20 -23 -20 -23 -21 -24 -21 -24 -21 -21 -19 -23 -20 -22 -17 -24 -19 -23 -18 -23 -18 -24 -18 -24 -18 -23 -15 -25 -14 -25 -14 -27 -14 -28 -15 -26 -13 -27 -14 -26 -12 -28 -13 -27 -13 -28 -12 -28 -12 -28 -12 -27 -11 -29 -10 -30 -10 -32 -11 -27 -10 -29 -9 -31 -11 -28 -10 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-15,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,9030534,0,157,0,0,9.42815,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -17 -11 -17 -11 -16 -12 -16 -13 -15 -13 -16 -13 -15 -13 -15 -13 -14 -14 -14 -14 -14 -14 -13 -14 -13 -14 -13 -14 -13 -15 -12 -14 -12 -14 -11 -14 -12 -14 -12 -13 -12 -13 -11 -13 -11 -12 -11 -13 -11 -12 -12 -12 0 0 -12 -12 -11 -11 -12 -11 -12 -11 -12 -11 -12 -10 -12 -10 -12 -9 -13 -10 -13 -9 -13 -9 -13 -8 -13 -8 -14 -8 -13 -8 -14 -8 -14 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -7 -15 -6 -16 -6 -16 -6 -16 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 28 -11 29 -10 29 -10 29 -9 28 -9 29 -9 28 -9 29 -8 27 -7 28 -7 28 -7 28 -5 28 -5 27 -5 27 -4 28 -4 28 -4 28 -3 27 -2 27 -1 27 -1 26 0 28 -1 27 0 27 0 27 1 26 2 27 2 26 3 28 4 28 4 28 3 27 4 28 4 28 4 29 4 29 3 29 4 29 5 30 6 29 5 30 5 30 5 31 4 30 4 32 3 32 3 31 3 33 2 33 1 33 1 33 -1 32 -2 31 -3 32 -2 32 -4 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -31 -21 -30 -22 -30 -23 -29 -25 -29 -25 -28 -25 -26 -26 -25 -26 -25 -28 -25 -27 -24 -27 -23 -27 -24 -29 -24 -28 -22 -27 -22 -27 -21 -27 -20 -26 -21 -26 -20 -26 -21 -26 -20 -25 -20 -24 -21 -24 -20 -24 -20 -23 -20 -23 -21 -23 -20 -22 -21 -22 -20 -21 -22 -21 -22 -21 -22 -21 -22 -19 -22 -19 -23 -18 -23 -18 -24 -17 -25 -17 -25 -16 -25 -16 -25 -16 -25 -15 -26 -14 -26 -15 -26 -15 -27 -13 -27 -14 -27 -13 -28 -13 -28 -12 -29 -13 -28 -12 -29 -12 -29 -12 -29 -12 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-5,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,10036811,0,30,0,0,10.4345,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -53 28 -55 26 -56 25 -60 25 -58 20 -56 17 -56 16 -56 15 -55 13 -55 14 -57 14 -58 15 -55 13 -53 13 -51 12 -54 15 -51 12 -49 12 -49 14 -48 16 -49 17 -49 17 -47 17 -49 19 -51 21 -50 21 0 0 -47 22 -47 24 -48 24 -45 24 -43 23 -45 26 -43 26 -42 25 -41 27 -39 28 -39 30 -37 29 -39 28 -40 32 -36 30 -40 34 -39 34 -38 32 -37 33 -35 32 -37 34 -39 30 -38 31 -40 31 -39 29 -39 27 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,FC:44:82:12:6E:34,-45,11,0,0,0,0,0,0,0,0,0,-95,0,1,0,10905904,0,114,0,0,11.3037,128,[114 32 7 0 -26 -11 -25 -11 -25 -10 -24 -10 -24 -10 -24 -9 -23 -8 -24 -8 -23 -7 -23 -7 -22 -7 -23 -7 -23 -7 -22 -6 -21 -6 -19 -7 -17 -5 -16 -5 -14 -5 -14 -5 -14 -6 -13 -5 -13 -6 -13 -6 -11 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 -2 -16 -3 -17 -4 -17 -5 -16 -5 -17 -6 -18 -6 -17 -7 -19 -8 -21 -9 -23 -10 -24 -12 -24 -13 -25 -13 -24 -13 -25 -13 -24 -13 -23 -12 -24 -13 -24 -12 -24 -12 -25 -12 -24 -10 -25 -11 -26 -11 -25 -11 ]
CSI_DATA,AP,FC:44:82:12:6E:34,-39,11,0,0,0,0,0,0,0,0,0,-95,0,1,0,10908429,0,121,0,0,11.3405,128,[121 -112 7 0 26 0 26 0 26 0 24 -1 25 0 25 -1 24 -2 24 -2 23 -3 23 -3 22 -4 22 -3 21 -3 21 -3 21 -4 19 -3 17 -2 16 -2 14 -2 15 -2 14 -1 13 -1 12 -1 12 -1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -4 14 -3 16 -3 16 -2 16 -1 16 -1 17 -1 17 -1 20 0 22 0 24 1 26 1 26 2 27 3 25 3 27 3 26 2 25 2 26 2 25 2 25 2 26 2 25 1 27 1 27 1 27 0 ]
