type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:AA:76:38,-44,11,1,7,1,1,1,0,0,0,1,-90,0,1,1,1463342,0,157,0,0,1.85017,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 6 -11 7 -11 8 -11 8 -11 8 -10 8 -10 9 -10 9 -9 9 -9 9 -9 10 -9 10 -9 9 -8 9 -9 10 -8 10 -8 9 -8 9 -8 9 -8 9 -7 9 -8 9 -8 9 -7 9 -8 9 -7 9 -8 0 0 8 -8 8 -8 8 -8 8 -8 8 -8 8 -9 8 -8 7 -9 8 -9 7 -9 7 -9 7 -9 7 -10 7 -10 7 -10 7 -10 7 -10 6 -11 6 -11 6 -11 7 -11 6 -12 6 -11 6 -12 6 -12 6 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -21 -19 -21 -18 -20 -18 -21 -17 -21 -17 -21 -16 -22 -17 -21 -16 -21 -17 -21 -16 -21 -15 -22 -15 -22 -15 -21 -16 -22 -15 -23 -14 -23 -16 -23 -14 -23 -13 -23 -13 -24 -13 -23 -12 -24 -12 -24 -12 -23 -13 -24 -12 -24 -11 -27 -12 -26 -11 -26 -11 -26 -9 -27 -11 -27 -10 -27 -11 -29 -9 -27 -10 -28 -11 -28 -11 -30 -11 -30 -11 -30 -12 -31 -12 -31 -13 -31 -14 -31 -15 -32 -14 -30 -14 -32 -17 -31 -16 -31 -16 -31 -19 -31 -19 -31 -21 -28 -21 -29 -23 -29 -24 -27 -25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 -18 18 -17 19 -15 20 -15 21 -15 20 -14 21 -14 20 -13 21 -13 21 -12 21 -12 21 -12 22 -12 23 -11 21 -12 20 -10 21 -9 21 -9 20 -10 20 -8 20 -9 22 -10 20 -10 20 -10 20 -9 20 -11 19 -11 20 -11 19 -10 20 -11 19 -11 19 -11 18 -12 18 -11 18 -12 18 -14 17 -14 17 -14 17 -14 17 -16 18 -16 17 -16 17 -15 18 -15 16 -16 17 -17 16 -17 17 -18 17 -18 17 -18 17 -18 16 -19 17 -19 17 -19 18 -19 17 -20 17 -21 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,2461243,0,157,0,0,2.84644,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -9 9 -9 10 -10 10 -10 9 -10 8 -10 9 -10 8 -11 8 -11 7 -11 8 -11 8 -11 7 -11 7 -10 7 -11 6 -11 6 -11 7 -11 6 -11 6 -11 6 -11 6 -11 6 -10 6 -10 6 -10 6 -10 6 0 0 -10 6 -10 6 -10 7 -10 7 -10 7 -9 7 -10 7 -9 6 -9 7 -9 7 -9 8 -9 8 -9 8 -9 9 -9 8 -9 9 -9 9 -8 9 -8 9 -8 9 -9 9 -9 10 -8 10 -8 10 -8 10 -8 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 18 21 18 20 17 21 16 20 16 20 15 20 17 21 16 21 16 20 14 20 14 21 13 22 14 21 14 21 14 22 13 21 14 22 12 21 12 22 12 23 11 22 11 22 11 23 11 23 10 24 11 24 10 25 10 23 10 26 10 25 9 26 9 26 10 27 10 27 9 27 11 27 10 28 10 29 10 29 9 30 11 30 12 29 13 30 12 31 13 31 14 31 13 31 16 30 15 31 17 31 17 30 18 29 19 28 20 28 22 27 22 26 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -19 19 -19 16 -20 15 -21 15 -21 14 -20 14 -21 13 -21 13 -23 12 -24 13 -23 11 -21 12 -22 12 -23 10 -22 10 -23 10 -23 9 -22 8 -21 10 -21 9 -21 10 -22 9 -20 10 -21 9 -21 9 -20 10 -20 10 -19 10 -20 10 -19 10 -19 11 -19 11 -20 11 -19 12 -19 11 -19 12 -18 13 -18 14 -18 14 -20 15 -18 15 -18 16 -18 14 -18 16 -16 16 -17 17 -17 17 -17 17 -17 17 -18 18 -18 18 -17 18 -18 18 -17 18 -19 18 -18 18 -18 20 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-44,11,1,6,1,1,1,0,0,0,0,-89,0,1,1,3464143,0,157,0,0,3.84936,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 13 5 13 5 13 6 13 6 12 7 12 7 12 7 12 8 11 8 11 8 12 8 11 8 11 8 10 8 10 9 10 9 10 8 9 8 9 9 9 8 9 9 10 8 9 8 9 8 10 8 10 8 0 0 9 8 10 7 10 8 10 7 10 7 10 7 10 7 10 6 11 7 10 6 11 6 11 6 11 6 11 6 11 6 12 6 12 5 12 5 13 5 13 5 13 5 12 5 13 5 13 5 13 5 13 5 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 11 -28 10 -28 10 -30 12 -27 9 -29 9 -28 9 -28 9 -29 8 -28 8 -29 8 -28 8 -28 8 -29 6 -28 6 -28 6 -29 6 -29 6 -28 6 -28 5 -29 5 -30 4 -28 3 -29 4 -29 4 -29 3 -29 2 -29 1 -30 2 -30 1 -32 0 -30 1 -32 1 -32 1 -32 0 -33 1 -33 2 -34 1 -35 2 -34 2 -35 2 -35 2 -36 3 -37 3 -37 4 -37 5 -38 6 -38 6 -38 7 -39 8 -39 10 -38 11 -38 13 -38 14 -36 15 -37 16 -37 18 -36 -1 -1 -1 -1 -1 -1 -1 -1 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 25 10 24 11 24 12 23 13 23 13 23 14 22 15 22 15 21 16 21 15 21 16 21 16 21 17 19 16 19 16 19 17 19 17 18 16 19 17 18 16 18 17 18 17 17 16 18 16 18 16 19 15 18 15 18 15 18 15 19 15 19 14 19 14 18 14 19 14 19 13 20 13 19 12 21 12 21 11 22 12 22 11 22 11 22 11 22 11 23 10 24 11 23 11 24 10 24 11 24 9 25 9 26 9 26 11 25 9 28 9 27 10 27 11 -1 -1 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,6660023,0,157,0,0,7.04533,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 10 8 10 8 9 9 9 9 9 9 9 9 8 9 7 9 8 10 7 10 7 10 7 10 7 10 6 10 6 10 6 10 6 10 6 10 5 10 6 10 6 10 6 10 6 9 6 10 5 10 6 9 0 0 6 9 6 9 6 9 6 8 7 9 7 8 7 9 7 8 7 8 8 8 8 8 7 8 8 8 8 8 8 8 8 7 9 8 10 7 9 7 10 7 9 8 10 7 10 7 11 7 10 7 10 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -20 16 -21 17 -22 16 -21 16 -21 14 -21 15 -22 15 -22 15 -21 15 -22 14 -22 13 -22 15 -22 12 -21 13 -21 13 -23 13 -23 12 -23 12 -23 11 -22 12 -24 12 -22 10 -24 10 -24 10 -23 9 -24 9 -24 9 -26 10 -26 10 -27 8 -26 9 -27 8 -26 10 -30 8 -28 10 -28 10 -29 9 -28 10 -29 9 -30 9 -30 12 -30 12 -31 12 -30 14 -32 14 -30 15 -32 14 -30 17 -31 16 -30 18 -31 19 -31 19 -32 19 -29 22 -29 24 -28 24 -27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 17 18 19 16 16 16 20 15 19 15 20 13 20 14 19 13 21 12 19 11 21 12 22 11 22 10 22 10 21 10 20 10 22 8 20 10 21 9 20 10 19 9 21 9 19 9 20 9 20 10 19 10 19 11 20 10 18 12 18 11 17 12 19 12 18 12 17 11 17 13 18 12 16 14 17 14 17 14 18 15 17 14 17 16 17 16 17 17 16 16 16 17 16 17 16 18 15 17 16 18 16 18 17 19 17 19 15 18 17 20 16 20 17 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,7657514,0,157,0,0,8.0427,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 13 -1 11 0 14 -1 11 0 13 1 11 1 12 2 12 2 13 2 13 3 12 3 12 3 12 3 12 3 10 3 12 3 10 3 12 4 10 2 11 3 11 4 11 3 11 4 10 3 10 3 10 3 0 0 10 3 11 2 10 2 12 2 10 2 11 2 10 2 11 2 10 1 12 1 11 1 11 1 10 1 10 1 12 0 10 0 13 0 11 0 12 0 12 -1 12 0 12 -1 14 0 13 -1 12 -1 12 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 -19 20 -17 20 -18 18 -18 19 -18 19 -18 17 -19 18 -17 19 -19 16 -22 10 -16 14 -19 17 -21 18 -17 17 -19 16 -21 17 -21 17 -21 16 -20 14 -21 15 -22 14 -21 15 -22 15 -22 14 -22 13 -22 13 -21 14 -24 14 -23 13 -25 13 -24 13 -25 14 -25 14 -27 13 -25 14 -27 16 -27 14 -27 15 -27 15 -27 15 -27 16 -29 17 -28 17 -29 19 -30 18 -29 19 -29 21 -29 21 -28 22 -28 22 -27 23 -26 23 -26 26 -25 27 -23 27 -22 29 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 18 15 21 13 20 14 20 12 20 12 21 11 21 10 20 10 23 9 21 9 23 9 23 8 23 9 24 7 22 7 22 7 23 7 22 8 22 6 22 7 21 7 21 7 20 6 20 6 21 8 21 8 20 7 20 9 19 9 21 8 19 9 20 9 19 8 18 9 19 11 19 11 18 11 19 12 19 12 20 13 20 13 18 13 19 14 19 13 18 15 18 15 18 14 18 16 19 15 19 17 19 16 19 17 19 15 18 17 19 17 20 18 19 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,8657842,0,157,0,0,9.04303,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 13 3 12 4 13 4 12 5 14 5 12 5 12 6 12 6 12 6 12 7 11 8 11 8 11 7 10 7 10 6 12 7 10 6 11 7 10 6 10 6 11 6 11 6 11 7 10 7 10 7 10 6 0 0 10 5 11 6 10 5 12 5 11 5 11 5 11 4 11 4 11 4 12 4 11 4 11 4 11 4 11 3 13 3 12 2 13 4 13 2 13 2 13 1 14 2 13 1 14 2 14 2 14 2 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -27 14 -25 14 -26 13 -26 14 -26 13 -26 12 -27 13 -27 12 -26 11 -26 11 -26 11 -26 10 -27 10 -27 11 -27 10 -28 10 -27 9 -29 9 -27 8 -27 7 -29 9 -27 6 -28 6 -27 7 -28 6 -29 6 -29 6 -30 6 -29 5 -31 5 -30 6 -32 3 -32 3 -32 3 -32 5 -32 4 -32 3 -34 5 -35 4 -34 6 -36 7 -35 7 -35 7 -36 8 -36 7 -37 9 -38 9 -38 11 -37 11 -38 12 -37 14 -38 12 -37 18 -36 18 -35 20 -35 21 -35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 17 21 17 20 17 21 19 18 20 17 19 17 19 17 21 18 19 16 20 16 20 16 22 15 23 15 22 16 20 14 21 14 22 14 21 14 20 13 19 14 20 14 21 14 19 14 20 14 19 14 20 14 19 16 18 14 19 15 19 16 19 16 18 15 18 16 17 17 19 17 17 17 16 17 16 17 16 19 16 18 15 21 16 20 15 20 15 20 15 22 15 22 15 22 14 23 14 23 16 23 14 23 15 23 15 23 13 24 15 24 15 26 14 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,11857767,0,157,0,0,12.2431,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -7 -13 -7 -13 -6 -14 -5 -14 -5 -14 -5 -14 -4 -14 -4 -14 -4 -14 -3 -14 -3 -15 -3 -14 -3 -14 -3 -14 -2 -14 -2 -15 -2 -14 -2 -13 -2 -14 -2 -14 -2 -14 -2 -14 -2 -13 -2 -13 -2 -14 -2 -13 0 0 -2 -13 -3 -13 -3 -13 -4 -13 -3 -13 -3 -13 -3 -13 -3 -13 -3 -13 -4 -13 -5 -13 -4 -13 -5 -13 -5 -13 -5 -13 -5 -13 -5 -14 -6 -13 -6 -13 -6 -13 -6 -13 -6 -13 -7 -13 -7 -14 -7 -13 -7 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -28 11 -28 10 -27 10 -27 11 -27 10 -26 11 -28 11 -27 11 -28 12 -26 12 -26 11 -26 12 -24 13 -25 12 -25 14 -25 15 -25 14 -25 14 -23 13 -24 15 -25 16 -24 15 -24 17 -25 15 -24 15 -24 16 -25 16 -24 18 -25 17 -24 18 -23 19 -25 19 -25 20 -25 19 -26 20 -26 19 -27 19 -26 20 -27 21 -28 20 -28 21 -29 20 -29 21 -29 19 -31 20 -32 21 -32 19 -35 20 -34 19 -35 19 -36 16 -37 15 -36 14 -38 13 -38 11 -38 11 -39 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -27 -9 -27 -9 -26 -8 -27 -7 -29 -6 -27 -5 -28 -5 -27 -4 -28 -4 -28 -4 -28 -4 -27 -2 -28 -2 -27 -1 -25 -2 -27 -1 -27 -1 -27 -2 -25 0 -24 0 -25 -1 -25 -1 -25 -2 -25 -1 -25 -2 -26 -2 -24 -2 -24 -2 -25 -2 -24 -5 -24 -4 -24 -3 -24 -5 -25 -4 -25 -5 -25 -6 -25 -7 -26 -6 -25 -8 -25 -7 -24 -8 -26 -8 -25 -8 -25 -10 -24 -9 -25 -8 -26 -9 -27 -9 -25 -10 -26 -11 -25 -12 -25 -10 -26 -11 -26 -11 -28 -12 -27 -14 -28 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,12855562,0,157,0,0,13.2408,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 13 6 12 6 12 7 12 8 11 8 11 8 12 8 11 9 11 9 10 9 10 10 10 9 10 10 9 9 9 9 9 10 9 9 9 9 9 9 9 9 9 9 9 9 8 8 9 8 8 9 9 8 0 0 9 8 9 8 9 8 10 7 9 8 10 7 10 7 9 7 10 7 11 7 10 7 11 6 11 7 11 6 11 6 11 6 12 6 12 6 12 5 12 5 13 5 12 5 13 5 13 5 13 5 13 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -28 10 -27 10 -30 8 -28 9 -27 9 -28 8 -28 8 -29 7 -29 7 -29 7 -28 6 -28 7 -28 5 -27 5 -28 5 -29 6 -30 5 -29 4 -29 5 -28 3 -30 4 -28 3 -27 3 -29 3 -28 1 -30 2 -28 1 -31 0 -30 0 -32 -1 -31 -1 -32 -2 -31 -1 -32 -1 -33 -1 -33 -2 -34 -1 -33 -1 -34 0 -35 -1 -36 1 -36 1 -37 1 -36 1 -38 0 -37 3 -38 3 -38 4 -39 5 -39 5 -40 6 -39 8 -40 10 -37 11 -38 12 -39 14 -39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 13 22 13 23 14 23 15 22 17 22 17 20 17 20 17 20 17 19 18 19 19 19 19 19 20 18 19 18 19 17 19 18 19 16 19 17 18 15 19 16 17 16 18 16 17 16 17 16 17 16 18 16 17 18 17 17 16 17 16 18 16 18 15 18 15 17 15 19 16 20 15 19 14 20 14 19 14 20 13 21 13 21 13 22 13 23 12 23 12 22 11 24 11 24 11 25 10 23 11 25 12 25 11 26 12 24 11 26 9 27 11 27 9 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,13856032,0,157,0,0,14.2412,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -13 -5 -12 -6 -12 -7 -12 -7 -12 -7 -11 -7 -11 -8 -11 -8 -11 -8 -10 -8 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -10 -9 -9 -9 -9 -9 -9 -9 -9 -8 -9 -9 -9 -8 -9 -8 -9 -9 -9 -8 0 0 -9 -8 -9 -8 -9 -7 -10 -7 -9 -7 -10 -7 -10 -7 -10 -7 -10 -7 -10 -6 -11 -7 -10 -6 -11 -6 -11 -6 -11 -6 -12 -6 -11 -6 -12 -6 -12 -6 -12 -5 -12 -5 -12 -5 -12 -5 -13 -5 -12 -5 -13 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 23 -12 23 -10 24 -12 24 -10 24 -10 23 -11 23 -10 23 -10 24 -9 23 -9 24 -8 23 -8 24 -9 23 -9 24 -9 24 -7 25 -6 24 -7 23 -6 25 -7 25 -6 24 -4 24 -6 24 -5 25 -5 25 -4 26 -4 26 -4 26 -4 27 -3 27 -3 28 -3 28 -3 27 -2 30 -2 27 -4 29 -3 30 -3 30 -4 30 -3 32 -5 31 -4 32 -5 33 -6 32 -6 35 -7 33 -8 35 -8 32 -9 33 -10 33 -11 35 -13 33 -13 33 -14 32 -17 32 -18 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 -13 -22 -15 -21 -16 -20 -16 -20 -17 -19 -16 -19 -16 -18 -16 -20 -17 -18 -17 -17 -19 -18 -19 -18 -19 -17 -19 -16 -18 -16 -18 -16 -18 -15 -18 -15 -17 -15 -17 -15 -18 -15 -18 -15 -18 -15 -16 -15 -18 -16 -17 -16 -16 -15 -16 -16 -17 -16 -16 -16 -16 -16 -15 -17 -15 -17 -15 -16 -15 -18 -15 -18 -14 -19 -13 -18 -13 -19 -14 -19 -13 -20 -14 -20 -13 -21 -12 -21 -12 -20 -13 -21 -11 -21 -12 -22 -12 -22 -13 -22 -12 -23 -12 -22 -12 -24 -11 -23 -12 -24 -12 -24 -12 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-35,11,0,0,0,0,0,0,0,0,0,-89,0,1,1,14861716,0,30,0,0,15.247,128,[30 -32 1 0 0 0 0 0 0 0 0 0 23 5 21 6 25 7 22 8 23 9 20 9 22 11 19 11 20 11 21 12 21 12 21 11 20 11 19 10 17 9 22 11 18 9 20 9 18 8 20 9 19 8 20 8 20 8 22 8 21 7 20 8 0 0 20 7 24 6 21 6 24 5 20 4 22 5 22 5 21 5 21 3 23 4 23 2 21 2 22 2 20 2 25 1 23 1 27 2 23 1 24 2 24 2 24 4 24 3 26 4 25 4 23 4 22 5 0 0 0 0 0 0 0 0 0 0 ]
