type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,902947,0,157,0,0,1.29007,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 19 -4 20 -3 20 -3 20 -2 20 -1 20 -1 19 0 19 1 19 1 19 1 19 2 19 2 18 2 18 3 17 2 18 3 17 3 17 2 16 3 16 3 15 4 16 3 15 3 15 3 16 3 16 2 0 0 15 2 15 2 15 2 15 1 14 1 14 1 14 1 14 0 14 0 14 -1 14 -1 13 -1 13 -1 14 -2 13 -2 13 -2 13 -3 14 -3 14 -3 14 -4 13 -4 13 -4 12 -4 14 -5 13 -5 13 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -27 -11 -26 -11 -24 -14 -25 -12 -26 -13 -24 -14 -26 -15 -24 -14 -23 -14 -23 -16 -23 -16 -22 -15 -22 -17 -23 -17 -22 -17 -21 -18 -23 -18 -21 -18 -20 -20 -20 -19 -19 -20 -20 -18 -19 -22 -18 -21 -19 -22 -18 -23 -18 -22 -17 -23 -17 -24 -17 -25 -18 -25 -16 -25 -16 -25 -17 -26 -17 -25 -16 -27 -18 -28 -16 -28 -15 -28 -16 -29 -18 -28 -17 -28 -19 -28 -20 -30 -18 -30 -19 -29 -17 -30 -20 -28 -20 -29 -22 -30 -21 -29 -22 -29 -21 -28 -24 -27 -26 -26 -25 -24 -26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 -2 39 0 39 2 37 4 36 3 35 7 36 6 36 7 36 8 35 10 35 9 34 9 34 12 34 11 31 9 32 11 32 10 32 10 29 10 29 10 30 11 31 10 30 10 29 9 28 9 28 9 28 8 27 9 28 8 27 6 26 6 26 6 26 4 26 5 27 5 27 3 26 2 25 1 26 1 27 0 25 -2 27 -2 26 -1 28 -2 26 -3 28 -5 26 -5 24 -6 26 -6 26 -6 26 -6 25 -6 26 -7 24 -9 26 -9 25 -10 27 -10 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,1900527,0,157,0,0,2.28597,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -12 -20 -11 -20 -11 -20 -9 -20 -10 -21 -8 -21 -8 -21 -8 -21 -8 -21 -7 -21 -7 -21 -6 -21 -6 -22 -5 -20 -5 -20 -5 -21 -5 -21 -4 -20 -4 -19 -4 -19 -4 -19 -4 -18 -4 -19 -4 -18 -4 -18 -5 -17 0 0 -5 -17 -5 -17 -5 -17 -6 -16 -5 -16 -6 -16 -5 -15 -7 -15 -7 -15 -7 -15 -8 -15 -8 -14 -7 -14 -8 -14 -9 -14 -9 -14 -9 -13 -11 -13 -10 -13 -11 -13 -11 -13 -10 -12 -11 -13 -11 -12 -11 -12 -12 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -21 23 -21 22 -19 25 -21 24 -19 25 -17 25 -16 25 -17 23 -16 25 -15 26 -16 27 -16 28 -13 26 -13 26 -14 28 -13 28 -11 28 -12 28 -12 28 -10 28 -10 29 -11 27 -9 29 -9 28 -9 28 -8 29 -6 30 -7 30 -5 30 -4 31 -4 32 -6 32 -5 31 -5 32 -3 32 -4 32 -5 33 -3 36 -5 34 -5 33 -5 36 -3 37 -3 34 -2 36 -3 37 -7 38 -6 39 -6 37 -7 38 -8 36 -9 38 -10 36 -10 36 -11 35 -13 37 -13 36 -15 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -23 -35 -20 -37 -20 -36 -19 -41 -17 -37 -14 -41 -16 -40 -15 -39 -15 -40 -13 -37 -11 -39 -12 -41 -13 -38 -12 -39 -10 -38 -10 -37 -7 -38 -9 -35 -9 -36 -8 -36 -10 -36 -7 -34 -8 -33 -9 -34 -7 -34 -10 -34 -8 -33 -8 -32 -8 -30 -10 -31 -11 -31 -10 -31 -10 -30 -10 -28 -12 -29 -12 -29 -12 -27 -14 -27 -14 -26 -13 -26 -16 -25 -16 -26 -15 -26 -17 -26 -18 -26 -18 -24 -18 -24 -19 -25 -21 -23 -19 -22 -22 -24 -22 -22 -23 -23 -22 -21 -21 -24 -24 -22 -24 -21 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,2900669,0,157,0,0,3.28613,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 13 13 14 15 12 13 13 15 10 14 13 16 11 15 11 15 10 15 10 13 10 15 10 15 10 15 9 15 9 16 7 15 8 17 6 13 8 16 7 14 7 14 7 13 7 12 7 13 7 13 8 13 0 0 7 13 6 12 8 13 6 11 8 13 8 11 8 11 8 10 8 11 8 9 8 10 9 10 9 10 10 9 8 9 10 11 8 8 11 8 11 8 10 8 11 7 10 8 11 6 11 7 11 6 12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 -15 21 -16 21 -18 22 -16 18 -19 20 -18 20 -17 21 -18 16 -20 17 -20 19 -19 17 -20 20 -22 14 -20 14 -23 13 -24 15 -25 14 -25 14 -23 15 -20 15 -23 10 -26 11 -25 14 -23 10 -25 15 -24 9 -27 5 -25 5 -25 6 -30 7 -27 8 -29 10 -26 11 -28 8 -29 11 -28 8 -29 10 -30 9 -32 12 -31 6 -31 4 -33 4 -31 6 -33 9 -32 11 -32 14 -36 10 -31 11 -31 13 -33 15 -33 14 -32 18 -31 11 -32 12 -35 13 -34 16 -33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 38 7 37 4 36 2 38 3 37 2 37 -1 37 2 36 -4 37 3 33 2 36 3 36 1 37 1 36 -3 36 -7 31 -6 36 -3 32 -2 33 -9 32 -3 30 -8 32 -1 29 -1 29 -2 30 1 29 0 31 0 29 -4 28 -3 30 0 26 0 27 -1 27 -1 27 1 26 1 28 4 25 7 27 7 25 8 26 6 25 5 25 5 27 9 24 9 24 8 26 9 24 10 24 9 23 11 25 14 24 16 24 13 26 11 21 13 24 15 24 13 22 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-33,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,3906957,0,30,0,0,4.29247,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -22 8 -24 6 -23 6 -26 4 -24 3 -24 2 -24 -1 -23 -2 -23 -2 -22 1 -24 3 -24 3 -22 2 -22 3 -21 0 -22 1 -22 1 -19 1 -21 1 -21 0 -20 0 -20 1 -18 3 -20 5 -21 6 -21 4 0 0 -20 4 -20 5 -21 5 -18 6 -19 5 -19 3 -18 4 -18 4 -17 5 -16 6 -17 9 -15 9 -15 10 -17 9 -15 8 -18 9 -16 9 -16 9 -18 7 -16 7 -18 8 -17 7 -15 9 -15 10 -14 10 -15 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,6100884,0,157,0,0,6.48652,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 12 16 11 15 11 16 10 16 10 17 9 17 9 17 8 17 8 17 7 17 7 18 7 17 6 17 5 17 6 17 6 17 5 17 5 16 4 15 4 16 4 15 5 15 4 15 5 15 4 14 5 15 0 0 5 14 5 13 5 13 6 13 5 13 6 13 5 13 5 12 6 12 7 11 7 12 7 11 7 11 7 11 8 11 8 11 8 11 9 10 9 10 9 10 9 10 9 10 10 9 10 9 10 9 10 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 -22 16 -24 14 -22 15 -24 14 -24 15 -24 13 -24 12 -24 12 -24 11 -24 12 -26 10 -26 9 -25 9 -25 9 -25 9 -26 8 -28 7 -27 7 -26 6 -27 5 -30 6 -26 5 -27 5 -26 4 -27 4 -27 2 -28 1 -29 1 -28 0 -29 0 -29 0 -30 0 -28 0 -30 -2 -29 -1 -31 1 -32 -1 -33 -1 -31 -1 -33 0 -32 -2 -33 -1 -33 -1 -33 -2 -34 -1 -35 -2 -36 0 -34 2 -34 2 -36 4 -35 4 -36 4 -34 5 -34 4 -36 7 -33 7 -35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 33 17 33 16 31 16 34 16 34 13 36 11 34 10 36 10 36 10 34 11 34 10 35 10 35 9 34 8 35 7 32 7 36 7 30 7 32 5 31 5 31 5 30 8 30 7 28 6 28 9 28 8 29 9 29 7 26 9 27 8 25 9 27 8 27 9 24 10 25 12 25 10 23 12 22 13 24 13 23 14 23 15 21 15 23 15 21 17 21 15 22 17 21 17 19 18 21 18 19 18 18 20 18 21 19 19 17 21 17 21 17 21 17 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,7097729,0,157,0,0,7.48319,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -16 -16 -17 -16 -15 -17 -15 -18 -14 -17 -14 -19 -14 -17 -13 -18 -13 -18 -12 -18 -12 -19 -11 -19 -10 -19 -11 -18 -10 -18 -10 -18 -10 -18 -10 -17 -10 -17 -10 -17 -10 -16 -10 -16 -9 -16 -9 -16 -9 -16 -9 -15 0 0 -10 -14 -10 -14 -10 -14 -11 -14 -11 -14 -10 -14 -11 -13 -11 -12 -11 -12 -11 -12 -12 -12 -12 -12 -12 -11 -12 -11 -13 -9 -13 -10 -13 -9 -14 -9 -14 -8 -14 -8 -14 -8 -14 -8 -15 -8 -15 -8 -15 -7 -15 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 29 -9 30 -9 30 -8 30 -9 29 -6 28 -7 28 -6 29 -6 28 -4 28 -4 29 -2 30 -3 31 -2 28 0 29 0 28 0 29 1 28 3 28 1 30 2 30 0 29 4 28 4 28 2 29 4 28 6 29 8 30 8 30 9 30 11 31 9 31 12 30 9 29 11 31 10 31 11 31 12 31 12 32 11 32 13 35 11 32 12 35 11 33 13 33 12 35 12 37 11 38 9 36 8 37 9 35 7 38 8 35 6 38 6 37 5 37 2 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -33 -28 -31 -27 -32 -28 -29 -31 -28 -30 -28 -33 -26 -33 -24 -34 -25 -33 -25 -34 -23 -35 -24 -33 -24 -32 -22 -35 -21 -32 -22 -32 -19 -34 -19 -32 -19 -30 -20 -31 -18 -30 -18 -31 -19 -31 -18 -29 -19 -29 -20 -27 -18 -28 -18 -27 -18 -29 -19 -25 -19 -26 -19 -25 -19 -24 -20 -23 -22 -25 -22 -23 -22 -21 -23 -20 -23 -20 -22 -19 -25 -20 -25 -19 -24 -19 -25 -18 -25 -15 -25 -17 -26 -18 -25 -14 -25 -15 -26 -13 -27 -11 -27 -13 -27 -12 -27 -13 -29 -13 -29 -11 -28 -11 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,8097989,0,157,0,0,8.48344,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 17 8 16 8 17 10 15 9 17 10 14 10 15 11 14 11 14 11 14 11 15 12 14 11 14 12 13 11 12 11 13 12 11 11 12 11 12 10 11 11 11 10 12 10 12 10 12 9 12 10 11 10 0 0 11 9 12 9 11 8 12 8 11 7 11 7 12 7 11 6 12 6 12 6 13 5 11 5 12 5 12 4 13 4 12 3 14 4 12 3 13 2 13 2 13 2 13 1 14 1 14 1 13 1 13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -29 4 -28 4 -29 3 -28 3 -27 2 -27 1 -27 1 -28 0 -29 -2 -26 -1 -29 -3 -28 -2 -28 -5 -25 -5 -28 -4 -28 -6 -28 -7 -27 -7 -27 -7 -26 -9 -28 -9 -25 -9 -26 -9 -27 -8 -26 -10 -26 -12 -26 -14 -26 -12 -25 -14 -26 -14 -25 -14 -26 -15 -27 -15 -26 -15 -27 -15 -26 -15 -28 -17 -28 -17 -27 -16 -27 -18 -28 -18 -28 -20 -29 -20 -29 -18 -30 -19 -30 -19 -30 -16 -32 -18 -32 -15 -32 -15 -31 -14 -34 -14 -33 -15 -33 -14 -34 -14 -33 -13 -35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 21 29 23 28 26 28 28 26 28 27 26 25 28 23 28 22 30 22 28 23 27 22 27 22 28 22 29 19 27 20 28 20 28 18 27 19 25 17 26 19 25 18 26 17 24 18 24 17 24 19 22 19 23 18 23 19 21 18 21 18 19 18 20 19 20 18 19 21 19 19 16 20 15 21 15 22 14 22 14 22 14 22 13 23 12 23 13 22 12 22 12 24 12 24 12 25 9 24 9 26 9 25 9 25 8 25 7 27 7 27 7 27 4 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,11299167,0,157,0,0,11.6847,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 12 15 12 15 11 16 11 17 9 15 10 16 10 16 10 16 9 16 8 16 8 17 8 17 7 17 6 16 7 17 6 17 6 16 5 15 5 16 6 15 5 15 5 15 6 14 5 15 5 15 6 14 0 0 6 14 6 13 6 13 6 12 6 12 7 12 6 12 7 11 8 11 8 11 8 11 7 11 8 11 8 10 9 10 9 10 9 10 10 9 10 9 11 8 11 8 10 8 11 8 11 8 10 8 12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -21 16 -22 14 -23 14 -24 14 -23 14 -24 15 -24 14 -23 13 -23 12 -25 12 -25 11 -26 12 -25 9 -25 10 -27 7 -26 9 -27 8 -26 6 -24 8 -27 7 -29 6 -25 5 -25 5 -26 6 -26 6 -26 4 -28 2 -27 3 -28 2 -30 2 -28 1 -30 2 -29 3 -30 2 -32 2 -30 3 -28 2 -33 3 -31 3 -32 1 -34 0 -33 3 -32 1 -35 3 -34 5 -35 5 -35 3 -34 5 -36 6 -37 5 -35 5 -34 6 -33 7 -35 8 -34 9 -33 11 -33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 34 19 31 20 31 17 33 16 33 14 34 14 33 14 35 12 37 13 32 12 34 12 34 13 33 11 35 9 32 8 32 7 34 6 31 8 30 6 31 7 30 6 32 8 29 8 28 7 27 10 28 8 28 8 28 8 27 10 28 9 26 9 25 8 25 10 25 10 24 12 23 12 23 13 23 13 22 14 23 14 22 15 21 15 22 15 20 16 21 16 20 16 20 17 20 16 18 17 19 18 17 19 18 19 17 20 18 21 18 20 17 21 18 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,12296640,0,157,0,0,12.6821,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 11 15 9 16 9 16 9 17 9 17 7 16 7 17 7 17 6 17 7 17 7 17 6 17 6 17 5 17 4 16 5 17 4 16 4 15 4 15 4 16 4 15 3 15 4 14 4 15 4 15 5 15 0 0 4 14 5 13 5 13 6 13 5 13 6 12 5 12 6 12 6 12 7 12 7 11 7 11 7 11 7 10 8 11 8 11 8 10 9 10 9 10 9 9 9 9 9 9 10 8 10 8 10 9 10 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 -14 25 -14 24 -16 22 -15 22 -14 22 -17 20 -16 22 -17 22 -16 21 -17 19 -19 20 -18 20 -18 19 -19 17 -20 16 -19 19 -20 17 -21 17 -20 18 -21 16 -23 16 -22 15 -23 16 -22 15 -23 14 -22 15 -22 14 -26 13 -26 13 -26 11 -26 13 -26 12 -27 12 -27 11 -26 14 -27 13 -27 13 -31 12 -30 13 -28 13 -29 14 -30 14 -30 15 -30 15 -32 13 -31 16 -29 15 -33 15 -29 18 -30 18 -31 19 -30 21 -29 20 -27 19 -28 21 -28 24 -28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 36 3 37 3 37 1 38 0 37 -1 38 -2 36 -1 36 -5 37 -5 35 -3 35 -3 35 -6 36 -6 36 -6 35 -7 32 -6 33 -5 32 -7 33 -6 31 -7 30 -8 32 -5 30 -5 30 -6 30 -3 31 -3 28 -5 29 -5 27 -6 28 -3 27 -3 28 -2 26 0 27 -1 27 1 28 2 25 3 26 2 26 1 27 3 27 2 26 4 25 5 26 6 26 5 26 7 26 6 25 9 25 9 26 10 25 11 24 10 27 9 25 9 26 11 25 12 25 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-42,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,13297312,0,157,0,0,13.6828,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -22 6 -21 5 -22 4 -23 3 -23 4 -22 2 -22 2 -22 2 -22 0 -22 1 -22 0 -21 0 -21 0 -21 0 -21 -2 -21 -1 -20 -1 -19 -1 -19 -2 -19 -1 -19 -2 -19 -2 -18 -2 -18 -1 -19 -2 -19 0 0 0 -17 -1 -17 0 -17 0 -18 1 -16 0 -16 1 -16 0 -16 1 -17 1 -16 2 -16 3 -16 3 -16 4 -15 4 -15 3 -16 4 -15 4 -15 5 -15 5 -15 6 -15 6 -15 6 -15 6 -15 7 -15 7 -15 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 23 19 22 20 24 21 23 21 20 21 21 20 22 21 22 20 19 24 20 21 20 22 17 22 20 22 17 22 18 22 16 25 19 25 15 25 16 25 14 26 15 24 13 27 13 26 12 27 13 27 12 27 10 30 11 28 11 30 11 30 9 30 9 29 10 32 8 30 7 32 8 32 9 33 9 33 10 32 9 34 7 35 10 35 9 34 11 35 10 36 10 35 11 35 12 35 11 34 13 35 12 36 16 36 15 35 16 33 19 33 17 32 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -38 13 -40 11 -41 10 -42 7 -40 6 -42 3 -41 4 -41 6 -42 1 -41 1 -42 1 -40 0 -41 0 -40 -2 -40 -2 -36 -1 -38 0 -37 0 -38 -1 -36 -4 -36 -2 -36 -3 -36 -2 -35 0 -34 -2 -34 1 -32 -2 -32 1 -34 -1 -34 1 -32 2 -33 3 -30 2 -31 3 -32 5 -30 4 -29 6 -29 7 -29 7 -30 8 -29 8 -27 9 -28 8 -26 11 -27 12 -26 12 -26 13 -26 12 -27 13 -26 14 -24 13 -26 14 -27 16 -25 14 -28 15 -26 18 -25 18 0 0 ]
