type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:AA:76:38,-44,11,1,7,1,1,1,0,0,0,1,-90,0,1,1,2017676,0,157,0,0,2.40411,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 15 3 15 4 14 5 14 6 14 5 14 6 14 6 13 6 13 6 13 7 13 8 13 7 12 8 12 8 12 7 12 8 12 7 11 7 11 7 11 7 11 7 11 7 11 6 11 7 11 7 11 7 0 0 11 6 11 6 11 6 11 5 11 5 11 5 11 5 11 4 12 4 11 3 12 4 11 4 12 4 12 3 12 3 13 3 12 3 13 2 13 2 13 1 13 2 13 1 14 1 13 1 14 1 14 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -29 5 -28 4 -28 4 -28 4 -29 2 -27 3 -28 3 -28 2 -28 2 -28 1 -27 0 -27 1 -27 0 -27 -1 -28 -2 -28 -2 -28 -2 -29 -2 -27 -3 -27 -3 -28 -3 -27 -6 -27 -5 -27 -4 -27 -6 -28 -7 -27 -7 -28 -7 -28 -9 -28 -7 -28 -7 -30 -10 -29 -10 -30 -9 -31 -10 -30 -10 -31 -12 -30 -10 -31 -10 -32 -10 -32 -9 -32 -10 -34 -9 -34 -9 -35 -9 -36 -8 -35 -8 -37 -7 -36 -7 -37 -6 -37 -5 -37 -5 -39 -3 -37 -2 -38 -1 -39 1 -38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 12 27 13 26 13 27 14 25 16 25 16 24 16 24 15 25 18 23 16 23 17 22 18 23 19 22 19 21 17 20 18 21 19 20 17 21 16 20 18 19 17 20 17 19 16 19 15 19 16 20 15 20 14 20 14 19 15 20 14 20 14 20 13 20 15 21 11 20 12 21 11 21 10 22 10 22 10 23 10 23 10 23 9 22 9 24 9 24 7 25 8 24 8 25 6 25 6 25 6 26 6 26 6 27 6 25 5 27 5 26 5 28 4 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,3015951,0,157,0,0,3.4007,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -16 -4 -16 -4 -15 -4 -16 -5 -15 -6 -15 -6 -15 -6 -14 -7 -15 -7 -14 -7 -14 -8 -14 -8 -14 -8 -13 -8 -14 -8 -13 -8 -13 -8 -12 -8 -12 -8 -12 -8 -13 -8 -12 -8 -13 -8 -12 -7 -12 -8 -12 -7 0 0 -12 -7 -12 -7 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -12 -6 -13 -5 -13 -5 -13 -5 -12 -5 -13 -5 -13 -4 -13 -4 -14 -4 -13 -4 -14 -4 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -14 -3 -15 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 28 -6 27 -4 28 -5 28 -4 27 -5 27 -5 28 -5 28 -3 26 -3 27 -2 28 -2 26 -2 27 -1 26 -2 27 -2 27 -1 28 0 28 0 27 1 26 1 27 1 25 3 27 3 27 3 27 3 26 4 26 5 27 5 27 6 28 7 28 5 29 5 29 6 30 7 29 7 30 6 32 6 31 8 31 5 32 8 33 6 33 5 33 6 34 5 33 5 36 4 36 3 37 4 35 2 37 0 36 0 37 -1 37 -3 36 -4 38 -4 38 -7 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -30 -9 -30 -8 -29 -11 -29 -12 -28 -13 -26 -14 -27 -15 -27 -16 -27 -16 -26 -14 -26 -16 -26 -16 -25 -17 -25 -18 -23 -18 -24 -17 -23 -17 -22 -18 -21 -15 -22 -17 -21 -16 -21 -17 -22 -15 -22 -15 -20 -15 -23 -15 -21 -15 -22 -14 -22 -14 -22 -14 -21 -14 -22 -13 -22 -14 -22 -12 -22 -13 -23 -12 -23 -10 -23 -10 -24 -9 -24 -11 -24 -9 -24 -9 -24 -9 -26 -8 -25 -8 -25 -9 -26 -7 -27 -7 -25 -6 -27 -7 -27 -7 -26 -7 -28 -7 -26 -8 -29 -5 -28 -6 -30 -6 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,4015924,0,157,0,0,4.4007,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -5 16 -4 13 -6 17 -5 12 -7 17 -5 12 -7 14 -7 13 -7 13 -9 15 -8 13 -8 13 -9 12 -9 12 -7 10 -9 13 -7 10 -9 13 -7 10 -8 11 -8 11 -8 11 -9 12 -8 11 -8 10 -7 10 0 0 -7 10 -8 12 -6 9 -7 13 -6 9 -6 10 -6 11 -6 11 -6 11 -6 13 -5 11 -5 11 -5 11 -4 10 -5 13 -3 10 -5 14 -4 11 -4 12 -4 13 -5 13 -3 13 -4 15 -3 14 -4 13 -3 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 27 1 28 0 27 -1 28 -2 27 -2 28 -2 27 -2 27 -2 27 -2 27 -3 26 -4 27 -4 26 -4 27 -5 26 -5 28 -5 25 -5 25 -6 26 -7 27 -8 25 -7 25 -8 26 -9 25 -8 25 -10 26 -10 27 -11 27 -10 26 -11 25 -11 27 -12 26 -13 27 -13 29 -14 28 -13 29 -13 28 -14 29 -14 28 -14 32 -15 31 -13 32 -14 31 -13 32 -13 33 -13 33 -12 36 -14 34 -11 36 -10 35 -9 37 -8 35 -9 37 -6 37 -5 38 -2 36 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 29 -8 29 -8 29 -7 30 -9 29 -10 28 -9 27 -12 27 -12 27 -14 27 -14 27 -14 26 -14 26 -13 25 -13 23 -14 24 -15 25 -14 23 -15 23 -13 23 -14 22 -12 22 -13 23 -14 23 -14 22 -13 23 -11 22 -11 22 -10 21 -10 23 -9 23 -10 23 -10 23 -8 22 -11 22 -8 24 -8 23 -8 25 -7 23 -7 23 -6 24 -5 25 -5 24 -5 25 -5 25 -4 26 -4 26 -3 26 -2 26 -3 25 -3 26 -2 27 -2 26 -3 28 -1 28 -2 28 -1 28 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-35,11,0,0,0,0,0,0,0,0,0,-89,0,1,1,5021689,0,30,0,0,5.40651,128,[30 -32 1 0 0 0 0 0 0 0 0 0 21 -12 22 -11 23 -11 24 -10 23 -9 23 -8 24 -7 22 -6 23 -7 22 -6 24 -6 23 -6 23 -5 22 -6 20 -6 22 -7 21 -7 19 -7 20 -8 20 -8 19 -8 20 -9 18 -8 20 -9 21 -10 20 -9 0 0 19 -11 20 -11 20 -12 18 -12 18 -12 18 -12 17 -13 17 -12 16 -14 16 -13 17 -15 15 -14 15 -15 16 -15 16 -16 16 -17 17 -17 16 -16 16 -16 16 -17 16 -16 16 -16 17 -15 18 -16 17 -15 17 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,7217518,0,157,0,0,7.60249,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 11 11 10 11 9 12 9 13 9 12 8 13 7 13 7 13 7 13 7 14 7 13 7 14 6 13 6 13 5 13 5 14 5 13 5 12 5 13 5 12 5 13 5 12 5 12 5 12 5 12 5 12 0 0 5 12 5 12 5 11 6 11 6 11 5 11 6 11 6 11 6 11 7 10 7 11 7 10 7 11 8 10 7 10 8 10 8 10 8 10 8 10 9 10 9 10 9 10 9 10 10 10 9 10 10 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 -17 21 -17 23 -19 23 -18 20 -18 21 -19 20 -19 22 -20 20 -18 21 -21 20 -19 19 -20 20 -19 19 -18 19 -20 18 -21 18 -21 17 -22 17 -22 16 -21 18 -23 16 -20 15 -23 16 -22 17 -22 16 -24 15 -23 15 -25 14 -25 15 -25 14 -26 15 -26 15 -26 15 -27 16 -27 16 -29 16 -27 16 -28 17 -29 16 -29 17 -27 17 -30 16 -30 17 -30 20 -30 19 -30 20 -31 22 -28 22 -29 24 -28 23 -28 26 -29 25 -26 25 -25 26 -26 29 -26 30 -23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 24 16 27 14 25 13 28 11 26 12 27 9 27 10 26 10 28 8 27 8 28 9 28 8 28 7 27 6 26 5 25 6 29 5 26 6 27 5 26 5 25 6 27 6 25 5 25 4 24 7 25 6 24 6 24 6 23 7 24 7 23 8 24 7 23 8 22 7 24 8 23 9 22 11 23 11 22 12 23 11 23 13 22 13 23 13 23 14 22 13 22 14 22 15 23 14 21 15 21 14 22 15 21 16 23 15 21 16 22 17 23 17 22 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,8215093,0,157,0,0,8.59985,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 12 -6 12 -5 14 -7 12 -5 14 -5 11 -4 13 -4 13 -3 13 -4 14 -2 13 -2 13 -2 13 -2 13 -2 12 -1 14 -2 11 -2 13 -2 11 -2 12 -2 12 -2 12 -2 12 -1 12 -1 11 -2 11 -2 0 0 11 -2 12 -3 10 -3 12 -3 10 -3 11 -3 11 -3 11 -3 11 -4 12 -5 10 -4 10 -4 10 -4 10 -4 11 -6 9 -5 12 -5 10 -6 10 -6 10 -6 11 -5 10 -7 12 -7 11 -7 10 -6 10 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 -40 31 -39 33 -41 31 -41 29 -40 27 -43 31 -40 29 -42 27 -41 26 -44 27 -40 26 -43 26 -41 23 -42 23 -42 22 -46 22 -47 20 -47 22 -47 19 -43 21 -45 17 -44 17 -47 20 -46 17 -45 17 -47 13 -45 14 -49 15 -51 12 -52 10 -49 14 -54 12 -51 14 -55 9 -53 13 -55 16 -56 16 -57 13 -57 15 -57 10 -59 12 -60 13 -60 14 -62 16 -64 16 -61 18 -66 21 -64 22 -63 22 -63 24 -62 27 -62 31 -60 29 -60 32 -61 33 -62 34 -61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 41 36 42 30 43 33 47 29 44 28 45 25 48 24 46 23 49 24 47 23 47 24 48 22 50 21 50 22 48 16 47 17 48 16 43 19 47 14 48 16 43 15 48 17 40 19 41 18 44 21 43 19 41 21 42 19 40 21 42 21 37 22 40 20 39 21 38 20 39 23 39 24 37 26 35 28 37 29 38 30 38 27 33 30 35 32 36 33 33 29 33 32 35 32 35 34 34 34 32 37 33 39 34 37 34 33 30 36 33 38 36 42 33 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,9215453,0,157,0,0,9.60029,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 10 10 10 11 9 10 9 12 8 11 8 13 7 12 8 12 7 12 8 11 7 13 7 12 6 12 6 12 6 13 5 11 6 14 5 10 5 13 6 11 6 12 5 11 6 10 6 11 5 12 6 11 0 0 6 11 5 10 6 12 6 9 5 11 7 10 6 10 7 10 7 10 8 9 7 10 7 10 8 10 9 10 7 9 8 11 9 8 9 9 10 9 9 8 11 9 9 9 10 7 10 8 10 8 10 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 -10 26 -9 26 -10 26 -11 26 -11 25 -11 26 -12 26 -13 26 -12 24 -12 25 -13 24 -14 24 -14 23 -14 23 -13 23 -14 24 -15 23 -15 22 -15 22 -16 23 -16 22 -15 20 -17 21 -17 20 -17 20 -18 21 -18 21 -19 21 -19 21 -21 20 -21 21 -21 21 -22 21 -22 21 -23 22 -23 22 -21 22 -24 22 -24 21 -24 23 -24 24 -24 25 -25 25 -24 25 -23 26 -25 27 -24 27 -24 27 -23 28 -22 29 -23 30 -23 30 -22 32 -21 33 -18 32 -17 33 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 29 4 29 3 30 2 30 1 30 0 29 -1 29 0 28 -3 29 -1 30 -4 28 -4 28 -4 29 -4 28 -6 26 -4 28 -4 27 -5 25 -3 26 -5 26 -4 26 -4 26 -4 25 -3 25 -5 25 -4 26 -3 24 -3 25 -2 24 -2 26 -2 23 -1 24 -1 25 0 25 -1 25 0 25 1 24 2 24 3 25 3 25 3 26 4 25 4 26 4 27 5 25 6 25 6 25 8 25 9 25 7 27 7 26 7 26 7 27 7 25 8 27 8 27 11 27 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-35,11,0,0,0,0,0,0,0,0,0,-89,0,1,1,10222208,0,30,0,0,10.607,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -23 -11 -22 -12 -22 -13 -23 -15 -21 -15 -19 -16 -19 -17 -17 -16 -18 -17 -17 -16 -19 -17 -19 -16 -18 -16 -18 -15 -16 -15 -18 -16 -17 -15 -17 -13 -17 -14 -17 -14 -17 -13 -18 -13 -17 -12 -19 -13 -20 -13 -19 -13 0 0 -19 -12 -20 -12 -21 -12 -21 -10 -20 -10 -20 -11 -20 -10 -19 -10 -20 -9 -20 -8 -22 -8 -20 -7 -21 -7 -21 -7 -22 -7 -23 -8 -23 -8 -23 -7 -22 -8 -23 -7 -22 -8 -22 -9 -22 -8 -23 -9 -21 -8 -21 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,12414176,0,157,0,0,12.799,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -16 -3 -16 -3 -16 -4 -16 -5 -15 -6 -15 -6 -15 -6 -15 -6 -14 -7 -14 -6 -15 -7 -14 -7 -14 -7 -14 -7 -14 -8 -13 -8 -13 -8 -13 -7 -13 -7 -12 -7 -13 -7 -12 -7 -12 -7 -13 -7 -12 -7 -13 -7 0 0 -12 -6 -12 -6 -13 -6 -12 -5 -13 -5 -12 -5 -13 -5 -12 -5 -13 -5 -13 -4 -14 -4 -13 -4 -13 -3 -13 -4 -13 -4 -14 -3 -13 -3 -14 -3 -14 -3 -14 -2 -14 -3 -14 -2 -14 -1 -15 -1 -14 -1 -15 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 27 -7 26 -7 27 -8 27 -7 26 -7 27 -7 27 -8 28 -6 26 -5 26 -6 26 -4 26 -5 28 -4 26 -4 26 -3 26 -2 28 -2 28 -2 27 -2 25 -2 27 0 25 1 27 -2 27 1 26 0 27 3 26 4 27 3 27 5 28 3 28 4 29 3 29 4 31 4 30 3 30 4 30 4 32 4 31 5 31 5 31 4 32 4 34 4 34 4 35 1 35 1 35 3 37 1 35 -1 35 -3 36 -3 37 -3 37 -4 37 -3 37 -6 38 -9 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -27 -12 -28 -15 -26 -16 -27 -17 -26 -16 -26 -17 -24 -20 -25 -19 -23 -19 -23 -19 -23 -20 -22 -20 -22 -20 -23 -21 -22 -20 -19 -20 -20 -19 -20 -19 -21 -18 -18 -19 -18 -18 -19 -21 -19 -17 -20 -17 -19 -18 -20 -17 -19 -17 -20 -17 -19 -17 -19 -16 -20 -16 -21 -15 -21 -15 -21 -14 -20 -15 -21 -14 -21 -12 -22 -12 -23 -13 -24 -13 -24 -13 -23 -12 -24 -12 -24 -10 -25 -11 -25 -11 -24 -11 -26 -10 -26 -10 -26 -9 -26 -9 -27 -9 -27 -9 -26 -9 -27 -10 -28 -10 -29 -8 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-45,11,1,7,1,1,1,0,0,0,1,-89,0,1,1,13412102,0,157,0,0,13.7969,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -15 1 -15 1 -15 1 -15 0 -15 -1 -15 -1 -15 -1 -14 -2 -14 -2 -14 -2 -14 -3 -14 -3 -14 -3 -13 -4 -13 -3 -14 -4 -13 -4 -13 -3 -13 -4 -13 -4 -13 -3 -13 -3 -12 -3 -13 -4 -12 -3 -12 -3 0 0 -12 -3 -12 -2 -12 -3 -12 -2 -12 -2 -12 -2 -12 -2 -12 -2 -12 -2 -12 -1 -12 -1 -12 -1 -12 -1 -12 0 -12 0 -13 0 -13 0 -13 0 -13 1 -13 1 -13 1 -13 1 -13 1 -14 2 -13 1 -14 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 25 3 26 4 26 4 25 5 25 4 24 4 26 4 26 4 23 4 24 5 24 5 23 5 25 6 24 7 23 7 23 7 24 8 24 7 22 7 23 9 23 8 23 9 22 8 22 10 22 9 24 9 22 12 23 11 23 12 23 12 22 11 22 12 24 13 24 14 23 12 24 13 25 14 25 14 26 13 25 14 27 14 26 14 27 14 28 13 28 14 30 12 29 13 31 11 30 10 31 9 31 10 32 9 33 7 33 7 33 5 35 4 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -28 1 -28 1 -28 -1 -29 -3 -29 -3 -26 -4 -27 -5 -27 -6 -27 -7 -26 -5 -26 -7 -26 -6 -27 -8 -27 -7 -24 -7 -24 -8 -25 -9 -24 -8 -23 -7 -22 -9 -23 -8 -23 -8 -23 -7 -23 -7 -23 -7 -23 -7 -23 -6 -22 -6 -22 -6 -22 -6 -22 -5 -22 -6 -23 -6 -23 -5 -23 -5 -23 -4 -22 -3 -22 -2 -23 -1 -24 -1 -24 -1 -23 -1 -23 -1 -24 0 -23 1 -24 0 -24 0 -24 1 -25 0 -26 2 -25 2 -25 3 -25 3 -25 1 -25 2 -26 2 -26 4 0 0 ]
