type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-20,11,1,7,1,1,1,0,0,0,1,-96,0,1,1,363887,0,157,0,0,0.765482,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 6 -16 6 -16 7 -16 7 -15 8 -15 8 -15 8 -15 9 -14 9 -14 9 -14 10 -13 10 -13 10 -13 10 -13 10 -13 10 -12 10 -12 10 -12 10 -12 10 -12 10 -12 10 -12 9 -11 9 -12 9 -12 9 -11 0 0 9 -11 9 -11 9 -12 8 -12 8 -12 8 -12 8 -12 7 -12 7 -12 7 -12 7 -13 7 -13 7 -13 7 -13 6 -13 6 -14 6 -14 6 -14 6 -14 5 -14 6 -15 6 -15 6 -15 5 -15 6 -15 5 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -28 -12 -29 -11 -28 -10 -28 -12 -29 -11 -28 -11 -29 -10 -28 -10 -28 -9 -27 -10 -28 -10 -28 -9 -28 -10 -27 -8 -27 -7 -28 -6 -28 -6 -27 -5 -26 -6 -27 -6 -26 -5 -27 -5 -26 -3 -28 -4 -27 -3 -28 -3 -27 -2 -28 0 -28 0 -29 0 -29 -1 -29 -1 -30 0 -29 1 -30 0 -29 1 -31 1 -30 0 -31 1 -31 -1 -33 -1 -32 0 -32 2 -33 1 -33 0 -35 -2 -33 -3 -35 -3 -34 -5 -35 -6 -35 -7 -35 -7 -34 -7 -34 -7 -34 -9 -33 -11 -33 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -30 12 -29 14 -30 15 -28 16 -29 15 -26 17 -27 17 -26 18 -26 17 -26 18 -26 18 -25 20 -24 19 -25 19 -23 20 -23 19 -21 19 -23 19 -22 20 -21 19 -22 20 -21 18 -22 17 -22 17 -22 17 -22 17 -21 17 -21 17 -22 17 -22 16 -22 16 -21 16 -23 16 -22 15 -23 15 -22 14 -23 13 -24 13 -24 13 -25 12 -25 14 -25 13 -24 12 -26 12 -25 13 -26 13 -27 12 -27 12 -27 11 -28 10 -28 11 -28 11 -28 12 -28 11 -29 11 -28 11 -28 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-20,11,1,7,1,1,1,0,0,0,1,-96,0,1,1,1361693,0,157,0,0,1.76163,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 15 2 16 3 16 4 16 4 15 5 15 5 15 5 15 5 15 6 14 6 14 6 14 7 14 7 14 7 14 7 13 7 13 7 12 7 13 7 13 7 12 7 13 7 12 7 12 7 12 7 12 6 0 0 12 6 12 6 13 6 12 5 12 6 13 5 13 5 13 4 13 5 13 4 13 4 13 4 13 4 14 4 13 4 14 3 14 3 15 3 14 3 15 2 15 2 14 3 14 2 15 2 15 2 15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -30 8 -29 8 -31 8 -28 6 -28 8 -29 7 -28 8 -30 6 -28 7 -29 6 -28 5 -28 5 -28 4 -27 4 -27 2 -27 3 -28 2 -27 2 -28 2 -26 1 -28 0 -26 0 -29 1 -28 -1 -27 0 -28 -2 -26 -3 -28 -4 -28 -5 -28 -5 -28 -4 -29 -3 -28 -4 -30 -4 -28 -4 -31 -4 -30 -4 -31 -4 -31 -4 -31 -6 -30 -6 -32 -4 -33 -5 -33 -3 -34 -4 -33 -3 -35 -3 -33 -3 -36 -2 -35 -1 -35 -1 -35 2 -35 3 -34 3 -36 2 -36 5 -35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 11 28 13 27 13 28 16 26 15 27 16 25 17 26 17 24 18 24 17 24 18 24 18 24 19 24 18 23 20 21 19 22 20 20 18 23 19 20 20 21 18 20 20 20 16 21 17 21 17 21 16 21 16 21 16 19 16 22 16 20 14 22 16 21 15 22 15 22 14 22 14 21 12 23 13 24 13 24 12 25 12 23 11 25 12 24 11 27 11 26 11 26 11 26 10 27 11 27 9 28 9 27 8 28 9 26 9 28 9 30 10 28 10 0 0 ]
CSI_DATA,AP,FC:44:82:12:6E:34,-41,11,0,0,0,0,0,0,0,0,0,-96,0,1,1,1575777,0,114,0,0,1.97582,128,[114 32 7 0 0 0 0 0 0 0 0 0 3 -18 4 -18 4 -19 5 -20 5 -18 5 -18 6 -18 5 -17 6 -19 7 -21 8 -23 9 -25 9 -24 9 -25 9 -24 10 -25 9 -25 9 -23 9 -25 9 -24 9 -24 9 -24 8 -23 9 -24 9 -25 9 -25 0 0 9 -26 9 -25 9 -26 8 -25 8 -26 8 -26 8 -26 8 -26 8 -27 8 -26 8 -27 7 -26 7 -27 8 -28 7 -26 7 -27 7 -25 6 -23 6 -22 5 -21 5 -22 6 -22 5 -21 6 -22 5 -21 5 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,FC:44:82:12:6E:34,-35,11,0,0,0,0,0,0,0,0,0,-96,0,1,1,1578061,0,121,0,0,2.00672,128,[121 -112 7 0 0 0 0 0 0 0 0 0 8 -24 9 -23 10 -24 10 -25 10 -23 11 -23 11 -23 11 -22 12 -24 13 -26 15 -29 17 -31 17 -30 18 -31 18 -30 19 -30 18 -32 17 -29 18 -30 18 -30 16 -29 18 -30 16 -29 17 -30 18 -32 17 -31 0 0 18 -33 18 -31 18 -32 16 -32 16 -32 17 -33 17 -33 16 -33 17 -35 16 -32 16 -34 16 -33 16 -35 16 -35 15 -33 15 -33 14 -31 13 -30 12 -28 12 -26 12 -27 12 -28 11 -27 11 -28 12 -27 12 -26 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-20,11,1,7,1,1,1,0,0,0,1,-96,0,1,1,2362152,0,157,0,0,2.76207,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -17 0 -17 -1 -17 -2 -17 -2 -17 -3 -17 -3 -17 -3 -16 -4 -16 -4 -16 -4 -16 -4 -16 -5 -16 -5 -16 -5 -16 -5 -15 -5 -15 -5 -15 -5 -15 -5 -15 -5 -15 -5 -15 -5 -14 -5 -14 -5 -14 -5 -14 -4 0 0 -14 -4 -14 -4 -14 -4 -14 -4 -14 -3 -14 -3 -15 -3 -14 -3 -15 -3 -14 -2 -15 -2 -15 -1 -15 -1 -15 -1 -15 -2 -15 -1 -15 -1 -16 0 -15 0 -16 0 -16 0 -16 0 -16 1 -16 1 -16 1 -16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 28 3 29 4 29 3 28 5 29 5 29 4 28 4 28 5 26 5 28 6 28 6 27 6 27 6 25 8 25 8 26 7 26 8 25 8 24 9 25 10 24 11 24 10 23 10 24 11 24 10 23 13 23 12 23 13 23 15 23 14 24 16 24 14 23 15 23 15 23 15 24 16 24 15 24 16 25 17 26 18 25 18 26 16 25 16 26 17 27 16 28 17 29 15 28 16 30 15 30 15 31 14 31 12 30 11 30 11 31 10 34 9 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -31 1 -31 -1 -32 -2 -32 -3 -32 -4 -32 -4 -31 -6 -31 -6 -31 -7 -30 -7 -30 -8 -30 -8 -30 -9 -30 -9 -30 -9 -28 -9 -28 -9 -28 -9 -28 -9 -28 -10 -27 -9 -27 -10 -27 -8 -27 -8 -26 -8 -26 -7 -27 -7 -27 -7 -26 -7 -27 -7 -26 -6 -27 -6 -27 -6 -27 -5 -27 -4 -27 -4 -26 -2 -27 -3 -27 -3 -28 -2 -28 -2 -28 -1 -29 -1 -28 0 -29 0 -29 1 -29 1 -29 1 -29 1 -29 1 -29 2 -30 3 -31 2 -29 2 -30 2 -31 2 -30 1 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-9,11,0,0,0,0,0,0,0,0,0,-96,0,1,1,3367868,0,30,0,0,3.76779,128,[30 -32 1 0 0 0 0 0 0 0 0 0 26 -11 28 -10 28 -9 30 -9 29 -7 28 -6 27 -5 27 -3 27 -4 27 -4 28 -3 29 -3 27 -3 26 -3 25 -3 27 -6 26 -4 24 -4 25 -5 24 -6 25 -6 25 -7 24 -6 25 -7 27 -9 26 -8 0 0 25 -10 25 -11 26 -11 24 -11 23 -10 24 -12 24 -12 23 -12 23 -13 22 -13 23 -14 22 -13 22 -13 23 -16 21 -15 23 -17 23 -17 22 -16 23 -16 22 -15 23 -16 23 -15 24 -15 24 -14 24 -13 24 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-20,11,1,7,1,1,1,0,0,0,1,-96,0,1,1,5562038,0,157,0,0,5.96212,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -12 -11 -12 -12 -12 -12 -11 -13 -11 -13 -11 -13 -10 -13 -10 -13 -10 -14 -10 -14 -9 -14 -9 -14 -9 -14 -9 -14 -8 -14 -8 -14 -8 -14 -8 -13 -8 -14 -8 -14 -8 -14 -8 -14 -8 -13 -8 -13 -8 -13 -8 -13 0 0 -9 -12 -8 -12 -9 -12 -8 -12 -9 -12 -9 -11 -9 -11 -10 -11 -10 -11 -10 -10 -10 -10 -10 -10 -11 -11 -11 -10 -11 -10 -11 -10 -11 -10 -12 -10 -12 -10 -13 -9 -13 -9 -13 -10 -13 -9 -13 -9 -14 -9 -14 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 20 -21 22 -21 22 -21 21 -19 21 -19 22 -20 21 -20 22 -19 21 -18 21 -18 22 -17 22 -17 22 -16 21 -15 22 -15 23 -15 23 -15 23 -15 22 -13 22 -13 22 -12 22 -13 24 -13 24 -12 24 -12 24 -10 23 -10 25 -9 25 -7 25 -7 26 -8 26 -9 26 -9 27 -8 26 -9 28 -9 28 -9 29 -9 29 -8 29 -6 29 -7 30 -9 30 -9 31 -10 31 -10 30 -11 31 -12 30 -11 31 -13 31 -13 30 -14 30 -17 30 -16 29 -17 30 -17 30 -19 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -19 -25 -19 -26 -18 -28 -17 -28 -15 -27 -15 -28 -14 -28 -14 -28 -13 -29 -13 -27 -13 -28 -12 -28 -12 -29 -12 -28 -11 -29 -10 -28 -9 -28 -9 -27 -10 -28 -9 -28 -10 -27 -8 -28 -10 -25 -11 -26 -11 -26 -11 -25 -11 -25 -11 -26 -11 -25 -12 -25 -11 -24 -12 -25 -12 -25 -14 -25 -14 -24 -13 -24 -15 -22 -15 -22 -16 -22 -17 -23 -17 -23 -16 -22 -17 -22 -18 -22 -18 -22 -18 -22 -19 -22 -20 -21 -19 -22 -20 -21 -21 -22 -21 -21 -21 -22 -20 -22 -22 -22 -22 -23 -21 -22 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-20,11,1,7,1,1,1,0,0,0,1,-96,0,1,1,6560061,0,157,0,0,6.95998,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -15 6 -16 6 -16 5 -17 5 -16 4 -16 4 -16 4 -16 3 -16 3 -16 3 -16 3 -16 2 -16 2 -16 2 -17 1 -16 1 -16 1 -15 1 -16 1 -15 1 -16 1 -15 1 -15 1 -15 2 -15 2 -15 2 0 0 -14 2 -14 2 -15 3 -14 2 -14 3 -14 3 -14 3 -14 3 -14 3 -14 4 -14 4 -14 5 -14 5 -14 5 -14 5 -14 5 -14 6 -14 6 -14 6 -14 6 -14 7 -14 7 -13 7 -14 8 -14 7 -14 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 25 16 23 16 24 16 24 17 23 17 24 16 23 16 24 15 21 16 22 17 22 17 21 18 22 16 19 19 20 19 19 19 19 19 18 19 18 17 17 19 17 19 16 20 17 19 16 20 16 20 16 21 14 22 13 22 13 24 14 24 14 25 14 23 14 25 14 24 14 25 14 26 14 24 15 26 14 26 16 27 13 28 14 26 14 28 15 28 15 27 17 28 18 26 17 28 20 27 21 27 21 27 21 25 22 23 20 25 22 24 24 24 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -28 13 -29 12 -29 10 -31 10 -29 10 -30 9 -30 7 -30 7 -31 6 -29 6 -30 6 -29 6 -31 5 -30 5 -31 4 -28 3 -30 3 -28 4 -29 4 -29 3 -28 3 -29 3 -26 4 -27 4 -27 4 -27 5 -27 5 -28 5 -26 4 -27 5 -25 5 -27 5 -27 6 -26 7 -26 7 -26 7 -24 8 -25 10 -25 9 -26 11 -27 11 -25 10 -26 11 -25 12 -26 13 -26 12 -26 13 -25 13 -26 13 -24 13 -26 15 -26 15 -27 16 -25 14 -26 15 -27 16 -26 15 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-21,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,7560860,0,157,0,0,7.96079,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -16 2 -17 1 -17 0 -18 0 -16 -1 -17 -1 -16 -2 -17 -2 -17 -2 -16 -2 -16 -2 -16 -3 -16 -3 -16 -3 -16 -4 -15 -4 -16 -4 -14 -4 -15 -4 -15 -4 -15 -4 -15 -4 -14 -4 -14 -3 -15 -3 -15 -3 0 0 -14 -3 -14 -3 -15 -3 -14 -3 -14 -3 -14 -2 -14 -2 -14 -2 -14 -2 -14 -1 -15 -1 -15 0 -15 0 -15 0 -14 -1 -15 -1 -15 0 -16 0 -16 0 -15 0 -16 1 -16 0 -15 1 -16 1 -16 1 -16 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 29 -6 27 -6 30 -6 28 -4 27 -5 30 -6 26 -6 29 -5 26 -3 28 -3 28 -3 27 -2 28 -2 24 -1 26 -1 27 -1 27 -1 27 -1 28 -1 24 0 27 2 24 2 27 0 26 3 25 1 26 4 24 4 26 5 26 7 27 7 27 7 28 4 26 6 28 6 26 6 29 6 28 6 28 7 28 6 30 8 27 8 29 6 29 7 31 6 32 6 30 5 34 4 30 5 34 4 34 3 33 2 33 -1 34 -1 31 -1 33 0 34 -3 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -31 -8 -31 -10 -29 -10 -31 -13 -28 -11 -30 -13 -28 -14 -28 -14 -28 -16 -26 -14 -27 -15 -27 -15 -28 -16 -27 -17 -28 -18 -23 -16 -25 -18 -23 -15 -26 -17 -23 -17 -24 -16 -23 -17 -22 -13 -24 -15 -23 -15 -24 -14 -24 -14 -25 -15 -22 -14 -25 -15 -22 -12 -25 -14 -24 -13 -25 -13 -24 -11 -24 -12 -24 -9 -26 -10 -25 -10 -26 -10 -28 -10 -25 -9 -28 -10 -26 -8 -28 -8 -28 -8 -28 -7 -27 -7 -28 -8 -27 -7 -29 -7 -30 -6 -31 -7 -27 -7 -29 -8 -31 -8 -28 -7 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-11,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,8565756,0,30,0,0,8.96568,128,[30 -32 1 0 0 0 0 0 0 0 0 0 24 13 25 15 24 15 26 18 23 17 22 18 20 19 19 19 19 19 19 18 20 19 20 20 19 19 19 18 18 18 21 17 18 17 17 16 19 16 19 15 19 16 21 15 19 15 21 15 23 15 22 16 0 0 23 14 23 12 24 13 23 11 22 12 24 11 23 11 23 11 24 10 23 10 25 8 23 9 24 9 27 8 24 7 27 7 27 7 26 7 26 7 25 8 26 8 25 9 25 9 26 9 25 10 24 11 0 0 0 0 0 0 0 0 0 0 ]
