type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,51267,0,157,0,0,0.438842,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 13 16 13 16 12 16 12 17 11 17 11 17 11 17 9 17 9 17 8 18 8 19 8 18 7 18 6 17 6 17 7 17 7 16 7 16 6 16 6 15 6 15 7 15 6 15 6 15 6 15 6 14 0 0 7 13 7 13 7 13 7 12 7 12 8 12 7 12 8 11 9 11 9 11 9 11 9 10 9 10 9 10 10 9 10 9 11 9 11 8 11 8 11 8 11 8 11 8 11 8 12 8 11 8 12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -27 4 -29 3 -29 2 -29 4 -30 2 -28 1 -29 1 -26 2 -28 0 -28 -1 -28 -1 -27 -3 -27 -2 -27 -2 -27 -4 -27 -4 -27 -4 -27 -4 -25 -5 -28 -6 -27 -5 -26 -7 -24 -8 -24 -8 -24 -9 -24 -8 -26 -10 -26 -9 -24 -10 -26 -10 -25 -11 -25 -12 -25 -12 -24 -14 -27 -13 -25 -12 -26 -16 -25 -13 -26 -14 -27 -13 -28 -13 -28 -15 -28 -12 -27 -13 -28 -15 -29 -13 -28 -14 -30 -13 -29 -12 -30 -12 -30 -12 -29 -10 -29 -9 -30 -8 -30 -8 -31 -7 -29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 24 30 23 31 26 29 28 29 28 27 27 28 28 26 29 25 29 25 30 24 32 23 29 23 32 20 31 20 28 23 29 21 30 19 30 20 26 20 27 18 26 20 25 20 27 19 26 18 24 20 24 19 22 19 22 20 22 20 21 21 20 20 21 20 19 20 18 22 18 22 17 23 17 22 17 22 15 24 15 22 14 25 13 25 13 25 13 24 12 26 11 26 9 26 9 26 9 27 8 27 9 25 7 25 7 28 7 27 7 27 6 28 6 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,1049651,0,157,0,0,1.43559,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 20 2 20 3 20 4 20 5 20 5 19 5 19 6 18 7 18 6 18 7 18 8 18 8 17 9 16 8 16 8 16 9 16 7 16 8 15 7 15 7 15 7 15 7 15 7 14 7 14 7 14 6 0 0 14 6 14 5 14 5 14 4 14 4 14 4 13 4 13 3 14 2 13 2 14 2 13 2 13 2 14 2 13 0 14 0 14 0 14 -1 14 -1 14 -1 14 -1 14 -2 14 -2 14 -2 14 -2 14 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -25 -14 -26 -14 -26 -15 -25 -14 -25 -14 -24 -16 -25 -15 -23 -15 -23 -16 -22 -15 -22 -16 -21 -18 -22 -17 -21 -18 -20 -19 -20 -19 -22 -19 -19 -18 -19 -20 -19 -21 -18 -19 -18 -20 -17 -21 -17 -20 -16 -21 -16 -21 -17 -24 -16 -22 -14 -24 -16 -24 -15 -23 -15 -25 -15 -24 -14 -26 -15 -24 -14 -25 -16 -27 -14 -26 -15 -26 -15 -27 -15 -27 -15 -26 -16 -27 -15 -26 -17 -28 -17 -26 -16 -27 -18 -26 -17 -25 -19 -26 -19 -25 -20 -25 -20 -23 -20 -23 -21 -23 -21 -21 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 -2 40 0 40 0 41 2 41 2 38 2 37 4 40 6 39 6 37 7 39 8 37 8 37 7 36 11 33 8 35 8 34 8 33 9 32 8 32 9 31 8 31 8 33 7 29 7 29 8 31 6 30 6 29 5 30 3 28 3 29 3 28 2 27 3 28 1 28 1 29 1 28 -1 27 -3 26 -3 27 -2 26 -4 28 -4 27 -6 28 -6 26 -6 27 -7 27 -6 27 -9 26 -9 26 -9 27 -10 26 -11 26 -9 26 -11 26 -12 25 -12 26 -12 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,2050142,0,157,0,0,2.43599,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 6 -20 7 -21 8 -20 8 -20 8 -19 9 -20 9 -18 10 -18 10 -18 10 -17 10 -17 11 -17 11 -17 11 -16 10 -16 11 -16 11 -16 10 -15 10 -15 10 -14 10 -14 9 -14 9 -14 9 -14 9 -14 9 -14 0 0 8 -14 7 -14 7 -14 6 -14 7 -14 6 -14 6 -14 5 -14 4 -14 4 -14 4 -14 4 -14 3 -14 3 -14 3 -14 2 -15 2 -15 1 -15 1 -15 0 -15 1 -15 1 -15 0 -15 -1 -15 0 -15 -1 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -28 4 -29 4 -27 5 -29 6 -28 5 -26 5 -27 5 -27 6 -27 7 -26 8 -26 8 -25 8 -26 10 -25 9 -25 9 -25 11 -24 11 -25 11 -23 10 -23 13 -23 13 -22 12 -22 12 -22 13 -22 14 -21 15 -22 16 -21 16 -20 15 -21 17 -20 17 -21 17 -21 18 -21 18 -21 20 -20 18 -20 19 -19 20 -20 20 -20 21 -20 22 -20 21 -22 20 -22 20 -21 20 -23 22 -22 21 -24 21 -23 20 -23 20 -23 21 -25 21 -25 18 -24 18 -25 13 -26 16 -26 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 -40 14 -38 16 -38 17 -37 17 -37 17 -36 19 -35 19 -34 20 -34 21 -34 20 -32 20 -33 22 -32 22 -30 20 -28 21 -30 22 -28 21 -27 20 -27 19 -27 19 -26 19 -27 18 -26 18 -27 18 -26 16 -26 16 -25 14 -25 15 -26 14 -26 12 -26 14 -25 12 -27 9 -26 10 -25 10 -26 8 -27 6 -27 7 -25 7 -26 5 -26 5 -29 3 -27 4 -29 2 -27 2 -27 2 -27 1 -28 -1 -28 1 -29 -1 -29 0 -30 -2 -29 -2 -29 -2 -30 -3 -29 -3 -29 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-29,11,0,0,0,0,0,0,0,0,0,-93,0,1,1,3055451,0,30,0,0,3.44135,128,[30 -32 1 0 0 0 0 0 0 0 0 0 0 28 -1 27 -3 29 -4 29 -5 28 -6 26 -8 27 -8 25 -8 26 -9 24 -9 26 -8 26 -9 25 -8 24 -7 21 -7 25 -6 23 -5 21 -5 22 -6 22 -6 21 -4 22 -4 20 -4 23 -3 23 -4 22 0 0 -2 21 -2 23 -1 22 0 22 0 21 -1 21 0 21 0 19 2 19 1 19 2 20 3 19 4 19 4 18 5 19 5 20 5 21 5 19 4 20 5 19 4 20 4 19 4 19 4 20 4 18 3 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,5249237,0,157,0,0,5.63528,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -19 -3 -18 -4 -19 -6 -18 -5 -19 -7 -18 -7 -18 -8 -17 -8 -17 -8 -17 -8 -17 -8 -17 -8 -16 -8 -15 -8 -15 -8 -15 -9 -14 -9 -14 -9 -14 -9 -14 -8 -13 -8 -13 -8 -13 -8 -13 -8 -13 -7 -13 -7 0 0 -13 -7 -13 -6 -13 -5 -13 -5 -12 -5 -12 -5 -13 -5 -12 -5 -13 -4 -13 -4 -13 -3 -13 -3 -13 -2 -12 -2 -13 -2 -13 -2 -13 -2 -13 -1 -13 -1 -13 -1 -14 -1 -13 -1 -13 0 -13 0 -13 1 -13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 25 3 25 3 24 3 25 4 24 5 25 4 25 5 24 5 23 6 22 6 22 7 21 8 21 8 23 7 22 9 22 9 21 9 21 9 20 10 20 10 20 9 20 11 19 12 19 11 20 12 19 13 19 13 19 13 19 14 20 14 18 14 19 15 19 16 19 15 19 15 18 15 19 17 19 17 20 16 19 18 19 16 21 16 20 16 19 17 20 16 21 15 21 17 22 15 22 15 22 14 23 15 24 14 23 13 24 14 24 12 24 10 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -37 -8 -35 -9 -35 -11 -36 -12 -35 -13 -34 -14 -33 -15 -32 -17 -33 -18 -33 -16 -32 -16 -32 -17 -31 -18 -29 -18 -28 -18 -28 -17 -29 -18 -26 -18 -27 -16 -26 -16 -26 -16 -25 -17 -26 -15 -25 -15 -24 -15 -25 -14 -25 -13 -25 -13 -25 -13 -24 -12 -24 -10 -23 -11 -23 -10 -24 -9 -25 -9 -25 -8 -25 -7 -25 -6 -25 -6 -26 -5 -25 -5 -26 -5 -24 -4 -26 -3 -25 -2 -26 -2 -24 -1 -26 -1 -25 0 -26 -1 -26 0 -26 1 -26 0 -26 1 -28 0 -26 1 -26 2 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,6247499,0,157,0,0,6.63338,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 23 -2 23 -1 23 0 23 0 22 1 22 2 23 2 22 3 22 3 22 4 22 4 22 5 21 5 20 5 19 5 21 5 20 5 19 5 18 5 18 4 18 5 18 5 17 5 17 4 17 5 17 4 0 0 17 3 16 3 16 2 17 2 16 2 16 1 16 1 16 0 16 0 16 -1 16 -1 15 -1 16 -1 15 -2 16 -3 16 -3 16 -3 16 -4 15 -4 16 -4 16 -4 15 -5 16 -5 15 -5 15 -5 15 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -19 -27 -18 -26 -20 -28 -21 -25 -18 -25 -20 -24 -21 -24 -19 -24 -21 -23 -20 -23 -20 -22 -21 -21 -22 -21 -22 -21 -22 -21 -22 -20 -24 -20 -23 -19 -23 -18 -25 -18 -26 -18 -23 -16 -25 -16 -25 -16 -24 -15 -26 -14 -26 -15 -27 -14 -25 -15 -28 -14 -27 -14 -28 -14 -29 -12 -29 -14 -30 -13 -29 -14 -28 -13 -30 -12 -29 -13 -30 -13 -30 -14 -30 -14 -30 -15 -30 -13 -32 -15 -32 -15 -30 -15 -32 -16 -31 -18 -31 -16 -29 -17 -30 -18 -30 -18 -28 -20 -28 -21 -26 -22 -27 -22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 -11 42 -9 41 -9 45 -8 43 -6 44 -5 44 -3 43 0 44 -3 42 0 43 1 41 2 41 3 40 4 38 3 37 2 40 2 37 4 37 2 37 3 36 2 35 3 36 3 35 2 34 4 34 2 32 1 32 0 32 -2 32 -2 31 -1 31 -3 29 -4 30 -5 31 -5 31 -7 30 -7 29 -7 30 -6 29 -8 28 -9 30 -10 28 -12 29 -12 28 -12 28 -13 28 -13 28 -15 27 -15 27 -14 27 -15 27 -16 27 -16 27 -17 27 -16 27 -18 27 -19 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,7247937,0,157,0,0,7.63385,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 8 19 8 19 7 20 6 21 5 19 5 20 4 20 3 20 3 19 3 19 2 20 2 19 2 20 1 19 1 19 1 19 1 18 1 17 0 17 1 17 0 17 1 16 1 16 1 16 1 16 2 15 0 0 2 15 2 14 2 15 3 14 3 14 3 14 3 14 4 13 4 14 5 13 5 13 5 13 6 13 6 13 6 12 6 12 6 12 7 12 7 12 8 12 8 12 8 12 8 11 9 11 9 11 9 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 -20 19 -22 18 -22 17 -23 18 -23 16 -22 17 -23 15 -22 16 -22 15 -23 14 -22 13 -23 14 -23 13 -23 13 -24 12 -24 12 -24 10 -23 10 -23 10 -25 11 -26 10 -24 8 -24 8 -25 8 -24 6 -26 7 -26 7 -27 7 -25 6 -28 4 -26 6 -26 5 -27 5 -26 5 -30 5 -28 6 -27 4 -28 4 -30 5 -30 4 -30 5 -31 6 -31 6 -29 7 -30 6 -33 7 -31 7 -32 7 -31 8 -32 8 -31 9 -30 9 -30 10 -29 11 -29 12 -30 14 -27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 36 15 35 14 37 11 37 11 38 10 36 10 37 9 37 7 38 7 38 5 38 6 36 5 38 4 36 4 34 3 35 3 35 4 34 4 32 3 33 3 32 3 31 4 31 3 31 3 30 4 30 5 29 5 28 5 29 5 27 7 28 7 27 7 26 8 25 9 27 9 26 11 25 11 26 11 24 12 25 13 23 14 24 13 23 15 24 15 22 16 23 17 22 17 22 17 21 17 23 17 22 18 21 18 20 19 21 18 21 19 21 20 19 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,10448059,0,157,0,0,10.834,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -6 18 -7 18 -8 18 -9 18 -8 17 -9 16 -9 16 -10 16 -10 16 -10 16 -10 15 -10 15 -11 15 -10 14 -10 13 -11 14 -10 13 -10 13 -10 13 -9 13 -9 12 -9 12 -9 12 -9 12 -9 12 -8 12 0 0 -7 12 -7 12 -7 12 -6 12 -6 12 -6 12 -6 12 -5 12 -5 12 -4 12 -4 12 -4 12 -4 12 -3 12 -3 12 -2 12 -2 12 -2 12 -1 13 -1 12 -1 13 0 13 0 13 0 13 0 13 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 -3 26 -4 26 -5 25 -5 25 -6 23 -6 24 -6 23 -6 24 -7 22 -8 23 -8 22 -9 22 -9 22 -8 22 -9 21 -11 21 -11 21 -11 20 -11 20 -13 19 -13 20 -12 19 -13 19 -13 19 -13 18 -14 18 -16 19 -16 18 -16 18 -17 17 -17 17 -19 18 -17 17 -17 18 -20 17 -17 18 -19 18 -20 18 -19 18 -20 19 -21 18 -21 19 -20 18 -20 19 -20 20 -20 19 -20 20 -19 20 -19 20 -19 21 -19 22 -19 22 -17 23 -17 20 -16 23 -16 23 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 35 -14 32 -17 31 -18 32 -19 31 -19 30 -19 29 -19 28 -21 29 -20 29 -22 28 -22 27 -21 27 -22 26 -22 25 -21 25 -20 25 -21 24 -20 23 -19 22 -19 22 -19 24 -18 23 -17 23 -18 21 -17 23 -15 22 -14 22 -15 22 -15 22 -12 22 -14 22 -13 21 -12 22 -11 23 -10 23 -9 24 -8 24 -8 23 -6 24 -7 24 -6 25 -5 23 -4 25 -3 23 -3 24 -2 25 -2 25 -2 24 -1 25 -1 25 0 25 -1 25 0 25 1 26 1 25 3 26 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-39,11,1,7,1,1,1,0,0,0,1,-93,0,1,1,11444963,0,157,0,0,11.8309,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 16 -10 16 -9 17 -9 17 -8 17 -8 17 -7 17 -7 17 -6 17 -6 17 -6 17 -5 17 -5 17 -4 16 -4 16 -4 16 -4 15 -4 15 -4 15 -4 15 -4 15 -4 14 -4 14 -4 14 -4 14 -4 14 -4 0 0 13 -4 13 -5 13 -5 12 -5 12 -5 12 -6 12 -6 11 -6 11 -6 10 -7 11 -7 10 -7 10 -7 10 -7 10 -8 10 -8 10 -8 9 -9 9 -9 8 -10 9 -10 8 -10 9 -10 8 -10 8 -10 8 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -22 -13 -23 -14 -24 -12 -23 -12 -23 -12 -22 -11 -23 -11 -22 -11 -22 -10 -22 -9 -23 -9 -22 -7 -23 -7 -23 -8 -23 -7 -22 -6 -23 -7 -24 -5 -21 -5 -23 -5 -24 -4 -23 -3 -24 -3 -24 -2 -23 -2 -23 -2 -24 -1 -25 -1 -24 -1 -25 -1 -24 0 -24 0 -26 1 -26 2 -25 2 -25 2 -25 1 -26 2 -27 3 -26 3 -27 2 -27 2 -27 2 -27 2 -27 1 -29 2 -28 1 -30 0 -28 1 -27 1 -29 0 -29 0 -28 -1 -30 -2 -29 -5 -28 -5 -27 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 -20 31 -18 32 -18 33 -15 33 -14 33 -15 32 -13 32 -13 33 -11 34 -11 33 -10 33 -8 33 -8 32 -8 29 -8 32 -8 32 -8 30 -7 30 -8 28 -7 28 -7 27 -7 27 -8 27 -7 26 -7 26 -9 25 -9 24 -8 24 -9 24 -10 22 -11 23 -10 22 -11 21 -12 21 -13 22 -14 20 -13 20 -14 19 -14 19 -14 19 -15 19 -16 19 -16 18 -17 17 -17 17 -19 17 -18 16 -19 15 -19 16 -19 16 -20 15 -20 15 -20 14 -21 15 -21 14 -22 15 -22 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-39,11,1,7,1,1,1,0,0,0,1,-93,0,1,1,12445851,0,157,0,0,12.8317,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 9 19 8 19 7 19 7 20 6 19 6 20 5 20 4 20 4 19 3 19 4 20 3 19 2 19 2 19 2 18 2 19 2 18 2 17 1 17 1 16 1 17 1 16 2 16 2 16 2 16 2 15 0 0 3 15 3 15 3 15 4 14 3 14 4 13 4 13 4 13 5 13 5 12 6 12 5 12 6 12 6 12 6 12 7 12 7 12 8 11 8 11 8 11 8 11 9 11 9 10 9 10 9 11 9 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 -15 22 -16 23 -17 21 -17 22 -18 22 -18 21 -17 19 -17 19 -17 19 -18 19 -19 17 -19 18 -19 17 -19 17 -20 17 -19 16 -20 16 -21 16 -21 15 -20 16 -23 15 -21 13 -21 14 -22 12 -22 12 -22 12 -22 11 -24 11 -23 12 -25 10 -25 11 -26 10 -26 9 -26 11 -27 10 -25 10 -27 11 -27 10 -28 11 -27 11 -27 12 -28 11 -28 12 -27 12 -28 12 -30 13 -30 13 -28 14 -28 14 -29 14 -27 14 -29 15 -28 16 -26 16 -26 17 -25 19 -24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 40 4 39 4 38 0 40 1 39 -1 39 -1 40 -2 38 -2 39 -4 38 -5 38 -5 37 -6 37 -7 37 -6 34 -7 34 -8 35 -7 33 -5 34 -7 33 -5 31 -6 31 -5 32 -5 30 -6 29 -4 31 -3 30 -3 29 -3 28 -2 28 -1 28 -1 28 0 27 0 26 1 27 3 29 2 27 3 27 4 25 5 27 6 26 7 26 6 27 8 25 9 26 9 25 10 24 11 25 10 24 12 25 11 25 12 25 12 24 13 23 13 24 13 24 14 24 0 0 ]
