type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,862133,0,157,0,0,1.25016,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -6 21 -6 20 -7 20 -8 20 -8 20 -8 19 -9 19 -9 18 -9 18 -10 18 -10 18 -10 18 -11 17 -11 17 -10 16 -11 16 -10 16 -10 15 -10 15 -10 15 -9 14 -9 14 -9 14 -9 14 -9 14 -8 14 0 0 -8 13 -7 14 -7 14 -6 14 -7 13 -6 13 -6 13 -6 13 -5 14 -4 14 -4 14 -4 14 -3 14 -3 14 -3 14 -3 14 -2 14 -2 14 -2 14 -1 14 -1 14 -1 14 -1 14 0 14 0 14 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 27 0 28 -1 27 -1 27 -2 26 -2 26 -3 27 -3 26 -4 25 -5 26 -4 25 -5 25 -5 23 -6 23 -6 25 -10 25 -9 23 -9 23 -9 23 -9 24 -10 23 -10 23 -11 22 -10 22 -10 23 -12 21 -12 22 -14 22 -13 21 -16 21 -14 22 -16 22 -15 23 -15 22 -16 21 -15 23 -15 23 -16 24 -17 22 -17 22 -18 23 -18 25 -18 24 -18 25 -17 25 -17 26 -17 25 -17 25 -17 28 -16 25 -15 27 -14 26 -13 26 -13 27 -11 28 -12 29 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 37 -19 36 -20 35 -22 35 -21 33 -24 33 -24 31 -23 32 -25 31 -24 28 -24 31 -25 30 -25 30 -25 28 -24 28 -25 26 -25 27 -23 25 -23 26 -23 24 -22 23 -23 25 -21 24 -21 24 -21 24 -20 24 -19 23 -19 25 -18 23 -18 25 -17 23 -16 23 -16 23 -15 24 -16 23 -14 25 -12 24 -11 25 -11 25 -11 26 -10 25 -10 26 -10 26 -9 27 -7 26 -7 26 -7 27 -7 26 -5 28 -5 27 -4 27 -3 28 -4 28 -3 26 -3 28 -3 29 -2 28 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,1860166,0,157,0,0,2.24654,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 21 -2 21 -1 21 0 21 1 21 1 21 2 21 2 20 2 20 3 19 3 20 4 20 4 19 4 19 4 18 4 18 4 18 4 17 4 17 4 17 4 17 4 16 3 15 3 16 3 16 3 16 3 0 0 15 2 15 2 15 1 15 1 15 1 15 0 14 0 14 -1 14 -1 14 -1 14 -2 14 -2 14 -2 14 -2 13 -3 14 -3 13 -4 14 -4 13 -5 13 -5 13 -5 13 -5 13 -5 14 -6 13 -6 13 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 -24 -18 -23 -18 -23 -19 -22 -17 -21 -18 -21 -19 -21 -19 -20 -19 -20 -18 -19 -19 -17 -20 -18 -19 -18 -20 -18 -21 -17 -21 -16 -21 -16 -21 -15 -21 -15 -23 -13 -23 -13 -22 -12 -22 -12 -23 -13 -22 -12 -24 -11 -24 -10 -24 -10 -24 -10 -26 -9 -25 -9 -24 -9 -26 -9 -26 -8 -26 -9 -26 -9 -26 -8 -28 -8 -28 -9 -28 -8 -28 -8 -29 -8 -28 -9 -29 -10 -29 -9 -30 -10 -29 -10 -30 -11 -28 -10 -29 -11 -28 -12 -29 -12 -28 -12 -28 -14 -26 -14 -27 -15 -25 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 -5 39 -4 40 -2 41 0 40 -1 39 1 39 2 38 1 40 4 38 4 39 4 39 5 37 6 36 5 34 5 36 5 36 6 35 5 32 5 33 5 32 5 33 5 32 4 31 4 31 4 31 3 29 2 29 1 30 2 29 1 28 0 28 -1 27 -1 28 -2 28 -2 28 -3 27 -5 27 -5 27 -5 26 -7 25 -7 27 -9 26 -9 27 -9 25 -9 25 -10 25 -11 24 -12 25 -12 25 -12 25 -13 24 -14 23 -12 24 -15 23 -16 24 -15 24 -17 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,2860477,0,157,0,0,3.24684,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -21 -9 -20 -10 -20 -11 -20 -12 -19 -12 -18 -12 -18 -13 -17 -13 -17 -13 -16 -13 -16 -13 -16 -14 -16 -14 -15 -14 -14 -13 -14 -14 -14 -13 -14 -13 -14 -13 -13 -13 -13 -13 -13 -12 -13 -12 -13 -12 -13 -12 -13 -11 0 0 -13 -11 -13 -10 -13 -10 -13 -9 -13 -9 -13 -9 -13 -9 -13 -8 -13 -8 -14 -8 -14 -7 -13 -7 -14 -7 -14 -7 -14 -6 -14 -6 -14 -6 -14 -5 -14 -5 -15 -5 -15 -5 -15 -5 -15 -4 -15 -4 -15 -4 -15 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 27 -9 26 -8 27 -9 26 -7 26 -7 26 -7 25 -7 27 -5 25 -5 26 -5 25 -4 26 -4 25 -4 25 -3 25 -2 26 -2 25 -2 25 -1 24 0 25 0 25 0 24 1 24 3 24 1 24 2 24 3 24 3 26 3 24 5 25 5 25 6 26 5 25 6 27 6 25 5 26 7 27 7 27 7 27 6 27 7 27 7 27 6 29 6 28 6 28 6 30 5 30 6 28 4 29 4 30 1 30 2 30 2 29 1 30 0 30 0 31 -2 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -33 -25 -32 -27 -30 -28 -30 -30 -28 -28 -28 -30 -27 -30 -27 -30 -27 -32 -25 -32 -23 -31 -24 -32 -23 -32 -22 -32 -21 -31 -21 -30 -20 -31 -19 -29 -20 -28 -19 -29 -18 -28 -19 -28 -18 -26 -19 -27 -18 -27 -19 -26 -18 -25 -19 -24 -18 -24 -19 -24 -19 -22 -18 -23 -20 -22 -21 -20 -20 -21 -22 -19 -21 -19 -22 -18 -21 -18 -23 -18 -24 -17 -23 -18 -24 -17 -23 -16 -24 -15 -24 -14 -24 -14 -25 -14 -25 -14 -26 -13 -25 -13 -27 -12 -26 -13 -25 -11 -28 -11 -28 -11 -27 -10 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-27,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,3867069,0,30,0,0,4.25348,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -26 -6 -26 -7 -27 -8 -28 -10 -25 -10 -24 -10 -25 -12 -22 -11 -23 -12 -22 -12 -23 -13 -23 -12 -22 -13 -21 -12 -20 -10 -22 -11 -21 -10 -19 -9 -20 -9 -20 -9 -20 -8 -20 -8 -19 -7 -21 -8 -22 -8 -21 -8 0 0 -21 -6 -21 -5 -22 -5 -21 -4 -20 -4 -20 -4 -20 -3 -19 -3 -19 -1 -19 -2 -21 -2 -19 0 -19 0 -19 0 -19 0 -20 0 -21 0 -20 1 -20 1 -19 1 -20 1 -19 1 -19 0 -20 0 -18 0 -19 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,6062692,0,157,0,0,6.44923,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -22 -3 -22 -3 -21 -4 -22 -5 -21 -5 -21 -6 -21 -6 -20 -6 -20 -7 -19 -7 -20 -7 -20 -8 -19 -8 -19 -8 -18 -8 -17 -8 -18 -8 -17 -7 -17 -8 -16 -7 -16 -7 -16 -7 -16 -6 -16 -7 -16 -6 -16 -6 0 0 -16 -5 -15 -4 -16 -5 -15 -3 -15 -4 -15 -3 -15 -3 -15 -3 -15 -2 -15 -1 -15 -1 -15 -1 -15 -1 -15 0 -15 0 -15 1 -14 1 -15 1 -15 1 -14 2 -15 2 -15 2 -14 3 -15 3 -15 3 -14 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 24 14 24 14 24 15 23 15 22 16 22 16 22 15 21 16 20 16 19 16 19 17 19 18 19 18 19 17 18 18 17 19 17 19 16 18 15 21 15 21 14 19 14 20 13 21 12 21 13 22 12 23 12 23 11 22 13 22 11 24 10 24 10 25 10 24 9 25 9 25 10 24 10 25 9 26 9 26 9 27 8 27 10 26 10 28 11 27 10 28 12 26 10 28 10 26 10 27 11 26 12 27 13 27 13 26 14 25 15 25 15 24 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -42 0 -41 -2 -42 -5 -39 -6 -41 -5 -39 -6 -40 -8 -39 -9 -40 -10 -39 -9 -39 -11 -38 -12 -37 -12 -36 -11 -35 -10 -35 -11 -35 -11 -35 -11 -33 -10 -31 -10 -32 -9 -33 -10 -32 -9 -31 -9 -30 -9 -32 -8 -29 -6 -30 -5 -30 -5 -29 -5 -29 -3 -29 -4 -29 -3 -28 -2 -30 -2 -29 0 -29 1 -29 1 -27 1 -28 2 -27 2 -28 4 -26 5 -28 5 -26 7 -26 8 -27 7 -28 9 -26 10 -27 9 -26 10 -27 10 -26 10 -27 10 -27 11 -27 11 -26 12 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,7060856,0,157,0,0,7.44725,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -19 -12 -18 -12 -18 -12 -17 -12 -18 -14 -16 -13 -16 -14 -15 -14 -16 -14 -15 -15 -14 -16 -14 -16 -13 -15 -13 -15 -12 -14 -13 -15 -12 -14 -13 -14 -12 -13 -12 -14 -11 -13 -12 -13 -11 -13 -10 -13 -10 -13 -11 -12 0 0 -11 -12 -12 -11 -11 -10 -12 -11 -11 -10 -11 -11 -12 -10 -12 -10 -12 -9 -13 -9 -12 -9 -12 -8 -12 -8 -11 -8 -13 -7 -13 -6 -14 -7 -13 -7 -14 -6 -14 -6 -13 -6 -14 -5 -14 -7 -14 -6 -14 -5 -14 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 21 17 22 17 20 17 21 19 20 16 19 19 20 19 17 20 19 19 16 19 17 19 18 19 16 19 17 20 17 20 15 20 16 19 14 17 13 22 13 21 12 20 13 21 12 22 11 19 14 21 10 24 13 24 12 23 11 25 11 24 10 23 10 26 9 24 8 27 9 24 9 25 9 25 9 26 10 26 8 28 10 27 11 26 10 27 10 24 9 28 12 25 10 28 13 26 12 26 14 26 14 26 15 25 13 26 17 25 15 24 16 21 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -39 14 -37 10 -42 10 -39 9 -42 8 -39 6 -41 5 -40 5 -39 4 -42 3 -41 2 -40 3 -38 1 -36 0 -34 -1 -39 0 -36 1 -36 -2 -34 0 -34 0 -34 -2 -32 0 -35 -1 -34 0 -32 0 -33 1 -30 2 -28 1 -31 3 -28 2 -30 4 -28 3 -29 3 -28 4 -29 4 -27 5 -29 7 -28 8 -26 7 -27 8 -25 8 -28 11 -25 10 -28 11 -24 12 -26 12 -25 11 -26 13 -24 13 -26 15 -24 13 -23 15 -22 13 -26 16 -24 16 -23 14 -25 18 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,8061275,0,157,0,0,8.44763,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 19 -10 18 -9 20 -9 19 -8 20 -8 18 -7 20 -6 19 -6 19 -6 20 -5 19 -5 19 -4 18 -4 18 -3 17 -3 19 -4 17 -3 18 -3 16 -3 17 -3 16 -3 16 -3 16 -3 16 -3 15 -3 15 -4 0 0 14 -4 15 -4 14 -4 15 -5 13 -4 14 -5 13 -5 13 -5 13 -6 13 -7 13 -7 12 -7 12 -7 11 -7 12 -8 11 -8 12 -8 11 -8 11 -9 11 -9 11 -9 11 -9 11 -10 11 -10 10 -10 10 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -24 -17 -24 -17 -24 -17 -24 -16 -24 -15 -24 -15 -24 -14 -24 -15 -24 -13 -24 -13 -24 -13 -24 -11 -24 -12 -25 -11 -24 -11 -25 -9 -25 -9 -25 -9 -24 -8 -25 -8 -25 -8 -25 -7 -25 -6 -25 -6 -25 -6 -24 -5 -26 -4 -28 -5 -27 -5 -27 -3 -25 -3 -27 -4 -27 -2 -27 -2 -27 -1 -28 -2 -29 -2 -29 -1 -29 -2 -28 -2 -29 -1 -30 -1 -30 -2 -29 -3 -30 -3 -31 -4 -30 -3 -32 -4 -30 -4 -29 -5 -30 -4 -30 -6 -30 -6 -30 -8 -30 -8 -30 -8 -28 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 -22 34 -21 36 -20 37 -18 37 -18 37 -18 35 -15 36 -15 37 -14 37 -13 38 -13 36 -11 37 -11 36 -10 33 -10 35 -9 35 -9 34 -9 33 -10 32 -8 31 -8 31 -9 31 -9 30 -9 30 -8 30 -10 28 -10 28 -10 28 -11 26 -10 26 -12 26 -11 25 -12 26 -13 25 -13 25 -15 23 -15 24 -15 23 -15 22 -16 22 -16 22 -17 21 -17 21 -18 20 -18 21 -19 20 -20 20 -20 19 -21 19 -21 18 -20 18 -21 18 -21 19 -22 18 -23 19 -23 17 -23 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-27,11,0,0,0,0,0,0,0,0,0,-95,0,1,1,9068049,0,30,0,0,9.45448,128,[30 -32 1 0 0 0 0 0 0 0 0 0 28 6 28 7 29 8 30 10 27 10 26 11 26 12 24 12 25 12 23 12 25 13 25 13 23 13 22 12 21 11 23 12 22 11 20 9 22 9 21 9 21 8 22 8 20 7 22 8 23 8 22 8 0 0 22 6 22 6 23 6 22 4 21 5 21 4 21 3 20 3 20 2 20 2 22 2 20 1 20 0 21 0 20 0 22 0 22 0 21 -1 21 0 21 -1 21 0 21 0 20 0 21 1 20 0 20 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,11261690,0,157,0,0,11.6482,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 13 -14 13 -14 14 -14 15 -13 14 -12 15 -12 15 -12 15 -11 15 -10 15 -10 16 -10 15 -10 16 -9 15 -9 14 -8 14 -8 15 -8 14 -8 14 -8 14 -8 13 -8 13 -7 12 -7 13 -7 13 -7 12 -8 0 0 11 -8 11 -7 12 -8 10 -8 11 -9 11 -9 10 -9 9 -9 9 -9 9 -9 9 -9 9 -9 9 -9 8 -10 8 -10 8 -10 8 -10 7 -11 7 -11 7 -11 7 -11 7 -11 6 -11 7 -12 7 -11 6 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -20 -17 -21 -17 -21 -15 -20 -15 -21 -15 -21 -14 -21 -14 -21 -15 -20 -13 -21 -12 -21 -12 -21 -12 -21 -11 -21 -11 -22 -11 -23 -9 -22 -10 -22 -9 -21 -9 -22 -9 -23 -8 -22 -8 -23 -7 -22 -7 -21 -6 -23 -6 -23 -5 -25 -6 -23 -5 -24 -5 -24 -3 -24 -3 -25 -4 -25 -4 -25 -4 -24 -4 -25 -4 -26 -4 -26 -3 -26 -3 -26 -2 -26 -2 -27 -3 -27 -5 -27 -5 -28 -5 -27 -5 -28 -7 -27 -6 -28 -6 -27 -7 -27 -7 -27 -8 -27 -8 -26 -9 -26 -10 -26 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 -20 31 -19 33 -18 34 -17 34 -15 33 -15 34 -13 33 -13 35 -11 33 -12 33 -9 34 -10 33 -9 32 -9 30 -8 31 -7 32 -7 31 -6 29 -8 28 -6 28 -7 29 -7 27 -8 28 -7 27 -7 26 -8 26 -9 26 -9 25 -9 24 -10 24 -9 24 -9 23 -10 23 -11 23 -11 23 -11 21 -12 22 -13 20 -13 21 -13 20 -14 21 -14 20 -14 20 -15 19 -15 19 -16 19 -16 18 -17 18 -18 18 -18 18 -18 17 -19 17 -18 17 -19 18 -21 16 -19 17 -20 0 0 ]
CSI_DATA,AP,A0:A3:B3:AA:76:38,-37,11,1,7,1,1,1,0,0,0,1,-95,0,1,1,12259933,0,157,0,0,12.6463,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -19 -12 -18 -13 -19 -14 -18 -14 -17 -14 -16 -14 -16 -15 -15 -15 -15 -16 -14 -15 -15 -15 -14 -16 -13 -16 -13 -16 -12 -15 -13 -16 -12 -15 -12 -15 -12 -14 -11 -15 -11 -14 -11 -14 -11 -14 -11 -14 -11 -13 -11 -13 0 0 -11 -12 -11 -12 -11 -12 -12 -11 -11 -11 -11 -11 -11 -11 -12 -10 -12 -10 -12 -10 -13 -9 -12 -8 -13 -8 -13 -8 -13 -8 -13 -7 -13 -8 -14 -7 -14 -7 -14 -6 -14 -7 -14 -7 -14 -6 -14 -6 -14 -6 -14 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 25 -11 25 -11 26 -11 26 -11 25 -10 25 -9 25 -11 25 -9 25 -8 25 -8 26 -7 25 -8 25 -6 25 -6 24 -4 26 -6 26 -4 25 -4 24 -4 26 -3 26 -3 24 -1 24 0 25 0 24 0 25 1 25 1 26 1 25 3 26 3 26 4 26 3 27 3 26 3 26 3 26 5 27 5 27 4 28 4 27 5 28 5 29 4 28 4 28 4 29 3 30 3 30 3 30 2 29 1 30 1 30 1 29 1 29 -1 30 -1 31 -2 30 -5 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -27 -32 -26 -33 -23 -34 -22 -37 -23 -33 -22 -35 -20 -36 -21 -36 -19 -35 -16 -34 -17 -35 -16 -37 -17 -36 -16 -36 -17 -35 -13 -35 -14 -34 -13 -32 -15 -32 -12 -32 -13 -31 -12 -32 -14 -30 -13 -30 -13 -29 -14 -28 -14 -28 -15 -28 -14 -27 -15 -26 -15 -25 -16 -26 -16 -26 -18 -24 -16 -24 -18 -25 -18 -21 -19 -22 -19 -21 -20 -21 -20 -20 -21 -20 -21 -20 -21 -19 -22 -18 -22 -19 -23 -17 -24 -18 -23 -16 -23 -17 -24 -16 -24 -15 -25 -17 -24 -15 -26 -16 -26 -15 -25 -14 0 0 ]
