type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,1435385,0,157,0,0,1.83378,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -2 -9 -2 -9 -2 -8 -2 -9 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -4 -8 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -7 -5 -8 -5 -7 -5 -8 -5 -8 -5 -8 -5 -8 0 0 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -9 -7 -8 -7 -9 -7 -9 -7 -9 -7 -9 -7 -9 -7 -10 -6 -10 -6 -10 -6 -10 -6 -10 -6 -10 -6 -11 -5 -11 -4 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -30 -4 -32 -4 -31 -3 -30 -5 -32 -3 -31 -5 -30 -4 -30 -5 -30 -6 -31 -7 -31 -9 -31 -7 -31 -8 -30 -9 -30 -10 -31 -10 -30 -10 -29 -10 -28 -11 -30 -12 -29 -14 -29 -13 -28 -14 -29 -14 -27 -14 -28 -16 -29 -17 -27 -17 -27 -19 -29 -19 -27 -19 -27 -20 -28 -20 -27 -20 -29 -21 -29 -22 -28 -22 -30 -21 -28 -24 -32 -25 -32 -24 -32 -23 -32 -23 -32 -22 -33 -24 -35 -24 -34 -24 -34 -23 -36 -23 -37 -23 -37 -22 -38 -19 -38 -18 -39 -17 -38 -18 -39 -15 -41 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 12 21 12 23 13 22 13 22 15 21 15 21 16 20 16 19 16 21 18 20 17 21 17 21 17 21 17 19 18 19 18 18 17 19 17 18 19 19 17 18 16 18 16 18 16 19 15 18 14 19 14 19 14 20 13 19 13 19 13 18 12 20 12 20 11 20 11 20 9 21 9 22 8 22 8 22 8 21 7 22 5 25 6 23 5 24 5 25 4 25 4 26 3 27 1 26 2 26 3 27 1 28 -1 29 0 30 0 29 0 29 -2 29 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,2433464,0,157,0,0,2.83141,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 15 20 16 20 16 19 17 20 17 18 17 19 17 18 17 18 17 18 18 17 18 18 18 16 18 17 19 16 20 16 19 15 20 15 20 14 20 15 21 13 22 12 21 13 22 12 23 12 23 12 25 12 0 0 24 11 24 10 25 11 25 11 27 11 26 10 27 10 28 10 27 11 27 11 28 12 29 12 29 13 29 12 28 14 29 15 29 15 30 16 29 17 29 16 28 18 27 18 27 19 27 20 25 21 26 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 41 22 42 22 43 22 41 24 43 24 42 23 40 25 42 25 41 27 42 28 42 26 39 27 40 28 38 29 37 30 37 31 35 31 34 30 35 32 34 35 35 33 32 34 32 34 32 36 30 35 31 38 30 39 28 40 29 43 30 43 26 44 29 41 27 43 27 44 29 47 28 46 28 46 28 48 27 48 28 50 29 52 29 52 28 51 30 50 30 52 33 53 36 49 34 52 38 51 38 50 39 51 41 46 41 45 40 46 41 45 46 43 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -43 -4 -45 -4 -44 -6 -45 -7 -44 -8 -45 -9 -45 -10 -44 -11 -45 -12 -44 -13 -45 -11 -43 -14 -44 -14 -43 -14 -41 -15 -42 -14 -42 -16 -41 -15 -40 -14 -40 -14 -39 -16 -37 -14 -40 -13 -40 -12 -39 -13 -40 -11 -38 -10 -39 -9 -37 -9 -38 -8 -38 -7 -39 -4 -38 -4 -39 -5 -39 -3 -39 -2 -41 1 -39 0 -38 1 -40 3 -39 5 -40 3 -40 5 -40 9 -43 8 -43 8 -43 10 -43 11 -42 10 -40 11 -43 14 -45 13 -45 14 -44 16 -43 17 -43 17 -44 17 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,3433490,0,157,0,0,3.83143,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 4 -27 3 -26 2 -26 3 -26 2 -26 2 -25 1 -26 1 -26 1 -26 0 -26 0 -26 -1 -26 -1 -25 -2 -25 -2 -25 -3 -26 -4 -26 -3 -26 -3 -25 -5 -25 -6 -25 -5 -25 -6 -25 -7 -25 -7 -25 -8 -26 0 0 -8 -27 -10 -26 -10 -26 -9 -28 -10 -27 -10 -27 -11 -28 -11 -27 -11 -29 -11 -30 -11 -29 -12 -28 -11 -30 -11 -30 -11 -32 -10 -31 -10 -33 -9 -33 -9 -33 -9 -34 -8 -34 -6 -33 -6 -34 -5 -33 -3 -35 -2 -34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -25 4 -24 3 -24 3 -24 2 -25 2 -24 2 -25 2 -24 2 -24 1 -24 1 -25 1 -25 -1 -24 0 -25 0 -24 -1 -24 -1 -24 -1 -24 -2 -24 -4 -25 -4 -23 -4 -25 -3 -24 -5 -24 -5 -24 -6 -24 -7 -25 -6 -24 -6 -24 -8 -24 -8 -26 -8 -25 -9 -25 -9 -24 -9 -26 -9 -25 -9 -25 -10 -26 -10 -26 -10 -27 -12 -28 -11 -29 -10 -28 -9 -28 -10 -28 -10 -31 -9 -30 -9 -31 -10 -30 -9 -31 -9 -32 -7 -32 -6 -31 -5 -33 -3 -32 -5 -33 -2 -33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 12 16 13 17 14 16 14 16 15 15 15 16 14 15 15 15 15 15 16 13 16 14 17 13 17 12 17 12 17 14 16 12 16 13 17 12 17 12 16 12 16 12 15 12 16 12 15 12 14 13 15 12 15 12 13 13 13 13 13 14 13 13 12 14 12 14 11 15 11 14 10 16 10 16 10 16 11 15 10 16 9 18 8 17 8 18 9 18 7 19 7 20 7 20 6 20 7 21 7 21 6 20 6 20 5 23 4 22 5 22 4 22 5 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,2,4439281,0,30,0,0,4.83724,128,[30 -32 1 0 0 0 0 0 0 0 0 0 16 5 16 5 16 5 17 5 16 6 16 6 16 6 15 6 15 6 16 6 16 6 17 6 16 6 16 6 15 6 17 5 16 5 16 5 16 4 17 3 17 3 18 3 17 3 18 3 19 2 19 2 0 0 19 1 20 1 20 1 19 0 19 1 20 0 20 -1 20 0 20 -1 20 -2 20 -2 20 -2 20 -2 21 -2 21 -2 22 -2 23 -2 22 -2 22 -2 22 -1 23 -1 23 1 23 1 23 2 22 3 22 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,6529143,0,157,0,0,6.92736,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 0 -9 0 -9 0 -9 0 -9 0 -8 0 -9 -1 -9 -1 -9 -1 -9 -1 -8 -1 -9 -1 -8 -2 -8 -2 -8 -2 -8 -2 -9 -2 -9 -2 -9 -3 -8 -3 -8 -3 -8 -3 -8 -3 -8 -4 -8 -4 -8 -4 -8 0 0 -4 -9 -4 -9 -4 -9 -5 -9 -5 -8 -5 -9 -5 -9 -5 -9 -5 -9 -5 -9 -5 -10 -5 -9 -5 -10 -5 -10 -5 -10 -5 -10 -5 -10 -5 -11 -5 -11 -4 -11 -4 -11 -4 -11 -4 -11 -3 -11 -3 -12 -2 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -29 5 -31 4 -31 1 -30 2 -33 3 -31 1 -31 2 -29 2 -31 0 -31 -1 -31 -1 -31 -1 -30 0 -32 -2 -31 -3 -31 -2 -31 -3 -29 -2 -29 -4 -33 -5 -30 -6 -32 -5 -29 -9 -31 -7 -31 -9 -30 -9 -33 -10 -32 -9 -31 -12 -32 -10 -31 -12 -30 -13 -32 -13 -31 -15 -34 -14 -33 -14 -34 -14 -34 -14 -34 -17 -34 -17 -35 -16 -37 -15 -36 -14 -37 -14 -36 -17 -39 -15 -37 -15 -40 -15 -41 -14 -41 -14 -42 -14 -42 -9 -40 -8 -42 -7 -42 -7 -44 -5 -43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 16 18 15 21 16 20 17 19 20 18 18 19 19 17 20 17 18 18 21 16 22 16 21 16 22 14 21 13 19 17 21 15 21 16 21 14 21 16 19 15 20 15 18 16 19 15 19 14 18 15 17 16 17 15 16 16 17 16 15 17 17 17 16 18 15 18 14 18 14 19 12 19 13 19 13 20 12 20 11 20 10 22 12 22 9 23 11 23 10 24 8 25 9 25 7 25 7 26 7 27 8 26 6 26 5 30 6 29 5 27 5 29 6 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,7523738,0,157,0,0,7.92181,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 3 7 3 7 3 7 3 6 3 6 3 7 3 6 4 6 4 6 4 6 4 6 4 6 4 6 4 6 4 6 5 6 5 5 5 5 5 5 5 5 5 5 5 5 6 5 6 5 6 5 6 5 0 0 6 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 7 5 8 5 8 5 8 5 8 5 8 5 8 6 8 6 8 6 8 7 8 7 7 7 7 7 7 7 7 7 7 8 7 8 6 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 29 7 29 8 30 7 29 9 30 9 29 8 28 8 29 10 28 11 29 11 30 11 28 12 28 12 25 13 27 14 26 14 27 14 27 14 25 15 25 17 26 17 25 16 26 16 24 18 24 17 24 19 24 21 23 21 24 22 24 24 23 23 25 22 23 24 24 24 23 25 24 23 24 23 25 24 24 26 27 28 25 29 26 26 26 27 26 26 27 26 28 28 29 27 30 28 31 26 30 25 34 26 35 22 34 21 33 22 33 22 36 21 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -23 -7 -24 -8 -27 -10 -26 -9 -25 -10 -26 -11 -25 -12 -23 -11 -24 -13 -24 -11 -24 -11 -24 -13 -26 -14 -25 -13 -23 -13 -23 -14 -24 -14 -23 -13 -23 -14 -21 -13 -22 -13 -22 -12 -21 -11 -23 -11 -21 -11 -22 -10 -23 -10 -22 -10 -21 -10 -22 -9 -22 -8 -23 -7 -24 -8 -22 -8 -23 -6 -24 -7 -24 -4 -24 -3 -23 -3 -25 -3 -25 -2 -25 -2 -27 -3 -24 -1 -27 1 -26 1 -26 2 -27 2 -27 2 -25 3 -27 4 -28 4 -30 3 -27 4 -29 5 -30 6 -29 6 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,8530007,0,157,0,0,8.92794,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -3 7 -2 8 -2 7 -2 7 -2 8 -2 7 -2 7 -1 7 -2 7 -1 8 -1 7 -1 8 -1 7 -1 8 0 7 0 7 0 8 0 8 0 8 1 8 0 0 1 8 1 8 1 8 1 8 1 9 1 9 1 9 2 9 2 9 2 9 2 10 2 9 2 9 2 10 2 10 1 10 1 10 1 11 1 11 1 11 0 11 0 10 0 10 0 10 -1 11 -1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 26 -13 28 -13 28 -14 27 -12 28 -12 28 -12 29 -12 29 -9 28 -10 29 -9 29 -8 29 -8 28 -7 28 -7 29 -7 29 -7 30 -6 29 -5 29 -3 29 -4 30 -3 30 -4 29 -2 31 -1 30 -2 29 1 31 1 31 2 32 3 32 2 32 3 32 3 33 2 33 5 34 4 34 4 36 5 35 4 37 5 36 7 36 6 37 3 38 4 38 5 37 4 39 4 40 2 40 4 41 4 42 1 40 1 41 -2 39 -2 42 -3 42 -3 42 -5 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -21 -14 -22 -15 -24 -13 -25 -14 -25 -11 -23 -12 -26 -11 -26 -10 -26 -10 -26 -9 -27 -9 -27 -9 -27 -9 -26 -9 -26 -8 -26 -8 -26 -9 -26 -8 -26 -6 -25 -8 -24 -7 -24 -9 -22 -9 -24 -9 -24 -9 -24 -9 -23 -10 -22 -10 -23 -11 -22 -11 -21 -11 -21 -12 -21 -14 -21 -15 -20 -14 -20 -14 -18 -16 -19 -17 -17 -17 -19 -17 -17 -18 -18 -18 -17 -19 -17 -20 -17 -22 -17 -20 -17 -22 -15 -22 -16 -23 -15 -23 -16 -24 -14 -25 -14 -26 -14 -27 -17 -26 -15 -27 -14 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-19,11,0,0,0,0,0,0,0,0,0,-96,0,6,2,9531081,0,30,0,0,9.92913,128,[30 -32 1 0 0 0 0 0 0 0 0 0 7 16 7 17 8 18 8 18 7 18 6 17 7 18 7 17 7 17 7 18 7 19 7 18 7 18 7 18 7 16 9 18 8 16 8 17 9 16 10 16 11 16 12 16 11 16 11 17 13 17 13 17 0 0 14 15 15 16 15 16 15 16 14 15 16 15 16 14 16 15 17 14 17 14 17 14 17 14 17 14 18 14 18 14 19 15 20 16 19 15 19 15 19 15 19 16 18 17 18 18 17 20 15 19 14 19 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,11612965,0,157,0,0,12.0111,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 4 -25 4 -26 4 -24 4 -25 3 -25 4 -26 2 -26 2 -25 1 -26 2 -26 1 -26 0 -25 0 -25 -1 -24 -1 -26 -1 -25 -2 -26 -2 -25 -3 -25 -3 -25 -3 -25 -4 -25 -5 -26 -6 -25 -5 -25 -6 -26 0 0 -6 -27 -7 -25 -8 -26 -7 -28 -8 -27 -8 -28 -9 -28 -9 -28 -9 -29 -9 -30 -10 -31 -10 -29 -9 -30 -8 -31 -8 -32 -8 -32 -7 -32 -8 -34 -7 -33 -5 -34 -4 -34 -4 -33 -3 -34 -2 -34 -1 -35 1 -34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -25 2 -24 0 -24 0 -24 0 -25 0 -24 0 -24 0 -25 -1 -24 -2 -24 -2 -24 -3 -24 -2 -25 -3 -24 -4 -24 -3 -23 -3 -24 -4 -24 -4 -24 -5 -23 -6 -24 -6 -24 -5 -23 -7 -23 -7 -23 -8 -24 -9 -23 -8 -23 -8 -23 -11 -23 -10 -24 -11 -24 -10 -23 -11 -24 -12 -24 -12 -26 -11 -24 -11 -25 -13 -24 -12 -26 -13 -26 -13 -27 -13 -27 -12 -28 -12 -28 -13 -28 -12 -30 -11 -29 -11 -30 -12 -31 -11 -30 -10 -31 -8 -31 -7 -31 -7 -32 -6 -32 -5 -33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 9 17 10 18 11 17 12 18 12 17 13 17 13 17 13 17 14 17 15 16 15 15 14 15 15 15 15 15 16 15 14 15 15 14 15 14 14 14 15 14 14 13 14 14 13 13 14 14 13 14 13 13 12 14 12 14 11 14 11 15 11 14 11 15 10 15 9 16 9 15 9 16 8 16 8 17 9 17 8 18 7 18 6 18 5 18 6 19 6 20 5 20 5 20 4 20 5 20 4 20 4 22 4 21 4 23 2 23 3 23 2 22 3 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-34,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,12610161,0,157,0,0,13.0081,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 1 -8 2 -8 1 -8 1 -8 1 -8 1 -9 1 -9 1 -8 1 -9 0 -8 0 -9 0 -9 0 -8 0 -8 0 -8 0 -9 -1 -9 -1 -9 -1 -8 -1 -9 -1 -8 -2 -8 -2 -9 -2 -8 -2 -9 -2 -9 0 0 -2 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -3 -9 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -4 -10 -3 -11 -3 -11 -3 -11 -3 -11 -3 -12 -3 -11 -2 -12 -2 -11 -2 -11 -2 -11 -1 -12 -1 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -26 16 -26 16 -28 15 -27 14 -27 15 -27 14 -27 14 -28 14 -27 12 -29 13 -27 12 -28 12 -28 9 -28 10 -30 8 -29 8 -31 9 -30 9 -29 7 -29 7 -31 6 -29 4 -31 6 -31 5 -31 4 -31 2 -31 2 -33 0 -32 -1 -32 0 -33 -1 -34 0 -33 0 -35 -2 -34 -1 -36 0 -35 -1 -37 -1 -36 -1 -38 -2 -37 -3 -39 -3 -39 -2 -39 -1 -40 -1 -40 0 -42 0 -41 -1 -42 2 -42 1 -41 3 -41 6 -42 5 -40 7 -42 6 -42 10 -42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 22 8 23 9 23 7 24 7 25 8 26 6 26 6 26 5 26 5 25 6 26 5 25 6 27 6 26 4 25 4 26 3 26 3 25 4 25 3 25 4 24 4 24 4 23 6 23 5 22 6 23 7 21 6 23 6 21 7 21 8 20 8 21 8 22 10 21 9 20 10 20 11 18 12 19 12 19 14 19 14 19 14 18 15 18 16 18 18 18 18 18 18 18 19 17 19 18 21 17 21 17 22 16 21 17 23 16 23 16 24 17 24 18 0 0 ]
