type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-42,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,280724,0,157,0,0,0.67937,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -4 21 -4 20 -4 19 -4 19 -4 19 -4 19 -4 17 -3 19 -3 18 -3 16 -3 16 -3 16 -2 15 -2 15 -1 15 -1 14 -1 14 -1 14 0 14 0 14 1 13 1 13 1 14 1 13 2 12 2 13 0 0 2 13 3 13 3 13 3 12 4 13 4 13 5 13 6 13 5 14 5 14 5 14 5 14 5 14 5 15 5 15 4 16 5 16 4 16 4 17 3 17 3 17 3 17 3 17 1 17 0 17 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 17 -11 17 -13 17 -13 15 -10 15 -12 17 -12 13 -12 16 -10 13 -11 14 -11 14 -10 14 -10 14 -8 12 -8 13 -8 13 -9 13 -8 13 -7 14 -7 11 -7 12 -6 12 -5 13 -6 11 -4 12 -6 12 -4 11 -3 12 -3 12 -3 11 -2 13 -2 13 -3 11 -2 14 -2 11 -3 13 -2 13 -2 13 -1 12 -2 14 0 12 0 13 -1 15 -1 14 0 16 0 15 -3 16 -1 14 -2 17 -3 16 -3 17 -3 16 -5 16 -5 14 -5 15 -4 16 -7 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -32 1 -34 -3 -32 -4 -34 -5 -31 -5 -33 -7 -31 -9 -30 -9 -31 -11 -30 -9 -30 -9 -29 -10 -30 -12 -30 -13 -30 -14 -24 -14 -26 -16 -25 -13 -26 -16 -24 -17 -25 -15 -25 -18 -20 -14 -23 -13 -22 -13 -22 -13 -23 -14 -23 -15 -20 -14 -22 -16 -20 -14 -21 -16 -21 -15 -20 -14 -20 -14 -19 -15 -19 -12 -21 -12 -20 -12 -22 -13 -23 -14 -19 -13 -20 -14 -20 -12 -22 -13 -19 -14 -20 -14 -20 -13 -20 -14 -20 -11 -21 -12 -20 -12 -21 -13 -17 -13 -20 -12 -20 -14 -18 -12 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-45,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,1278755,0,157,0,0,1.67711,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -7 -14 -7 -14 -7 -13 -7 -14 -7 -13 -7 -13 -7 -13 -6 -12 -6 -12 -7 -12 -6 -11 -6 -11 -7 -11 -7 -11 -7 -11 -6 -10 -7 -10 -6 -9 -7 -9 -7 -8 -7 -8 -7 -8 -7 -8 -8 -8 -8 -8 -8 -7 0 0 -8 -7 -9 -7 -9 -7 -8 -6 -9 -7 -9 -6 -10 -7 -10 -6 -10 -7 -9 -7 -10 -7 -11 -8 -11 -8 -11 -8 -10 -8 -11 -8 -11 -8 -11 -9 -10 -9 -10 -9 -10 -10 -10 -11 -10 -11 -10 -11 -9 -12 -9 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -31 -10 -29 -10 -30 -9 -30 -10 -29 -9 -29 -8 -27 -8 -27 -7 -25 -8 -26 -7 -25 -8 -25 -7 -24 -7 -22 -8 -23 -8 -22 -8 -22 -9 -21 -9 -21 -8 -20 -8 -20 -10 -19 -10 -18 -9 -18 -10 -17 -10 -17 -10 -16 -11 -15 -12 -15 -13 -16 -14 -16 -14 -16 -13 -15 -13 -15 -14 -15 -13 -14 -14 -14 -14 -15 -15 -14 -15 -17 -16 -16 -17 -15 -17 -15 -17 -16 -18 -17 -17 -18 -17 -19 -17 -18 -18 -21 -16 -21 -17 -23 -16 -23 -15 -22 -15 -21 -15 -23 -13 -25 -13 -27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 -41 28 -41 29 -38 31 -38 31 -36 32 -35 35 -32 35 -32 37 -30 35 -29 36 -28 37 -27 38 -26 39 -26 40 -24 37 -19 38 -19 37 -19 38 -19 38 -15 37 -17 39 -15 35 -15 35 -17 35 -16 35 -15 35 -15 36 -14 35 -12 35 -13 33 -13 33 -13 33 -12 34 -12 32 -13 34 -12 31 -13 31 -14 31 -13 32 -14 33 -14 31 -13 32 -13 31 -12 32 -13 32 -12 32 -13 31 -13 32 -12 30 -12 31 -13 31 -14 33 -13 30 -11 31 -12 32 -12 30 -9 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-40,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,2280620,0,157,0,0,2.67895,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 1 6 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 4 1 5 1 4 1 4 1 4 1 4 1 4 1 4 1 3 1 3 1 3 1 3 1 3 2 3 2 3 2 3 2 3 0 0 2 3 2 3 2 3 2 3 2 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 4 3 4 3 4 3 4 3 4 3 4 2 5 2 4 2 4 2 5 2 5 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 1 23 0 26 0 24 2 22 0 24 -1 23 0 24 1 20 0 22 0 21 1 21 2 19 2 18 2 19 3 18 2 18 2 18 2 17 3 15 3 16 3 15 4 16 3 16 4 15 4 16 5 12 6 14 7 14 8 14 8 14 9 14 8 14 8 15 8 14 8 14 9 14 8 13 10 13 10 14 10 14 11 14 9 14 11 14 11 15 11 17 12 18 9 17 10 19 10 20 10 19 9 20 8 19 8 18 7 20 6 23 6 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -29 19 -34 20 -31 18 -35 19 -33 15 -34 15 -35 14 -35 15 -35 9 -35 11 -36 8 -35 10 -36 8 -35 7 -37 5 -34 2 -36 3 -33 3 -36 4 -34 2 -33 2 -33 1 -30 2 -33 1 -32 1 -30 2 -30 2 -32 1 -28 0 -32 0 -29 1 -31 1 -29 1 -29 0 -30 2 -29 0 -28 1 -28 3 -29 2 -29 3 -29 1 -27 1 -29 0 -27 2 -28 3 -28 1 -28 2 -28 3 -28 3 -26 3 -28 3 -26 2 -29 2 -26 1 -29 1 -29 1 -26 1 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-32,11,0,0,0,0,0,0,0,0,0,-96,0,6,2,3288207,0,30,0,0,3.68657,128,[30 -32 1 0 0 0 0 0 0 0 0 0 2 -41 2 -42 2 -40 3 -42 4 -39 6 -41 4 -39 6 -38 5 -36 6 -36 7 -37 6 -35 5 -34 4 -33 3 -32 2 -32 2 -32 1 -30 -1 -30 -3 -30 -4 -30 -4 -30 -4 -29 -5 -30 -6 -31 -7 -31 0 0 -9 -29 -10 -29 -11 -30 -11 -28 -11 -29 -14 -28 -14 -28 -15 -27 -15 -28 -15 -27 -17 -28 -17 -29 -16 -29 -20 -29 -18 -28 -21 -31 -20 -31 -21 -32 -21 -32 -20 -31 -20 -34 -17 -34 -17 -36 -14 -37 -13 -37 -11 -38 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-45,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,5370463,0,157,0,0,5.76896,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -4 15 -4 15 -4 13 -3 14 -3 13 -4 14 -4 13 -3 13 -3 12 -3 12 -2 12 -2 12 -2 11 -2 11 -2 11 -2 10 -2 11 -1 10 -1 10 -1 10 0 10 0 10 0 9 1 9 1 9 1 10 0 0 1 10 1 9 2 10 1 9 2 10 2 10 3 10 3 10 2 11 2 10 3 11 3 11 3 11 3 12 2 11 2 13 2 12 1 13 1 13 1 13 0 13 0 13 1 13 0 14 -1 13 -2 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 26 -17 26 -16 27 -18 25 -15 24 -15 24 -16 23 -17 23 -15 22 -15 22 -15 21 -14 21 -14 21 -12 20 -11 20 -11 20 -12 20 -11 20 -11 20 -9 18 -9 18 -8 17 -8 19 -9 18 -8 17 -8 18 -5 17 -5 18 -5 18 -3 18 -3 19 -3 19 -4 18 -3 20 -2 19 -3 19 -4 20 -3 20 -3 20 -3 21 -1 20 0 21 -2 22 -2 23 -2 23 -3 24 -3 24 -4 23 -4 26 -5 25 -6 26 -7 25 -8 24 -8 23 -9 26 -10 26 -11 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -47 7 -49 6 -48 3 -49 1 -46 0 -48 -2 -47 -6 -46 -7 -46 -10 -45 -8 -45 -8 -44 -10 -45 -11 -46 -12 -45 -14 -40 -16 -40 -17 -38 -15 -40 -17 -38 -19 -38 -17 -37 -20 -35 -16 -37 -17 -35 -16 -35 -17 -35 -17 -34 -18 -33 -18 -35 -18 -32 -17 -33 -18 -33 -19 -33 -19 -32 -18 -31 -19 -32 -16 -32 -15 -33 -16 -34 -16 -33 -17 -30 -16 -32 -16 -31 -15 -31 -17 -30 -17 -30 -17 -30 -17 -31 -17 -30 -16 -31 -16 -31 -16 -31 -17 -28 -17 -31 -16 -30 -18 -28 -18 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-45,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,6368260,0,157,0,0,6.7666,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -7 -17 -7 -17 -7 -16 -7 -16 -7 -16 -7 -16 -7 -15 -6 -15 -7 -14 -7 -14 -6 -14 -6 -13 -7 -13 -7 -13 -7 -13 -6 -12 -7 -12 -7 -11 -8 -11 -8 -10 -8 -10 -8 -9 -8 -10 -9 -9 -8 -9 -9 -9 0 0 -9 -9 -9 -8 -10 -9 -9 -8 -10 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -8 -11 -9 -12 -9 -12 -9 -12 -10 -11 -9 -12 -10 -12 -10 -12 -11 -12 -11 -11 -11 -11 -11 -11 -12 -11 -13 -11 -13 -10 -13 -9 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -37 -2 -36 -2 -36 -1 -36 -3 -34 -2 -35 0 -33 -1 -33 -1 -31 -2 -32 -1 -32 -3 -30 -2 -30 -3 -28 -3 -28 -3 -27 -3 -27 -4 -26 -4 -26 -3 -24 -3 -25 -5 -24 -7 -24 -5 -23 -8 -22 -6 -22 -9 -21 -9 -20 -9 -20 -11 -21 -11 -21 -11 -21 -10 -20 -11 -20 -12 -20 -12 -20 -13 -20 -13 -20 -13 -19 -14 -22 -15 -21 -16 -22 -15 -20 -15 -21 -16 -22 -15 -24 -15 -26 -15 -24 -15 -28 -15 -28 -14 -28 -14 -28 -13 -27 -12 -25 -11 -29 -10 -31 -9 -32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 -31 46 -30 47 -27 48 -24 48 -23 50 -23 50 -20 49 -19 51 -16 49 -16 50 -14 49 -13 51 -12 52 -10 52 -10 48 -5 48 -3 46 -5 49 -6 48 -2 46 -5 46 -2 42 -4 44 -3 43 -3 44 -3 43 -3 44 -2 41 0 42 -1 41 -1 43 -1 40 -1 41 -2 39 -3 40 -2 38 -4 39 -3 39 -3 40 -3 41 -4 39 -3 40 -3 38 -3 40 -4 39 -3 39 -5 39 -5 39 -3 37 -4 40 -3 39 -4 40 -4 37 -3 38 -2 38 -3 37 -1 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-41,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,7368998,0,157,0,0,7.76731,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 20 -4 20 -3 19 -3 20 -3 19 -2 19 -3 17 -3 18 -3 17 -3 17 -3 16 -3 15 -3 16 -3 16 -3 15 -3 14 -4 14 -3 13 -5 14 -4 13 -4 14 -5 13 -4 12 -6 12 -5 12 -5 12 -7 0 0 12 -7 11 -7 12 -7 12 -7 12 -8 12 -7 12 -8 13 -8 13 -8 12 -9 13 -9 13 -9 13 -9 13 -9 14 -9 15 -9 15 -8 15 -9 16 -9 16 -7 17 -7 16 -6 17 -6 16 -5 18 -5 17 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 2 41 1 43 2 41 4 37 4 40 4 36 3 39 2 35 4 39 5 35 5 34 6 34 5 31 2 33 3 31 3 29 -1 30 1 31 0 27 1 27 0 26 2 26 -2 25 -3 26 -3 25 -2 25 -3 26 -5 24 -7 26 -5 25 -5 25 -4 24 -7 26 -7 23 -7 26 -10 26 -10 26 -10 28 -10 26 -7 26 -8 27 -9 30 -11 28 -11 32 -10 27 -7 30 -6 31 -8 30 -8 31 -4 31 -5 33 -2 31 -1 33 -1 34 -2 33 1 34 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 44 43 49 39 47 39 54 34 52 32 56 28 57 25 56 24 56 23 56 22 57 21 57 20 58 18 57 17 60 13 54 11 57 9 55 9 59 6 56 4 55 4 54 4 52 6 53 5 54 4 52 5 51 2 51 2 49 2 51 2 47 3 51 0 49 1 46 3 48 -1 48 0 46 2 47 4 46 4 47 3 49 1 44 2 48 1 46 0 48 -1 46 0 48 -2 46 0 45 1 44 1 45 -1 45 -1 46 -3 43 1 44 -1 47 -4 43 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-32,11,0,0,0,0,0,0,0,0,0,-96,0,6,2,8378498,0,30,0,0,8.77681,128,[30 -32 1 0 0 0 0 0 0 0 0 0 -34 -24 -34 -25 -32 -24 -33 -27 -31 -25 -30 -27 -28 -26 -28 -26 -26 -26 -26 -24 -26 -24 -26 -24 -25 -23 -25 -22 -25 -20 -25 -20 -26 -20 -24 -18 -25 -17 -25 -15 -26 -14 -26 -13 -26 -12 -27 -12 -29 -11 -28 -11 0 0 -29 -9 -29 -9 -30 -8 -28 -7 -29 -7 -30 -5 -30 -5 -30 -3 -31 -4 -30 -2 -31 -1 -32 -1 -32 -1 -35 0 -32 -1 -37 -1 -35 0 -36 -1 -36 -1 -36 -1 -38 -3 -37 -5 -38 -5 -38 -7 -38 -9 -38 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-41,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,10467155,0,157,0,0,10.8657,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 20 5 20 6 20 6 19 5 20 6 18 6 17 5 17 5 16 5 17 4 16 4 16 4 16 4 15 4 15 4 15 3 14 2 14 2 14 2 14 2 14 1 14 1 14 1 14 1 14 1 13 -1 0 0 14 0 13 -1 14 -1 14 -1 15 -1 14 -1 15 -2 15 -2 15 -2 15 -3 15 -3 15 -2 16 -2 16 -1 17 -1 17 -1 17 -1 17 0 17 0 17 1 17 2 17 2 18 3 17 4 17 4 17 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 9 18 9 18 9 18 11 17 10 18 10 15 9 17 10 15 8 16 9 15 10 15 9 14 8 13 7 15 7 14 7 14 7 14 6 15 6 12 6 12 6 13 6 13 5 12 4 12 3 12 2 12 3 12 1 12 2 12 3 13 2 13 2 12 1 14 1 13 2 14 1 13 0 12 0 14 0 14 1 14 1 14 1 14 0 15 0 17 1 15 2 17 3 15 2 15 4 15 3 15 4 15 5 15 5 16 4 16 6 15 7 16 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 31 7 32 7 30 4 32 3 31 2 33 1 32 0 32 -3 31 -1 30 -3 31 -4 31 -5 31 -6 31 -8 32 -9 28 -9 28 -9 27 -9 29 -10 27 -9 26 -10 26 -10 25 -10 24 -9 24 -9 25 -10 24 -11 24 -10 22 -11 23 -10 22 -10 23 -10 23 -10 23 -9 22 -10 22 -9 21 -10 22 -9 22 -9 22 -9 23 -10 20 -11 22 -9 20 -10 23 -10 22 -11 21 -10 22 -11 22 -9 21 -11 21 -10 22 -11 23 -10 20 -9 20 -11 21 -10 20 0 0 ]
CSI_DATA,AP,A0:A3:B3:80:1D:8C,-40,11,1,7,1,1,1,0,0,0,1,-96,0,6,2,11465158,0,157,0,0,11.8635,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 0 6 0 6 0 6 0 5 0 5 0 5 0 5 0 5 0 5 0 4 0 5 0 4 0 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 3 1 3 2 3 2 3 2 3 0 0 2 3 2 3 2 3 2 3 2 3 2 3 3 3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 4 3 4 3 4 3 4 3 5 2 4 3 4 3 5 2 5 2 5 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 25 -5 25 -3 25 -6 23 -3 23 -5 22 -6 22 -6 23 -4 21 -5 22 -4 21 -3 21 -2 21 -3 18 -2 19 -1 19 -1 19 -1 18 -1 19 0 16 0 16 1 16 1 16 0 16 1 15 1 16 3 15 4 15 4 15 5 14 6 15 7 16 4 14 6 16 5 15 6 16 6 15 6 16 8 16 7 17 8 15 8 16 8 16 10 17 8 18 8 17 7 19 7 18 9 21 7 20 7 21 6 21 3 21 5 21 5 21 5 23 3 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -35 11 -37 9 -36 6 -38 6 -36 4 -39 4 -38 1 -36 2 -37 -2 -36 1 -35 -3 -36 -2 -37 -1 -37 -4 -37 -5 -32 -8 -33 -6 -32 -6 -33 -5 -32 -8 -32 -7 -32 -8 -30 -6 -32 -6 -30 -7 -30 -6 -29 -7 -30 -8 -28 -8 -30 -9 -28 -7 -29 -8 -29 -7 -29 -6 -29 -5 -28 -7 -28 -5 -28 -4 -27 -4 -29 -4 -28 -4 -26 -6 -28 -5 -28 -5 -29 -5 -27 -4 -28 -3 -28 -4 -27 -5 -27 -4 -27 -3 -27 -5 -28 -6 -25 -5 -28 -5 -28 -5 -27 -6 0 0 ]
